"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.71179492223378e-23,32,530,12.1183714001986,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CTNNB1  EGFR  EP300  FOXO1  FN1  ABL1  GNAQ  GSTA3  GSTM1  GSTP1  IL6  JAK1  JUN  NFE2L2  NRAS  PIK3R1  PRKACB  PRKACG  PRKCA  MAPK8  PTGS2  BAX  RAC2  RAD51  RELA  SPI1  STAT3  STK4  TP53  TRAF2  CASP3"
8.56363673754465e-19,20,194,20.6918068366793,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  IL6  JAK1  JUN  NRAS  PIK3R1  MAPK8  PTGS2  BAX  RELA  RPS27A  STAT3  TP53  TRAF2  UBA52  UBC  CASP3"
2.40443885999998e-16,19,224,17.0245535714286,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CTNNB1  EGFR  GNAQ  IL6  JAK1  NRAS  PIK3R1  PRKACB  PRKACG  PRKCA  PTGS2  BAX  RAC2  RELA  STAT3  TP53  TRAF2  CASP3"
2.73533233721604e-16,16,131,24.514262756127,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CREBBP  EGFR  EP300  FOXO1  FOXO3  SIRT1  IL6  FOXO4  ATM  NRAS  PRKAG2  PIK3R1  PRKAG3  MAPK8  STAT3  STK4"
8.42323399358834e-16,19,246,15.5020325203252,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," EGFR  FOXO1  FOXO3  HK1  HK2  JUN  FOXO4  ATM  PIK3R1  MAPK8  BAX  RELA  RPS27A  TP53  TRAF2  UBA52  UBC  VDAC1  H3C7"
1.90951764216707e-15,18,221,16.347463681829,"Path:hsa04024 cAMP signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04024 "," CREB1  CREBBP  EP300  GCG  GRIN2A  JUN  AFDN  PIK3R1  POMC  PPP1CA  PRKACB  PRKACG  MAPK8  RAC2  RAP1A  RAP1B  RELA  TSHR"
1.90951764216707e-15,18,222,16.273826458037,"Path:hsa05166 Human T-cell leukemia virus 1 infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05166 "," CREB1  CREBBP  EP300  IL6  JAK1  JUN  ATM  NRAS  PIK3R1  PRKACB  PRKACG  MAPK8  BAX  RELA  ANAPC1  SPI1  TP53  VDAC1"
6.28922088594989e-15,37,1538,4.82853671891041,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CBS  SPTLC1  PTGES3  CYP1A1  CYP2C9  CYP3A4  AGXT  EPHX2  ALDH1A1  AKR1B1  SIRT1  KDSR  GAA  GAD2  GATM  GCLC  HPGDS  AMY1B  GSS  GSTA3  GSTM1  GSTP1  GYG1  GYS1  HK1  HK2  KMT2A  TXNDC12  KYAT3  SPHK2  PSPH  PTGS2  PYGL  SRR  SHMT2  NUDT12  CBR1"
6.28922088594989e-15,17,202,16.8914799374674,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," CREB1  CREBBP  EP300  JAK1  JUN  NRAS  PIK3R1  PRKACB  PRKACG  BAX  RELA  STAT3  TP53  TRAF2  CASP3  H4C6  H4C2"
1.40791586915446e-14,13,89,29.3172678888232,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," CREB1  FOXO1  FOXO3  SIRT1  NRAS  PRKAG2  PIK3R1  PRKAG3  PRKACB  PRKACG  BAX  RELA  TP53"
