"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
9.20411641975556e-27,34,530,13.4664012463216,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CTNNB1  EGFR  EP300  FOXO1  FN1  MTOR  ABL1  GNAS  GNB1  GSTM1  GSTP1  IL6  JAK1  JAK2  JUN  NFE2L2  NFKB1  PIK3R1  PLCG2  PRKACB  PRKCA  PRKCB  MAPK8  PTGS2  BAX  RELA  STAT3  STAT5B  STK4  TCF7L2  TP53  TRAF2  CASP3"
2.58062435683883e-25,24,194,25.9691667454838,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  MTOR  GNB1  IL6  JAK1  JAK2  JUN  NFKB1  PIK3R1  PLCG2  MAPK8  PTGS2  BAX  RELA  SRC  STAT3  TCF7L2  TP53  TRAF2  UBC  CASP3"
3.12663683634235e-22,22,197,23.4425557677083,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 "," PTGES3  CREB1  CYP1A1  CYP1A2  CYP1B1  CYP2B6  EGFR  EPHX2  MTOR  GNAS  GSTM1  JAK2  JUN  NFKB1  PIK3R1  PRKACB  PRKCA  PRKCB  RELA  SRC  STAT3  STAT5B"
1.16184656247885e-19,21,224,19.6797591743119,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CTNNB1  EGFR  MTOR  GNAS  GNB1  IL6  JAK1  NFKB1  PIK3R1  PRKACB  PRKCA  PRKCB  PTGS2  BAX  RELA  SRC  STAT3  TP53  TRAF2  CASP3"
1.16766707808407e-19,19,162,24.6199456337071,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CREB1  CREBBP  EP300  IL6  JAK1  JAK2  JUN  NFKB1  PIK3R1  PRKCA  PRKCB  MAPK8  BAX  RELA  SRC  STAT3  STAT5B  TP53  CASP3"
9.49900590708534e-19,16,100,33.5867889908257,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," FOXO1  FN1  IL6  JAK2  JUN  NFKB1  PIK3R1  PLCG2  PRKCA  PRKCB  MAPK8  BAX  RELA  STAT3  STAT5B  CASP3"
5.94540800194309e-18,19,202,19.7447088745572,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," H4-16  CREB1  CREBBP  EP300  JAK1  JUN  NFKB1  PIK3R1  PKM  PRKACB  BAX  RELA  SRC  STAT3  STAT5B  TP53  TRAF2  CASP3  H4C6"
1.56551542828272e-17,19,214,18.6375289376661,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," CYP1A1  CYP2A6  CYP2B6  IL6  JAK2  JUN  NFE2L2  NFKB1  PIK3R1  PRKCA  MAPK8  BAX  RAP1A  RELA  SRC  STAT3  TP53  TRAF2  CASP3"
5.86491015751135e-17,17,161,22.1651945979828,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  CYP1B1  EGFR  EP300  SIRT1  MTOR  ABL1  NFKB1  PIK3R1  PLCG2  PRKCA  PRKCB  PTGS2  BRCA1  STAT3  TP53  CASP3"
1.41395259944721e-16,38,1538,5.18651650541034,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CDIPT  SPTLC1  PTGES3  SDS  CYP1A1  CYP1A2  CYP2A6  CYP2B6  EPHX2  ALDH1A1  AKR1B1  SIRT3  SIRT1  KDSR  GAA  GCLM  GLDC  GLUD1  GSR  GSS  GSTM1  GSTP1  AOX1  HSD3B2  KMT2A  PKM  PLCG2  SPHK2  PSPH  PTGS2  PYGL  BCAT1  SRR  SHMT2  AGXT2  HKDC1  NUDT12  AKR1C3"
1.51174623672099e-15,13,79,34.5433747532226,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," EGFR  FOXO3  MTOR  IL6  JAK1  JAK2  PIK3R1  PLCG2  PRKCA  PRKCB  BAX  SRC  STAT3"
2.23107171901487e-15,20,331,12.6838327004629,"Path:hsa05165 Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05165 "," CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  FN1  MTOR  GNAS  JAK1  NFKB1  PIK3R1  PKM  PRKACB  PTGS2  BAX  RELA  TCF7L2  TP53  CASP3"
6.55308373449366e-15,13,89,30.6620966910628,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," CREB1  FOXO1  FOXO3  SIRT1  MTOR  NFKB1  PRKAG2  PIK3R1  PRKAG3  PRKACB  BAX  RELA  TP53"
9.70286012178598e-15,17,223,16.0026741267948,"Path:hsa05208 Chemical carcinogenesis-reactive oxygen species","http://www.genome.jp/kegg-bin/show_pathway?hsa05208 "," CYP1A1  CYP1A2  CYP1B1  EGFR  EPHX2  FOXO3  ABL1  GSTM1  JUN  NFE2L2  NFKB1  PIK3R1  PRKD1  MAPK8  RELA  SRC  AKR1C3"
1.01156655438633e-14,14,120,24.4903669724771,"Path:hsa04935 Growth hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04935 "," CREB1  CREBBP  EP300  MTOR  GNAS  JAK2  PIK3R1  PLCG2  PRKACB  PRKCA  PRKCB  MAPK8  STAT3  STAT5B"
1.7106751675424e-14,13,97,28.1332639742741,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 "," CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  MTOR  GSTP1  NFKB1  PIK3R1  RELA  TCF7L2  TP53"
4.12109508135189e-14,17,246,14.5064891474603,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," EGFR  FOXO1  FOXO3  MTOR  JUN  NFKB1  PIK3R1  PLCG2  MAPK8  BAX  RELA  SRC  TP53  TRAF2  UBC  HKDC1  H3C12"
6.43521647908535e-14,13,108,25.2678389398573,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," CREB1  FOXO1  MTOR  IL6  NFKB1  PRKAG2  PIK3R1  PRKAG3  PRKCB  MAPK8  PYGL  RELA  STAT3"
6.89505620122754e-14,13,109,25.0360239037118,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," CREBBP  EGFR  EP300  MTOR  IL6  NFKB1  PIK3R1  PLCG2  PRKCA  PRKCB  RELA  STAT3  HKDC1"
5.33252048882061e-13,11,72,32.0707186544343,"Path:hsa05223 Non-small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05223 "," EGFR  FOXO3  PIK3R1  PLCG2  PRKCA  PRKCB  BAX  STAT3  STAT5B  STK4  TP53"
7.10916749313575e-13,13,131,20.8315008053785,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CREBBP  EGFR  EP300  FOXO1  FOXO3  SIRT1  IL6  PRKAG2  PIK3R1  PRKAG3  MAPK8  STAT3  STK4"
1.32975544223758e-12,12,106,23.7642374935087,"Path:hsa04922 Glucagon signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04922 "," CREB1  CREBBP  EP300  FOXO1  SIRT1  GCG  GNAS  PRKAG2  PKM  PRKAG3  PRKACB  PYGL"
1.41007995052721e-12,13,139,19.6325655072272,"Path:hsa05162 Measles","http://www.genome.jp/kegg-bin/show_pathway?hsa05162 "," IL6  JAK1  JUN  NFKB1  PIK3R1  MAPK8  BAX  RELA  STAT3  STAT5B  TP53  TP73  CASP3"
1.83981544871671e-12,15,221,14.2477894474656,"Path:hsa04024 cAMP signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04024 "," CREB1  CREBBP  EP300  GCG  GNAS  GRIN2A  JUN  NFKB1  PIK3R1  POMC  PRKACB  MAPK8  RAP1A  RELA  TSHR"
2.50074074953299e-12,11,84,27.4891874180865,"Path:hsa04012 ErbB signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04012 "," EGFR  MTOR  ABL1  JUN  PIK3R1  PLCG2  PRKCA  PRKCB  MAPK8  SRC  STAT5B"
