"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.58766802259384e-25,32,530,13.4125664041033,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CRK  CTNNB1  EGFR  EP300  FOXO1  ABL1  GNAS  GSTM1  GSTP1  IKBKB  IL6  IL6R  IL6ST  NFE2L2  NFKB1  PIK3R1  PLCB2  PRKACB  PRKCA  PRKCG  MAPK8  PTGS2  BAX  RAC2  RAD51  STAT3  STAT5B  STK4  TP53  TRAF2  CASP3"
2.1225016695623e-21,22,224,21.817874479889,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CRK  CTNNB1  EGFR  GNAS  IKBKB  IL6  IL6R  NFKB1  PIK3R1  PLCB2  PRKACB  PRKCA  PRKCG  PTGS2  BAX  RAC2  SRC  STAT3  TP53  TRAF2  CASP3"
6.45993976510919e-20,20,194,22.9016114503053,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  IKBKB  IL6  IL6ST  NFKB1  PIK3R1  MAPK8  PTGS2  BAX  SRC  STAT3  TP53  TRAF2  UBA52  UBB  UBC  CASP3"
5.81965245895873e-18,20,246,18.0606204120294,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," CRK  EGFR  FOXO1  FOXO3  HK1  HK2  IKBKB  FOXO4  NFKB1  PIK3R1  PLCB2  MAPK8  BAX  SRC  TP53  TRAF2  UBA52  UBB  UBC  HKDC1"
9.93720488905379e-16,15,131,25.4365226413696,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CREBBP  EGFR  EP300  FOXO1  FOXO3  SIRT1  IKBKB  IL6  FOXO4  PRKAG2  PIK3R1  PRKAG1  MAPK8  STAT3  STK4"
9.93720488905379e-16,16,162,21.9403092412801,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CREB1  CREBBP  EP300  IKBKB  IL6  NFKB1  PIK3R1  PRKCA  PRKCG  MAPK8  BAX  SRC  STAT3  STAT5B  TP53  CASP3"
9.93720488905379e-16,16,161,22.0765844539589,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  CRK  EGFR  EP300  SIRT1  ABL1  IKBKB  NFKB1  PIK3R1  PRKCA  PRKCG  PTGS2  BRCA1  STAT3  TP53  CASP3"
1.14525808551125e-15,17,202,18.6954243968086,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," CREB1  CREBBP  EP300  IL6ST  NFKB1  PIK3R1  PRKACB  BAX  SRC  STAT3  STAT5B  TP53  TRAF2  CASP3  H4C4  H4C6  H4C2"
5.95312201031081e-14,13,109,26.4944330631513,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," CREBBP  EGFR  EP300  HK1  HK2  IL6  IL6R  NFKB1  PIK3R1  PRKCA  PRKCG  STAT3  HKDC1"
5.95312201031081e-14,16,214,16.6090191452681,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," CYP2C9  IKBKB  IL6  NFE2L2  NFKB1  PIK3R1  PLCB2  PRKCA  MAPK8  BAX  RAP1A  SRC  STAT3  TP53  TRAF2  CASP3"
1.47836965122916e-13,12,89,29.9522199192757,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," CREB1  FOXO1  FOXO3  SIRT1  NFKB1  PRKAG2  PIK3R1  PRKACB  PRKAG1  BAX  TP53  EHMT1"
1.78484206632653e-13,13,120,24.0657766990291,"Path:hsa04935 Growth hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04935 "," CREB1  CREBBP  CRK  EP300  GNAS  PIK3R1  PLCB2  PRKACB  PRKCA  PRKCG  MAPK8  STAT3  STAT5B"
2.55069296650109e-13,15,197,16.9146419594894,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 "," PTGES3  CREB1  CYP3A4  EGFR  EPHX2  GNAS  GSTM1  NFKB1  PIK3R1  PRKACB  PRKCA  PRKCG  SRC  STAT3  STAT5B"
1.01152162247355e-12,12,106,25.1485620076937,"Path:hsa04922 Glucagon signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04922 "," CREB1  CREBBP  EP300  FOXO1  SIRT1  GCG  GNAS  PRKAG2  PLCB2  PRKACB  PRKAG1  PYGB"
9.7869991371387e-12,31,1538,4.47757773934122,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CDIPT  PTGES3  CYP2C9  CYP2E1  CYP3A4  EPHX2  ALDH1A1  AKR1B1  SIRT1  G6PD  GAA  GAD1  GCSH  GLA  GSTM1  GSTP1  HK1  HK2  KMT2A  PLCB2  PSPH  PTGS1  PTGS2  PYGB  SRR  SHMT2  TKT  EHMT1  HKDC1  NUDT12  CBR1"
9.79553730508639e-12,14,210,14.8097087378641,"Path:hsa04015 Rap1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04015 "," CRK  CTNNB1  EGFR  GNAS  GRIN2A  PIK3R1  PLCB2  PRKCA  PRKCG  PRKD1  RAC2  RAP1A  SRC  DOCK4"
9.79553730508639e-12,11,97,25.1917725953358,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 "," CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  GSTP1  IKBKB  NFKB1  PIK3R1  TP53"
1.2473675600867e-11,11,100,24.4360194174757,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," FOXO1  IL6  NFKB1  PIK3R1  PLCB2  PRKCA  MAPK8  BAX  STAT3  STAT5B  CASP3"
1.2473675600867e-11,10,72,30.8535598705502,"Path:hsa05223 Non-small cell lung cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05223 "," EGFR  FOXO3  PIK3R1  PRKCA  PRKCG  BAX  STAT3  STAT5B  STK4  TP53"
1.59216547086219e-11,14,221,14.0725739138075,"Path:hsa04024 cAMP signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04024 "," CREB1  CREBBP  EP300  GCG  GNAS  GRIN2A  NFKB1  PIK3R1  POMC  PRKACB  MAPK8  RAC2  RAP1A  TSHR"
1.59216547086219e-11,12,137,19.4580114804054,"Path:hsa04910 Insulin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04910 "," CRK  FOXO1  HK1  HK2  IKBKB  PRKAG2  PIK3R1  PRKACB  PRKAG1  MAPK8  PYGB  HKDC1"
1.71813114553511e-11,14,223,13.9463624885716,"Path:hsa05208 Chemical carcinogenesis-reactive oxygen species","http://www.genome.jp/kegg-bin/show_pathway?hsa05208 "," CYP2E1  EGFR  EPHX2  FOXO3  ABL1  GSTM1  IKBKB  NFE2L2  NFKB1  PIK3R1  PRKD1  MAPK8  SRC  CBR1"
1.80731873655796e-11,10,76,29.2296882984159,"Path:hsa05212 Pancreatic cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05212 "," EGFR  IKBKB  NFKB1  PIK3R1  MAPK8  BAX  RAC2  RAD51  STAT3  TP53"
1.87719470045031e-11,12,141,18.9060111547201,"Path:hsa04936 Alcoholic liver disease","http://www.genome.jp/kegg-bin/show_pathway?hsa04936 "," CTNNB1  CYP2E1  FOXO1  FOXO3  SIRT1  IKBKB  IL6  NFKB1  PRKAG2  PRKAG1  MAPK8  CASP3"
2.18013389701924e-11,11,108,22.6259439050701,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," CREB1  FOXO1  IKBKB  IL6  NFKB1  PRKAG2  PIK3R1  PRKAG1  MAPK8  PYGB  STAT3"
2.38638719425864e-11,10,79,28.119700135185,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," EGFR  FOXO3  IL6  IL6R  PIK3R1  PRKCA  PRKCG  BAX  SRC  STAT3"
2.85204213354735e-11,14,235,13.2342078083041,"Path:hsa04014 Ras signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04014 "," EGFR  ABL1  GRIN2A  IKBKB  FOXO4  NFKB1  PIK3R1  PRKACB  PRKCA  PRKCG  MAPK8  RAC2  RAP1A  STK4"
4.05625931276319e-11,15,294,11.3339607687735,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," CRK  EGFR  IKBKB  JUND  NFKB1  PRKACB  PRKCA  PRKCG  MAPK8  RAC2  RAP1A  STK4  TP53  TRAF2  CASP3"
4.80418164289301e-11,12,155,17.1983714375196,"Path:hsa04932 Non-alcoholic fatty liver disease","http://www.genome.jp/kegg-bin/show_pathway?hsa04932 "," CYP2E1  IKBKB  IL6  IL6R  NFKB1  PRKAG2  PIK3R1  PRKAG1  MAPK8  BAX  TRAF2  CASP3"
5.15877025653626e-11,11,119,20.5344700987191,"Path:hsa04071 Sphingolipid signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04071 "," FYN  NFKB1  PIK3R1  PLCB2  PRKCA  PRKCG  MAPK8  BAX  RAC2  TP53  TRAF2"
5.15877025653626e-11,11,119,20.5344700987191,"Path:hsa04722 Neurotrophin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04722 "," CRK  FOXO3  ABL1  IKBKB  NFKB1  PIK3R1  MAPK8  BAX  RAP1A  TP53  TP73"
6.00747165200309e-11,11,121,20.1950573698146,"Path:hsa04919 Thyroid hormone signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04919 "," CREBBP  CTNNB1  EP300  FOXO1  PIK3R1  PLCB2  PRKACB  PRKCA  PRKCG  SRC  TP53"
1.85499859453936e-10,15,331,10.0670225559499,"Path:hsa05165 Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05165 "," CREB1  CREBBP  CTNNB1  EGFR  EP300  FOXO1  GNAS  IKBKB  NFKB1  PIK3R1  PRKACB  PTGS2  BAX  TP53  CASP3"
