"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.30246110089224e-09,8,76,22.7219463753724,"Path:hsa05140 Leishmaniasis","http://www.genome.jp/kegg-bin/show_pathway?hsa05140 "," FOS  ITGB1  JAK1  JAK2  JUN  PRKCB  PTGS2  RELA"
7.30246110089224e-09,8,76,22.7219463753724,"Path:hsa05212 Pancreatic cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05212 "," EGFR  ERBB2  JAK1  PIK3R1  MAPK8  RELA  STAT3  TP53"
7.87371505755957e-09,9,112,17.3457715633423,"Path:hsa04726 Serotonergic synapse","http://www.genome.jp/kegg-bin/show_pathway?hsa04726 "," CYP2C9  GNAQ  PLCB3  PRKACB  PRKACG  PRKCA  PRKCB  PTGS2  CASP3"
8.19014709063796e-09,10,155,13.926354230067,"Path:hsa04932 Non-alcoholic fatty liver disease","http://www.genome.jp/kegg-bin/show_pathway?hsa04932 "," FOS  IL6  JUN  PRKAG2  PIK3R1  PRKAG3  MAPK8  RELA  TRAF2  CASP3"
8.19014709063796e-09,7,49,30.8369272237197,"Path:hsa05030 Cocaine addiction","http://www.genome.jp/kegg-bin/show_pathway?hsa05030 "," CREB1  GRIN2A  JUN  PDYN  PRKACB  PRKACG  RELA"
8.19014709063796e-09,11,203,11.6967654986523,"Path:hsa05415 Diabetic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05415 "," PARP1  G6PD  GSR  GYS2  PIK3R1  PLCB3  PPP1CA  PRKCA  PRKCB  MAPK8  RELA"
9.16855756454913e-09,10,157,13.7489484436967,"Path:hsa05160 Hepatitis C","http://www.genome.jp/kegg-bin/show_pathway?hsa05160 "," CTNNB1  EGFR  JAK1  PIK3R1  RELA  STAT3  TP53  TRAF2  YWHAG  CASP3"
1.12152429051137e-08,11,210,11.3068733153639,"Path:hsa05170 Human immunodeficiency virus 1 infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05170 "," FOS  GNAQ  JUN  ATM  PIK3R1  PRKCA  PRKCB  MAPK8  RELA  TRAF2  CASP3"
1.21415900598545e-08,10,162,13.3245981830888,"Path:hsa04630 JAK-STAT signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04630 "," CREBBP  EGFR  EP300  IL6  JAK1  JAK2  PIK3R1  STAT3  STAT4  STAT5B"
1.80220469453931e-08,8,86,20.0798595875384,"Path:hsa05210 Colorectal cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05210 "," CTNNB1  EGFR  FOS  JUN  PIK3R1  MAPK8  TP53  CASP3"
