"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.21213459988795e-29,27,202,28.0582705059497,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," HDAC5  H4-16  CREB1  CREBBP  EP300  NFKB1  H4C15  PRKACB  PRKACG  BAX  STAT3  TP53  TRAF2  YWHAB  H4C9  H4C1  CASP3  H4C4  H4C6  H4C12  H4C11  H4C3  H4C8  H4C2  H4C5  H4C13  H4C14"
4.021027959839e-21,21,189,23.3241590214067,"Path:hsa04613 Neutrophil extracellular trap formation","http://www.genome.jp/kegg-bin/show_pathway?hsa04613 "," HDAC6  HDAC5  H4-16  NFKB1  PLCG2  H4C15  PRKCA  PRKCB  RAC2  H4C9  H4C1  H4C4  H4C6  H4C12  H4C11  H4C3  H4C8  H4C2  H4C5  H4C13  H4C14"
4.021027959839e-21,21,186,23.7003551346552,"Path:hsa05034 Alcoholism","http://www.genome.jp/kegg-bin/show_pathway?hsa05034 "," HDAC5  H4-16  CREB1  GRIN2A  MAOB  PDYN  H4C15  PRKACB  PRKACG  H4C9  H4C1  H4C4  H4C6  H4C12  H4C11  H4C3  H4C8  H4C2  H4C5  H4C13  H4C14"
1.62266654973452e-17,26,530,10.2978362471871,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CTNNB1  EGFR  EP300  FOXO1  ABL1  GSTA3  GSTM1  GSTP1  IL6  NFE2L2  NFKB1  PLCG2  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  PTGS2  BAX  RAC2  STAT3  STK4  TP53  TRAF2  CASP3"
2.43815634762207e-17,19,214,18.6375289376661,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," NLRP3  CYP1A1  CYP2A6  CYP2B6  CYP2C8  CYP2C9  IL6  IL18  NFE2L2  NFKB1  PRKCA  MAPK8  BAX  RAP1A  RAP1B  STAT3  TP53  TRAF2  CASP3"
4.46162899100796e-15,15,135,23.3241590214067,"Path:hsa05322 Systemic lupus erythematosus","http://www.genome.jp/kegg-bin/show_pathway?hsa05322 "," H4-16  GRIN2A  H4C15  H4C9  H4C1  H4C4  H4C6  H4C12  H4C11  H4C3  H4C8  H4C2  H4C5  H4C13  H4C14"
4.17821981195675e-14,16,194,17.3127778303225,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  IL6  NFKB1  PLCG2  MAPK8  PTGS2  BAX  STAT3  TP53  TRAF2  UBA52  UBC  CASP3"
4.85976785092121e-14,15,161,19.5575246452789,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  DNMT3A  EGFR  EP300  SIRT1  ABL1  NFKB1  PLCG2  PRKCA  PRKCB  PTGS2  BRCA1  STAT3  TP53  CASP3"
3.15227316617799e-13,16,224,14.9941022280472,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CTNNB1  EGFR  IL6  NFKB1  PRKACB  PRKACG  PRKCA  PRKCB  PTGS2  BAX  RAC2  STAT3  TP53  TRAF2  CASP3"
3.44731506195441e-13,34,1538,4.64056739957767,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CDIPT  PTGES3  SDS  CYP1A1  CYP2A6  CYP2B6  CYP2C8  CYP2C9  CYP3A4  DNMT3A  AHCY  EPHX2  ALDH1A1  SIRT1  GAA  GSTA3  GSTM1  GSTP1  GYG1  AOX1  MAOB  KMT2A  PLCG2  AKR1B10  PSPH  PTGS2  PYGM  SRR  SHMT2  AGXT2  HKDC1  KMT2D  NUDT12  CBR1"
