"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.62196520863567e-24,32,530,12.674259996538,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CTNNB1  EGFR  EP300  ERBB2  FOXO1  ABL1  GNAQ  GSTM1  GSTP1  IL6  ITGB1  JAK2  JUN  NFE2L2  PLCB2  PLCG1  PRKACG  PRKCA  PRKCG  MAPK8  MAPK9  PTGS2  RAC2  RELA  STAT3  STAT4  STK4  TP53  TRAF2  CASP3  GSTO1"
9.195201227166e-17,39,1538,5.32300378186851,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CDIPT  PTGES3  SDS  CYP1A1  CYP3A4  DLD  DNMT1  AGXT  AHCY  EPHX2  ALDH1A1  SIRT1  G6PD  GAA  GAD1  GCSH  HPGDS  GLUD2  GSR  GSTM1  GSTP1  GYG1  GYS1  HK2  HK3  AOX1  KMT2A  PLCB2  PLCG1  PSPH  PTGS2  PYGM  SRR  SHMT2  AGXT2  TKT  NUDT12  GSTO1  CD38"
1.19728999830389e-16,17,162,22.0283724091064,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CREB1  CREBBP  EP300  IL6  JAK2  JUN  PCNA  PRKCA  PRKCG  MAPK8  MAPK9  RELA  STAT3  STAT4  TP53  YWHAB  CASP3"
1.19728999830389e-16,18,194,19.4768750591128,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  IL6  JAK2  JUN  PLCG1  MAPK8  MAPK9  PTGS2  RELA  STAT3  TP53  TRAF2  UBA52  UBC  CASP3"
1.19728999830389e-16,17,161,22.1651945979828,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  DNMT1  EGFR  EP300  ERBB2  SIRT1  ABL1  SHC4  ATM  PLCG1  PRKCA  PRKCG  PTGS2  BRCA1  STAT3  TP53  CASP3"
2.57699464425414e-14,14,120,24.4903669724771,"Path:hsa04935 Growth hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04935 "," CREB1  CREBBP  EP300  GNAQ  JAK2  SHC4  PLCB2  PLCG1  PRKACG  PRKCA  PRKCG  MAPK8  MAPK9  STAT3"
1.01986470345677e-13,17,246,14.5064891474603,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," EGFR  FOXO1  HK2  HK3  ITGB1  JUN  ATM  PLCB2  PLCG1  MAPK8  MAPK9  RELA  TP53  TRAF2  UBA52  UBC  H3C11"
1.80991898329598e-13,16,214,15.6947612106662,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," CYP1A1  IL6  JAK2  JUN  NFE2L2  PLCB2  PLCG1  PRKCA  MAPK8  MAPK9  RAP1B  RELA  STAT3  TP53  TRAF2  CASP3"
3.30003597084259e-13,16,224,14.9941022280472,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CTNNB1  EGFR  GNAQ  IL6  PLCB2  PRKACG  PRKCA  PRKCG  PTGS2  RAC2  RELA  STAT3  TP53  TRAF2  CASP3"
8.28610907905512e-13,15,197,15.9835607507102,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 "," PTGES3  CREB1  CYP1A1  CYP3A4  EGFR  EPHX2  GSTM1  JAK2  JUN  PRKACG  PRKCA  PRKCG  RELA  STAT3  GSTO1"
