"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.63512697193597e-26,34,530,12.9897144765403,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CRK  CTNNB1  EGFR  EP300  FOXO1  ABL1  GNAQ  GNB1  GRB2  GSTA3  GSTM1  GSTP1  IL6  IL6ST  ITGB1  JUN  RHOA  NFE2L2  NFKB1  PIK3R1  PRKACB  PRKACG  PRKCA  PRKCB  MAPK8  PTGS2  BAX  STAT4  STK4  TCF7L2  TP53  CASP3  GSTO1"
6.29182879115421e-18,41,1538,5.39789060611989,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," PTGES3  SDS  CYP1A1  CYP2C9  CYP2E1  CYP2J2  CYP3A4  ALDH1L2  AGXT  EPHX2  ALDH1A1  AKR1B1  SIRT3  KDSR  G6PD  GAA  GAD1  GCSH  GSTA3  GSTM1  GSTP1  GYG1  GYS1  GYS2  HK2  HSD3B2  MAOA  KMT2A  SPTLC3  PSPH  PTGS2  PYGM  SRR  SHMT2  TKT  HKDC1  NUDT12  CBR1  SPHK1  GRHPR  GSTO1"
2.03637270263577e-16,19,224,17.1752133375474,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CRK  CTNNB1  EGFR  GNAQ  GNB1  GRB2  IL6  RHOA  NFKB1  PIK3R1  PRKACB  PRKACG  PRKCA  PRKCB  PTGS2  BAX  TP53  CASP3"
2.54003929504331e-16,18,194,18.7874281543655,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  GNB1  IL6  IL6ST  JUN  NFKB1  PIK3R1  MAPK8  PTGS2  BAX  RPS27A  TCF7L2  TP53  UBC  CASP3"
7.14040354417314e-16,19,246,15.6392186488237,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," NLRP3  CRK  EGFR  FOXO1  FOXO3  HK2  IL18  ITGB1  JUN  RHOA  FOXO4  NFKB1  PIK3R1  MAPK8  BAX  RPS27A  TP53  UBC  HKDC1"
5.27246237691624e-15,17,197,17.4734737882395,"Path:hsa05207 Chemical carcinogenesis-receptor activation","http://www.genome.jp/kegg-bin/show_pathway?hsa05207 "," PTGES3  CREB1  CYP1A1  CYP3A4  EGFR  EPHX2  GRB2  GSTA3  GSTM1  JUN  NFKB1  PIK3R1  PRKACB  PRKACG  PRKCA  PRKCB  GSTO1"
6.90714507398831e-15,17,202,17.0409620608078,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," CREB1  CREBBP  EP300  GRB2  IL6ST  JUN  RHOA  NFKB1  PIK3R1  PRKACB  PRKACG  BAX  TP53  YWHAG  CASP3  H4C6  H4C14"
1.59906398771052e-14,17,214,16.0853940947812,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," NLRP3  CYP1A1  CYP2C9  CYP2J2  IL6  IL18  JUN  RHOA  NFE2L2  NFKB1  PIK3R1  PRKCA  MAPK8  BAX  RAP1B  TP53  CASP3"
2.83775939398118e-14,17,223,15.4362077860233,"Path:hsa05208 Chemical carcinogenesis-reactive oxygen species","http://www.genome.jp/kegg-bin/show_pathway?hsa05208 "," CYP1A1  CYP2E1  EGFR  EPHX2  FOXO3  ABL1  GRB2  GSTA3  GSTM1  JUN  NFE2L2  NFKB1  PIK3R1  PRKD1  MAPK8  CBR1  GSTO1"
6.96133427843867e-14,15,162,18.7487708947886,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CREB1  CREBBP  EP300  GRB2  IL6  JUN  NFKB1  PIK3R1  PRKCA  PRKCB  MAPK8  BAX  STAT4  TP53  CASP3"
