"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.81207837463921e-21,30,530,11.3609731876862,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CREBBP  CTNNB1  EGFR  EP300  FOXO1  ABL1  GNAQ  GNB1  GSTM1  GSTP1  IL6  JUN  NFKB1  PIK3R1  PLCG2  PRKACG  PRKCA  PRKCB  MAPK8  PTGS2  BAX  RAC3  STAT4  STK4  TP53  TRAF2  CAMK2A  CASP3  CASP8  GSTO1"
1.4524579317859e-20,44,1538,5.7420436657313,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," PTGES3  AHCYL1  ALDH1L1  SDS  CYP1A1  CYP1A2  CYP2A6  CYP2C9  CYP2J2  CYP3A4  DNMT1  AGXT  DHFR2  EPHX2  ALDH1A1  SIRT1  KDSR  GAA  GAD1  GATM  HPGDS  AMY2A  GSTM1  GSTP1  GYG1  GYS1  HK1  HK3  HSD3B1  KMT2A  PLCG2  SPHK2  AKR1B10  PSPH  PTGS2  PYGM  SRR  SHMT2  EHMT1  NUDT12  AKR1C3  CBR1  GSTO1  SPTLC2"
4.09269452912513e-18,20,214,18.7579931136252,"Path:hsa05417 Lipid and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05417 "," CYP1A1  CYP2A6  CYP2C9  CYP2J2  IL6  JUN  NFKB1  PDPK1  PIK3R1  PRKCA  MAPK8  BAX  RAP1A  RAP1B  MAP3K7  TP53  TRAF2  CAMK2A  CASP3  CASP8"
1.15320868547265e-17,19,194,19.6572164948454,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," CREB1  CREBBP  CTNNB1  EP300  GNB1  IL6  JUN  NFKB1  PIK3R1  PLCG2  MAPK8  PTGS2  BAX  TP53  TRAF2  UBB  UBC  CASP3  CASP8"
2.16320939034795e-16,16,131,24.514262756127,"Path:hsa04068 FoxO signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04068 "," CREBBP  EGFR  EP300  FOXO1  FOXO3  SIRT1  IL6  FOXO4  ATM  PRKAG2  PDPK1  PIK3R1  PRKAG3  PRKAA2  MAPK8  STK4"
2.58414755917907e-15,18,224,16.1285244360902,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CREB1  CTNNB1  EGFR  GNAQ  GNB1  IL6  NFKB1  PIK3R1  PRKACG  PRKCA  PRKCB  PTGS2  BAX  RAC3  TP53  TRAF2  CASP3  CASP8"
4.30829022874218e-15,16,162,19.8232618583496,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CREB1  CREBBP  EP300  IL6  JUN  NFKB1  PIK3R1  PRKCA  PRKCB  MAPK8  BAX  STAT4  MAP3K7  TP53  CASP3  CASP8"
4.30829022874218e-15,16,161,19.9463877084014,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  DNMT1  EGFR  EP300  SIRT1  ABL1  ATM  NFKB1  PIK3R1  PLCG2  PRKCA  PRKCB  PTGS2  BRCA1  TP53  CASP3"
9.08216725556598e-15,18,246,14.686136071887,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," EGFR  FOXO1  FOXO3  HK1  HK3  JUN  FOXO4  ATM  NFKB1  PIK3R1  PLCG2  MAPK8  BAX  MAP3K7  TP53  TRAF2  UBB  UBC"
1.53097416458819e-14,13,89,29.3172678888232,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," CREB1  FOXO1  FOXO3  SIRT1  NFKB1  PRKAG2  PIK3R1  PRKAG3  PRKAA2  PRKACG  BAX  TP53  EHMT1"
