"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.81985035528279e-28,36,530,13.5146185397867,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," GNB5  CREBBP  CTNNB1  EGFR  EP300  FOXO1  MTOR  ABL1  GSTM1  GSTP1  IL6  IL6R  IL6ST  IL13  ITGB1  JAK1  JUN  NFE2L2  NFKB1  PIK3R1  PLCB3  PLCG1  PLCG2  GNG2  PRKACG  PRKCA  PRKCB  MAPK8  PTGS2  BAX  RAC2  STAT3  STK4  TP53  TRAF2  CASP3"
1.06718606842646e-24,24,194,24.6142536978933,"Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05167 "," GNB5  CREB1  CREBBP  CTNNB1  EP300  MTOR  IL6  IL6ST  JAK1  JUN  NFKB1  PIK3R1  PLCG1  PLCG2  GNG2  MAPK8  PTGS2  BAX  STAT3  SYK  TP53  TRAF2  UBC  CASP3"
1.99515101671467e-20,22,224,19.5412267080745,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," GNB5  CREB1  CTNNB1  EGFR  MTOR  IL6  IL6R  JAK1  NFKB1  PIK3R1  PLCB3  GNG2  PRKACG  PRKCA  PRKCB  PTGS2  BAX  RAC2  STAT3  TP53  TRAF2  CASP3"
2.79592366542992e-18,21,246,16.984835630965,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," EGFR  FOXO1  FOXO3  MTOR  HK2  ITGB1  JUN  FOXO4  NFKB1  PIK3R1  PLCB3  PLCG1  PLCG2  MAPK8  BAX  ACTB  TP53  TRAF2  UBC  HKDC1  H3C2"
5.45262800132025e-18,41,1538,5.30401424775259,"Path:hsa01100 Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?hsa01100 "," CDIPT  PTGES3  ADH7  GLYCTK  CYP1A2  CYP2A6  CYP2C9  CYP2E1  ALDH1L2  AGXT  EPHX2  ALDH1A1  ALDH9A1  AKR1B1  SIRT1  G6PD  GAA  GAD2  GATM  AMY2A  GSR  GSTM1  GSTP1  GYG1  GYS1  GYS2  HK2  MAOA  KMT2A  PLCB3  PLCG1  PLCG2  PSPH  PTGS2  PYGL  SRR  SHMT2  TKT  HKDC1  NUDT12  AKR1C3"
8.02198383554383e-18,18,161,22.2445584661086,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CREBBP  CYP1B1  EGFR  EP300  SIRT1  MTOR  ABL1  NFKB1  PIK3R1  PLCG1  PLCG2  PRKCA  PRKCB  PTGS2  BRCA1  STAT3  TP53  CASP3"
2.9301122270992e-16,15,108,27.6340579710145,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," CREB1  FOXO1  MTOR  GYS1  GYS2  IL6  NFKB1  PRKAG2  PIK3R1  PRKAA1  PRKAG1  PRKCB  MAPK8  PYGL  STAT3"
2.96075584415022e-16,15,109,27.3805345033905,"Path:hsa04066 HIF-1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04066 "," CREBBP  EGFR  EP300  MTOR  HK2  IL6  IL6R  NFKB1  PIK3R1  PLCG1  PLCG2  PRKCA  PRKCB  STAT3  HKDC1"
3.30553963102173e-16,18,202,17.7295738269479,"Path:hsa05203 Viral carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa05203 "," CREB1  CREBBP  EP300  IL6ST  JAK1  JUN  NFKB1  PIK3R1  PRKACG  BAX  STAT3  SYK  TP53  TRAF2  YWHAG  CASP3  H4C4  H4C6"
2.40716417789405e-15,14,100,27.8551304347826,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," FOXO1  IL6  JUN  NFKB1  PIK3R1  PLCB3  PLCG1  PLCG2  PRKCA  PRKCB  MAPK8  BAX  STAT3  CASP3"
