Compound,Protein,Neighborhood_1,Tag
Magnesium,GLUD1,1Neigh,1Neigh-Magnesium
Magnesium,NAGS,1Neigh,1Neigh-Magnesium
Magnesium,GOT1L1,1Neigh,1Neigh-Magnesium
Magnesium,GLUD2,1Neigh,1Neigh-Magnesium
Magnesium,IDH2,1Neigh,1Neigh-Magnesium
Magnesium,GPT2,1Neigh,1Neigh-Magnesium
Magnesium,GPX6,1Neigh,1Neigh-Magnesium
Magnesium,GPX7,1Neigh,1Neigh-Magnesium
Magnesium,FH,1Neigh,1Neigh-Magnesium
Magnesium,SDHC,1Neigh,1Neigh-Magnesium
Magnesium,GOT1,1Neigh,1Neigh-Magnesium
Magnesium,OGDHL,1Neigh,1Neigh-Magnesium
Magnesium,SDHB,1Neigh,1Neigh-Magnesium
Magnesium,SDHD,1Neigh,1Neigh-Magnesium
Magnesium,GPX3,1Neigh,1Neigh-Magnesium
Magnesium,GPX2,1Neigh,1Neigh-Magnesium
Magnesium,IL6,1Neigh,1Neigh-Magnesium
Magnesium,OGDH,1Neigh,1Neigh-Magnesium
Magnesium,GPX5,1Neigh,1Neigh-Magnesium
Magnesium,B9D2,1Neigh,1Neigh-Magnesium
Magnesium,DNAJB1,1Neigh,1Neigh-Magnesium
Magnesium,CCT7,1Neigh,1Neigh-Magnesium
Magnesium,TAOK1,1Neigh,1Neigh-Magnesium
Magnesium,KIF18A,1Neigh,1Neigh-Magnesium
Magnesium,CLASP1,1Neigh,1Neigh-Magnesium
Magnesium,SGO1,1Neigh,1Neigh-Magnesium
Magnesium,FBXW11,1Neigh,1Neigh-Magnesium
Magnesium,CENPE,1Neigh,1Neigh-Magnesium
Magnesium,SPDL1,1Neigh,1Neigh-Magnesium
Magnesium,KIF2B,1Neigh,1Neigh-Magnesium
Magnesium,DYNC1LI1,1Neigh,1Neigh-Magnesium
Magnesium,CCT5,1Neigh,1Neigh-Magnesium
Magnesium,CENPU,1Neigh,1Neigh-Magnesium
Magnesium,RANBP2,1Neigh,1Neigh-Magnesium
Magnesium,SKA1,1Neigh,1Neigh-Magnesium
Magnesium,CCT2,1Neigh,1Neigh-Magnesium
Magnesium,BUB1,1Neigh,1Neigh-Magnesium
Magnesium,DYNC1I1,1Neigh,1Neigh-Magnesium
Magnesium,CLASP2,1Neigh,1Neigh-Magnesium
Magnesium,SKA2,1Neigh,1Neigh-Magnesium
Magnesium,NDEL1,1Neigh,1Neigh-Magnesium
Magnesium,ERCC6L,1Neigh,1Neigh-Magnesium
Magnesium,HSP90AA1,1Neigh,1Neigh-Magnesium
Magnesium,CENPA,1Neigh,1Neigh-Magnesium
Magnesium,PPP1CC,1Neigh,1Neigh-Magnesium
Magnesium,DYNC1H1,1Neigh,1Neigh-Magnesium
Magnesium,SGO2,1Neigh,1Neigh-Magnesium
Magnesium,AHCTF1,1Neigh,1Neigh-Magnesium
Magnesium,CENPF,1Neigh,1Neigh-Magnesium
Magnesium,KIF2C,1Neigh,1Neigh-Magnesium
Magnesium,CDC20,1Neigh,1Neigh-Magnesium
Magnesium,EIF3I,1Neigh,1Neigh-Magnesium
Magnesium,MAPRE1,1Neigh,1Neigh-Magnesium
Magnesium,DYNLL1,1Neigh,1Neigh-Magnesium
Magnesium,INCENP,1Neigh,1Neigh-Magnesium
Magnesium,SLC32A1,1Neigh,1Neigh-Magnesium
Magnesium,MOCS3,1Neigh,1Neigh-Magnesium
Magnesium,SYP,1Neigh,1Neigh-Magnesium
Magnesium,GLRB,1Neigh,1Neigh-Magnesium
Magnesium,NRXN2,1Neigh,1Neigh-Magnesium
Magnesium,NLGN2,1Neigh,1Neigh-Magnesium
Magnesium,MOCS1,1Neigh,1Neigh-Magnesium
Magnesium,NLGN4X,1Neigh,1Neigh-Magnesium
Magnesium,MOCS2,1Neigh,1Neigh-Magnesium
Magnesium,NRXN1,1Neigh,1Neigh-Magnesium
Magnesium,MCM5,1Neigh,1Neigh-Magnesium
Magnesium,NME3,1Neigh,1Neigh-Magnesium
Magnesium,NME4,1Neigh,1Neigh-Magnesium
Magnesium,MCM4,1Neigh,1Neigh-Magnesium
Magnesium,MCM6,1Neigh,1Neigh-Magnesium
Magnesium,TK2,1Neigh,1Neigh-Magnesium
