Protein,Neighborhood_1,Compound,Tag
SBNO1,Target,Pain,Target-Pain
MSL2,Target,Pain,Target-Pain
PET100,Target,Pain,Target-Pain
CPNE7,Target,Pain,Target-Pain
CARF,Target,Pain,Target-Pain
CDKN2AIP,Target,Pain,Target-Pain
GMPPB,Target,Pain,Target-Pain
SERTAD4,Target,Pain,Target-Pain
MTMR3,Target,Pain,Target-Pain
KLHDC8B,Target,Pain,Target-Pain
POM121,Target,Pain,Target-Pain
P4HTM,Target,Pain,Target-Pain
YEATS4,Target,Pain,Target-Pain
FOXA3,Target,Pain,Target-Pain
BCS1L,Target,Pain,Target-Pain
THSD7B,Target,Pain,Target-Pain
RFLNA,Target,Pain,Target-Pain
KLHL25,Target,Pain,Target-Pain
SPATA31D3,Target,Pain,Target-Pain
IKBIP,Target,Pain,Target-Pain
SPATA31D4,Target,Pain,Target-Pain
KANSL1,Target,Pain,Target-Pain
SHISAL2A,Target,Pain,Target-Pain
IRAG2,Target,Pain,Target-Pain
C2CD5,Target,Pain,Target-Pain
DNAI7,Target,Pain,Target-Pain
ETFRF1,Target,Pain,Target-Pain
KRAS,Target,Pain,Target-Pain
UBXN2A,Target,Pain,Target-Pain
FKBP1B,Target,Pain,Target-Pain
PAPOLG,Target,Pain,Target-Pain
GTF2B,Target,Pain,Target-Pain
SF3B6,Target,Pain,Target-Pain
PFN4,Target,Pain,Target-Pain
ITSN2,Target,Pain,Target-Pain
MFSD2B,Target,Pain,Target-Pain
WDCP,Target,Pain,Target-Pain
FAM228B,Target,Pain,Target-Pain
TP53I3,Target,Pain,Target-Pain
FAM228A,Target,Pain,Target-Pain
CAMK1G,Target,Pain,Target-Pain
CTDSPL2,Target,Pain,Target-Pain
PTPN12,Target,Pain,Target-Pain
GPR101,Target,Pain,Target-Pain
CNNM2,Target,Pain,Target-Pain
ATXN1L,Target,Pain,Target-Pain
SERPINA12,Target,Pain,Target-Pain
PPP6C,Target,Pain,Target-Pain
SLC44A2,Target,Pain,Target-Pain
PDE3A,Target,Pain,Target-Pain
THRA,Target,Pain,Target-Pain
THRB,Target,Pain,Target-Pain
ZFAND2A,Target,Pain,Target-Pain
MPHOSPH9,Target,Pain,Target-Pain
ABCB9,Target,Pain,Target-Pain
NADK2,Target,Pain,Target-Pain
FAM53A,Target,Pain,Target-Pain
MAPRE3,Target,Pain,Target-Pain
PREX2,Target,Pain,Target-Pain
ANAPC7,Target,Pain,Target-Pain
IFT81,Target,Pain,Target-Pain
ABCB1,Target,Pain,Target-Pain
AP1G1,Target,Pain,Target-Pain
IGFBP5,Target,Pain,Target-Pain
ATAD2B,Target,Pain,Target-Pain
SH2B3,Target,Pain,Target-Pain
ORC5,Target,Pain,Target-Pain
SRPK2,Target,Pain,Target-Pain
AAK1,Target,Pain,Target-Pain
P2RX7,Target,Pain,Target-Pain
CRP,Target,Pain,Target-Pain
TCTA,Target,Pain,Target-Pain
REST,Target,Pain,Target-Pain
IHO1,Target,Pain,Target-Pain
HMGCR,Target,Pain,Target-Pain
HMGB1,Target,Pain,Target-Pain
EPO,Target,Pain,Target-Pain
EPX,Target,Pain,Target-Pain
NTRK1,Target,Pain,Target-Pain
APAF1,Target,Pain,Target-Pain
SLC9A4,Target,Pain,Target-Pain
RASEF,Target,Pain,Target-Pain
ICE2,Target,Pain,Target-Pain
TLE1,Target,Pain,Target-Pain
INSC,Target,Pain,Target-Pain
PDE4A,Target,Pain,Target-Pain
GPR27,Target,Pain,Target-Pain
MGLL,Target,Pain,Target-Pain
IL1R1,Target,Pain,Target-Pain
MSANTD1,Target,Pain,Target-Pain
ATP1A3,Target,Pain,Target-Pain
EIF3J,Target,Pain,Target-Pain
PDE10A,Target,Pain,Target-Pain
KCNJ11,Target,Pain,Target-Pain
PDE5A,Target,Pain,Target-Pain
PDE4C,Target,Pain,Target-Pain
PDE4D,Target,Pain,Target-Pain
ATP1A2,Target,Pain,Target-Pain
ABCC8,Target,Pain,Target-Pain
ATP1A1,Target,Pain,Target-Pain
PDE4B,Target,Pain,Target-Pain
ATP1A4,Target,Pain,Target-Pain
DCAKD,Target,Pain,Target-Pain
SPDYE18,Target,Pain,Target-Pain
RSBN1L,Target,Pain,Target-Pain
SPDYE17,Target,Pain,Target-Pain
CCDC146,Target,Pain,Target-Pain
FGL2,Target,Pain,Target-Pain
PHTF2,Target,Pain,Target-Pain
TMEM60,Target,Pain,Target-Pain
CSH2,Target,Pain,Target-Pain
CTBP1,Target,Pain,Target-Pain
TLR5,Target,Pain,Target-Pain
RGS21,Target,Pain,Target-Pain
TFAP2D,Target,Pain,Target-Pain
TRAIP,Target,Pain,Target-Pain
CXCL8,Target,Pain,Target-Pain
LRRC37A2,Target,Pain,Target-Pain
HPR,Target,Pain,Target-Pain
DHX38,Target,Pain,Target-Pain
TXNL4B,Target,Pain,Target-Pain
ICAM1,Target,Pain,Target-Pain
CHD3,Target,Pain,Target-Pain
OGFOD2,Target,Pain,Target-Pain
TLR3,Target,Pain,Target-Pain
RHOA,Target,Pain,Target-Pain
IL6,Target,Pain,Target-Pain
SUZ12,Target,Pain,Target-Pain
ICAM5,Target,Pain,Target-Pain
TGM2,Target,Pain,Target-Pain
HOATZ,Target,Pain,Target-Pain
CABLES2,Target,Pain,Target-Pain
PRL,Target,Pain,Target-Pain
PBX1,Target,Pain,Target-Pain
APH1A,Target,Pain,Target-Pain
SKIDA1,Target,Pain,Target-Pain
NEK10,Target,Pain,Target-Pain
FAM216A,Target,Pain,Target-Pain
IL6R,Target,Pain,Target-Pain
BDNF,Target,Pain,Target-Pain
AMT,Target,Pain,Target-Pain
IL1B,Target,Pain,Target-Pain
BSN,Target,Pain,Target-Pain
SLC8A1,Target,Pain,Target-Pain
CKM,Target,Pain,Target-Pain
SIGLEC15,Target,Pain,Target-Pain
LAYN,Target,Pain,Target-Pain
TG,Target,Pain,Target-Pain
ZC3H11C,Target,Pain,Target-Pain
FKBP1C,Target,Pain,Target-Pain
ARPC3,Target,Pain,Target-Pain
C20ORF203,Target,Pain,Target-Pain
DALRD3,Target,Pain,Target-Pain
TNR,Target,Pain,Target-Pain
ZNF708,Target,Pain,Target-Pain
PCSK9,Target,Pain,Target-Pain
LGSN,Target,Pain,Target-Pain
MBD5,Target,Pain,Target-Pain
KIF12,Target,Pain,Target-Pain
PCCB,Target,Pain,Target-Pain
IGF1,Target,Pain,Target-Pain
KMT5A,Target,Pain,Target-Pain
PLCD4,Target,Pain,Target-Pain
IL1RN,Target,Pain,Target-Pain
C1ORF74,Target,Pain,Target-Pain
CLDN18,Target,Pain,Target-Pain
WDR12,Target,Pain,Target-Pain
MXD3,Target,Pain,Target-Pain
MGST2,Target,Pain,Target-Pain
RPGRIP1L,Target,Pain,Target-Pain
USP37,Target,Pain,Target-Pain
CATSPERE,Target,Pain,Target-Pain
SLC29A4,Target,Pain,Target-Pain
ANAPC2,Target,Pain,Target-Pain
GDPD3,Target,Pain,Target-Pain
ZNF568,Target,Pain,Target-Pain
ZNF821,Target,Pain,Target-Pain
RAB24,Target,Pain,Target-Pain
LIPF,Target,Pain,Target-Pain
EBLN2,Target,Pain,Target-Pain
ASCC2,Target,Pain,Target-Pain
S100A12,Target,Pain,Target-Pain
PINX1,Target,Pain,Target-Pain
C1ORF54,Target,Pain,Target-Pain
SURF6,Target,Pain,Target-Pain
RPA1,Target,Pain,Target-Pain
PHLPP2,Target,Pain,Target-Pain
ARX,Target,Pain,Target-Pain
HVCN1,Target,Pain,Target-Pain
PLEKHM1,Target,Pain,Target-Pain
ITGAM,Target,Pain,Target-Pain
RCOR2,Target,Pain,Target-Pain
LRRC10B,Target,Pain,Target-Pain
CD14,Target,Pain,Target-Pain
SPDEF,Target,Pain,Target-Pain
LRRC32,Target,Pain,Target-Pain
LAMB3,Target,Pain,Target-Pain
SLC19A2,Target,Pain,Target-Pain
TMEM170A,Target,Pain,Target-Pain
ATP2A2,Target,Pain,Target-Pain
ARIH2,Target,Pain,Target-Pain
CD40,Target,Pain,Target-Pain
CIART,Target,Pain,Target-Pain
TTC12,Target,Pain,Target-Pain
ICA1L,Target,Pain,Target-Pain
GLP1R,Target,Pain,Target-Pain
BCAR1,Target,Pain,Target-Pain
NLRP1,Target,Pain,Target-Pain
OR6Q1,Target,Pain,Target-Pain
HMOX1,Target,Pain,Target-Pain
IL10,Target,Pain,Target-Pain
VPS29,Target,Pain,Target-Pain
NT5C2,Target,Pain,Target-Pain
CD28,Target,Pain,Target-Pain
IRF2BP1,Target,Pain,Target-Pain
WDR6,Target,Pain,Target-Pain
NCKIPSD,Target,Pain,Target-Pain
CYRIB,Target,Pain,Target-Pain
CCL2,Target,Pain,Target-Pain
ARL17A; ARL17B,Target,Pain,Target-Pain
TNFSF11,Target,Pain,Target-Pain
DDX42,Target,Pain,Target-Pain
RAD9B,Target,Pain,Target-Pain
PPTC7,Target,Pain,Target-Pain
ANGPT1,Target,Pain,Target-Pain
MAP1A,Target,Pain,Target-Pain
MMP9,Target,Pain,Target-Pain
BECN1,Target,Pain,Target-Pain
PNOC,Target,Pain,Target-Pain
CXCR4,Target,Pain,Target-Pain
CASP9,Target,Pain,Target-Pain
FBF1,Target,Pain,Target-Pain
ALB,Target,Pain,Target-Pain
KCNQ2,Target,Pain,Target-Pain
PACC1,Target,Pain,Target-Pain
CRH,Target,Pain,Target-Pain
C1QL1,Target,Pain,Target-Pain
CREB1,Target,Pain,Target-Pain
EGFR,Target,Pain,Target-Pain
MAPK1,Target,Pain,Target-Pain
MAPK8,Target,Pain,Target-Pain
EPHB2,Target,Pain,Target-Pain
CTLA4,Target,Pain,Target-Pain
MT-CO2,Target,Pain,Target-Pain
LBP,Target,Pain,Target-Pain
CNP,Target,Pain,Target-Pain
SLC12A2,Target,Pain,Target-Pain
IL6ST,Target,Pain,Target-Pain
CCL4,Target,Pain,Target-Pain
SPARC,Target,Pain,Target-Pain
IL17A,Target,Pain,Target-Pain
HSPA1A,Target,Pain,Target-Pain
KRT16,Target,Pain,Target-Pain
HSPA4,Target,Pain,Target-Pain
CCL22,Target,Pain,Target-Pain
KRT17,Target,Pain,Target-Pain
KRT6B,Target,Pain,Target-Pain
TRH,Target,Pain,Target-Pain
IL4,Target,Pain,Target-Pain
CCL5,Target,Pain,Target-Pain
GDF15,Target,Pain,Target-Pain
PLA2G1B,Target,Pain,Target-Pain
CP,Target,Pain,Target-Pain
SOD1,Target,Pain,Target-Pain
CCL3,Target,Pain,Target-Pain
PTH,Target,Pain,Target-Pain
CD86,Target,Pain,Target-Pain
ITIH4,Target,Pain,Target-Pain
IL36RN,Target,Pain,Target-Pain
SNAP29,Target,Pain,Target-Pain
CRLF1,Target,Pain,Target-Pain
CXCL12,Target,Pain,Target-Pain
VEGFA,Target,Pain,Target-Pain
NOX4,Target,Pain,Target-Pain
FOXP3,Target,Pain,Target-Pain
GPT,Target,Pain,Target-Pain
STING1,Target,Pain,Target-Pain
AXL,Target,Pain,Target-Pain
NPR2,Target,Pain,Target-Pain
TLR4,Target,Pain,Target-Pain
TRPM2,Target,Pain,Target-Pain
ENO2,Target,Pain,Target-Pain
BGLAP,Target,Pain,Target-Pain
PHF12,Target,Pain,Target-Pain
PHB2,Target,Pain,Target-Pain
CD80,Target,Pain,Target-Pain
SIL1,Target,Pain,Target-Pain
GDNF,Target,Pain,Target-Pain
IL2,Target,Pain,Target-Pain
PRKCD,Target,Pain,Target-Pain
SIRT1,Target,Pain,Target-Pain
PRMT6,Target,Pain,Target-Pain
GCG,Target,Pain,Target-Pain
IL1A,Target,Pain,Target-Pain
HDGF,Target,Pain,Target-Pain
PLA2G4A,Target,Pain,Target-Pain
YWHAZ,Target,Pain,Target-Pain
PLB1,Target,Pain,Target-Pain
PRKAA2,Target,Pain,Target-Pain
PRKAA1,Target,Pain,Target-Pain
PRKAB1,Target,Pain,Target-Pain
PIK3CB,Target,Pain,Target-Pain
PIK3CD,Target,Pain,Target-Pain
PIK3CA,Target,Pain,Target-Pain
PIK3CG,Target,Pain,Target-Pain
IL13,Target,Pain,Target-Pain
COMT,Target,Pain,Target-Pain
NFKB1,Target,Pain,Target-Pain
FST,Target,Pain,Target-Pain
STAT3,Target,Pain,Target-Pain
CHGB,Target,Pain,Target-Pain
MARK1,Target,Pain,Target-Pain
TAS2R14,Target,Pain,Target-Pain
XK,Target,Pain,Target-Pain
IGHE,Target,Pain,Target-Pain
KRT6A,Target,Pain,Target-Pain
TXNIP,Target,Pain,Target-Pain
HCN2,Target,Pain,Target-Pain
NOS2,Target,Pain,Target-Pain
NANOS2,Target,Pain,Target-Pain
MKI67,Target,Pain,Target-Pain
AKT1,Target,Pain,Target-Pain
CXCL6,Target,Pain,Target-Pain
PPARG,Target,Pain,Target-Pain
WNK1,Target,Pain,Target-Pain
TMEM88,Target,Pain,Target-Pain
PCLAF,Target,Pain,Target-Pain
PCNA,Target,Pain,Target-Pain
SYT1,Target,Pain,Target-Pain
GORASP1,Target,Pain,Target-Pain
RELA,Target,Pain,Target-Pain
DPYSL2,Target,Pain,Target-Pain
PICK1,Target,Pain,Target-Pain
FOS,Target,Pain,Target-Pain
IFNG,Target,Pain,Target-Pain
HP,Target,Pain,Target-Pain
FGF2,Target,Pain,Target-Pain
LTF,Target,Pain,Target-Pain
NOS1,Target,Pain,Target-Pain
NANOS1,Target,Pain,Target-Pain
NLRP3,Target,Pain,Target-Pain
TMBIM4,Target,Pain,Target-Pain
NPC1L1,Target,Pain,Target-Pain
CCND1,Target,Pain,Target-Pain
TMEM97,Target,Pain,Target-Pain
CCK,Target,Pain,Target-Pain
HTR1A,Target,Pain,Target-Pain
IFNA1; IFNA13,Target,Pain,Target-Pain
TRPV4,Target,Pain,Target-Pain
NPY2R,Target,Pain,Target-Pain
KCNJ10,Target,Pain,Target-Pain
TFF2,Target,Pain,Target-Pain
RETN,Target,Pain,Target-Pain
ISYNA1,Target,Pain,Target-Pain
NTN1,Target,Pain,Target-Pain
MPO,Target,Pain,Target-Pain
GLYAT,Target,Pain,Target-Pain
CAT,Target,Pain,Target-Pain
CXCL13,Target,Pain,Target-Pain
PRKG1,Target,Pain,Target-Pain
TAC1,Target,Pain,Target-Pain
CD4,Target,Pain,Target-Pain
CSF2,Target,Pain,Target-Pain
GFRA1,Target,Pain,Target-Pain
ETS1,Target,Pain,Target-Pain
NPPA,Target,Pain,Target-Pain
CST3,Target,Pain,Target-Pain
MAP2K1,Target,Pain,Target-Pain
MTOR,Target,Pain,Target-Pain
GFAP,Target,Pain,Target-Pain
NPY,Target,Pain,Target-Pain
SOCS1,Target,Pain,Target-Pain
NTF3,Target,Pain,Target-Pain
CX3CR1,Target,Pain,Target-Pain
P2RX4,Target,Pain,Target-Pain
MEN1,Target,Pain,Target-Pain
ARTN,Target,Pain,Target-Pain
PRKCG,Target,Pain,Target-Pain
IDO1,Target,Pain,Target-Pain
GRHL3,Target,Pain,Target-Pain
ITGA4,Target,Pain,Target-Pain
TM7SF2,Target,Pain,Target-Pain
FPR2,Target,Pain,Target-Pain
MAPK3,Target,Pain,Target-Pain
NTRK2,Target,Pain,Target-Pain
CYBB,Target,Pain,Target-Pain
CXCL9,Target,Pain,Target-Pain
CXCL10,Target,Pain,Target-Pain
CD68,Target,Pain,Target-Pain
CSF1,Target,Pain,Target-Pain
HDAC9,Target,Pain,Target-Pain
CFD,Target,Pain,Target-Pain
CXCL11,Target,Pain,Target-Pain
CHKB,Target,Pain,Target-Pain
DLG4,Target,Pain,Target-Pain
LLGL1,Target,Pain,Target-Pain
CAMP,Target,Pain,Target-Pain
CHAMP1,Target,Pain,Target-Pain
TARDBP,Target,Pain,Target-Pain
GRK2,Target,Pain,Target-Pain
NAMPT,Target,Pain,Target-Pain
MYD88,Target,Pain,Target-Pain
SOD2,Target,Pain,Target-Pain
CXCR2,Target,Pain,Target-Pain
CGA,Target,Pain,Target-Pain
PRKCA,Target,Pain,Target-Pain
TP53INP2,Target,Pain,Target-Pain
CD40LG,Target,Pain,Target-Pain
MAP3K5,Target,Pain,Target-Pain
TGFB2,Target,Pain,Target-Pain
KPNB1,Target,Pain,Target-Pain
HDAC1,Target,Pain,Target-Pain
IL18,Target,Pain,Target-Pain
COL9A2,Target,Pain,Target-Pain
CASP1,Target,Pain,Target-Pain
NDOR1,Target,Pain,Target-Pain
EDNRA,Target,Pain,Target-Pain
GALR2,Target,Pain,Target-Pain
NFE2L2,Target,Pain,Target-Pain
PRRT2,Target,Pain,Target-Pain
PRKCB,Target,Pain,Target-Pain
FGF1,Target,Pain,Target-Pain
DLEU1,Target,Pain,Target-Pain
KCNK1,Target,Pain,Target-Pain
IL37,Target,Pain,Target-Pain
IL23A,Target,Pain,Target-Pain
AGTR2,Target,Pain,Target-Pain
CX3CL1,Target,Pain,Target-Pain
P2RY12,Target,Pain,Target-Pain
ACKR3,Target,Pain,Target-Pain
CARTPT,Target,Pain,Target-Pain
GPR42,Target,Pain,Target-Pain
BRS3,Target,Pain,Target-Pain
CXCR6,Target,Pain,Target-Pain
CHKA,Target,Pain,Target-Pain
FAS,Target,Pain,Target-Pain
FASN,Target,Pain,Target-Pain
CMPK1,Target,Pain,Target-Pain
SSTR4,Target,Pain,Target-Pain
LPAR2,Target,Pain,Target-Pain
CDKN1B,Target,Pain,Target-Pain
CGAS,Target,Pain,Target-Pain
GABPA,Target,Pain,Target-Pain
CCL7,Target,Pain,Target-Pain
NOCT,Target,Pain,Target-Pain
CNOT6,Target,Pain,Target-Pain
CCR4,Target,Pain,Target-Pain
LRPPRC,Target,Pain,Target-Pain
EPHX2,Target,Pain,Target-Pain
TLX2,Target,Pain,Target-Pain
GRM1,Target,Pain,Target-Pain
GRM2,Target,Pain,Target-Pain
GPR55,Target,Pain,Target-Pain
HGF,Target,Pain,Target-Pain
CCR5,Target,Pain,Target-Pain
MECP2,Target,Pain,Target-Pain
RAP1A,Target,Pain,Target-Pain
IRF8,Target,Pain,Target-Pain
TH,Target,Pain,Target-Pain
MMP2,Target,Pain,Target-Pain
JAK2,Target,Pain,Target-Pain
LCN2,Target,Pain,Target-Pain
SLC9A1,Target,Pain,Target-Pain
NUP62,Target,Pain,Target-Pain
ZNRD2,Target,Pain,Target-Pain
NPB,Target,Pain,Target-Pain
LGALS13,Target,Pain,Target-Pain
PLAC8,Target,Pain,Target-Pain
APOA2,Target,Pain,Target-Pain
CHRNA7,Target,Pain,Target-Pain
RTN4,Target,Pain,Target-Pain
PIPOX,Target,Pain,Target-Pain
DNTT,Target,Pain,Target-Pain
PMCH,Target,Pain,Target-Pain
FABP4,Target,Pain,Target-Pain
UBE2I,Target,Pain,Target-Pain
KCND1,Target,Pain,Target-Pain
DCTN4,Target,Pain,Target-Pain
PSMD9,Target,Pain,Target-Pain
SQSTM1,Target,Pain,Target-Pain
DCTN6,Target,Pain,Target-Pain
KHDRBS1,Target,Pain,Target-Pain
IFI27,Target,Pain,Target-Pain
ZWINT,Target,Pain,Target-Pain
NRCAM,Target,Pain,Target-Pain
A3GALT2,Target,Pain,Target-Pain
APOH,Target,Pain,Target-Pain
RBFOX1,Target,Pain,Target-Pain
E2F1,Target,Pain,Target-Pain
CHI3L1,Target,Pain,Target-Pain
IGF2BP2,Target,Pain,Target-Pain
BANF1,Target,Pain,Target-Pain
TRHR,Target,Pain,Target-Pain
CCL19,Target,Pain,Target-Pain
MAP1LC3A,Target,Pain,Target-Pain
CASP4,Target,Pain,Target-Pain
LGALS3,Target,Pain,Target-Pain
HNRNPF,Target,Pain,Target-Pain
CASP8,Target,Pain,Target-Pain
TGFB3,Target,Pain,Target-Pain
NTS,Target,Pain,Target-Pain
GTF2H1,Target,Pain,Target-Pain
PIRT,Target,Pain,Target-Pain
RTN4R,Target,Pain,Target-Pain
TMED7,Target,Pain,Target-Pain
VEGFB,Target,Pain,Target-Pain
NR2C2,Target,Pain,Target-Pain
MAP3K7,Target,Pain,Target-Pain
F2RL1,Target,Pain,Target-Pain
NR1I2,Target,Pain,Target-Pain
S1PR1,Target,Pain,Target-Pain
NOG,Target,Pain,Target-Pain
SLC52A1,Target,Pain,Target-Pain
RLN1,Target,Pain,Target-Pain
OXT,Target,Pain,Target-Pain
PPARGC1A,Target,Pain,Target-Pain
ANO1,Target,Pain,Target-Pain
DHX9,Target,Pain,Target-Pain
PTGES,Target,Pain,Target-Pain
RAD23B,Target,Pain,Target-Pain
TNFAIP8L2,Target,Pain,Target-Pain
NPAS4,Target,Pain,Target-Pain
HK1,Target,Pain,Target-Pain
VEGFC,Target,Pain,Target-Pain
HOMER1,Target,Pain,Target-Pain
CD44,Target,Pain,Target-Pain
WNT5A,Target,Pain,Target-Pain
MT1E,Target,Pain,Target-Pain
VGF,Target,Pain,Target-Pain
MT1H,Target,Pain,Target-Pain
MT1A,Target,Pain,Target-Pain
ALG1,Target,Pain,Target-Pain
MT1G,Target,Pain,Target-Pain
MT1M,Target,Pain,Target-Pain
MT1X,Target,Pain,Target-Pain
MT1F,Target,Pain,Target-Pain
MT1B,Target,Pain,Target-Pain
METTL3,Target,Pain,Target-Pain
CBLN1,Target,Pain,Target-Pain
LEP,Target,Pain,Target-Pain
DUSP1,Target,Pain,Target-Pain
P2RX3,Target,Pain,Target-Pain
PTEN,Target,Pain,Target-Pain
FFAR1,Target,Pain,Target-Pain
SLC1A2,Target,Pain,Target-Pain
ATG12,Target,Pain,Target-Pain
MAPKAP1,Target,Pain,Target-Pain
IL27,Target,Pain,Target-Pain
TNPO1,Target,Pain,Target-Pain
RPTOR,Target,Pain,Target-Pain
SLC12A5,Target,Pain,Target-Pain
CCL1,Target,Pain,Target-Pain
CDK5,Target,Pain,Target-Pain
TSPO,Target,Pain,Target-Pain
SCX,Target,Pain,Target-Pain
GRK6,Target,Pain,Target-Pain
FHIT,Target,Pain,Target-Pain
CYP2E1,Target,Pain,Target-Pain
TOR1A,Target,Pain,Target-Pain
SLIT3,Target,Pain,Target-Pain
PIMREG,Target,Pain,Target-Pain
INS,Target,Pain,Target-Pain
CXCL5,Target,Pain,Target-Pain
TIAM1,Target,Pain,Target-Pain
CAV1,Target,Pain,Target-Pain
RPS6KB1,Target,Pain,Target-Pain
ADIPOQ,Target,Pain,Target-Pain
EFNB2,Target,Pain,Target-Pain
EZH2,Target,Pain,Target-Pain
HTR5A,Target,Pain,Target-Pain
MBP,Target,Pain,Target-Pain
PRG2,Target,Pain,Target-Pain
NFKBIA,Target,Pain,Target-Pain
SELP,Target,Pain,Target-Pain
SELENOP,Target,Pain,Target-Pain
MME,Target,Pain,Target-Pain
C5AR1,Target,Pain,Target-Pain
IL33,Target,Pain,Target-Pain
TAP2,Target,Pain,Target-Pain
SEC14L3,Target,Pain,Target-Pain
GCSAM,Target,Pain,Target-Pain
GAL,Target,Pain,Target-Pain
GRTP1,Target,Pain,Target-Pain
RBM20,Target,Pain,Target-Pain
ALDH2,Target,Pain,Target-Pain
CD83,Target,Pain,Target-Pain
TRPM3,Target,Pain,Target-Pain
KLKB1,Target,Pain,Target-Pain
KLK3,Target,Pain,Target-Pain
RAF1,Target,Pain,Target-Pain
SIRT3,Target,Pain,Target-Pain
CRK,Target,Pain,Target-Pain
AIMP2,Target,Pain,Target-Pain
AHSA1,Target,Pain,Target-Pain
RNF19A,Target,Pain,Target-Pain
GRAP2,Target,Pain,Target-Pain
POLDIP2,Target,Pain,Target-Pain
PDYN,Target,Pain,Target-Pain
NEDD4L,Target,Pain,Target-Pain
ALOX15,Target,Pain,Target-Pain
NRG1,Target,Pain,Target-Pain
SRC,Target,Pain,Target-Pain
CSF3,Target,Pain,Target-Pain
CYTIP,Target,Pain,Target-Pain
LPAR1,Target,Pain,Target-Pain
NEDD4,Target,Pain,Target-Pain
CUX1,Target,Pain,Target-Pain
CEACAM5,Target,Pain,Target-Pain
CEACAM3,Target,Pain,Target-Pain
PIEZO2,Target,Pain,Target-Pain
CEACAM7,Target,Pain,Target-Pain
BCL2,Target,Pain,Target-Pain
PSG2,Target,Pain,Target-Pain
VIP,Target,Pain,Target-Pain
CXCR1,Target,Pain,Target-Pain
LGALS1,Target,Pain,Target-Pain
HADHA,Target,Pain,Target-Pain
TMEM132A,Target,Pain,Target-Pain
PIAS1,Target,Pain,Target-Pain
GSK3B,Target,Pain,Target-Pain
ENPP2,Target,Pain,Target-Pain
RARRES2,Target,Pain,Target-Pain
NALCN,Target,Pain,Target-Pain
HRH4,Target,Pain,Target-Pain
CD8A,Target,Pain,Target-Pain
CHAT,Target,Pain,Target-Pain
TNFRSF1A,Target,Pain,Target-Pain
LPAR3,Target,Pain,Target-Pain
JUN,Target,Pain,Target-Pain
NOS3,Target,Pain,Target-Pain
NANOS3,Target,Pain,Target-Pain
IL18R1,Target,Pain,Target-Pain
EIF2AK3,Target,Pain,Target-Pain
PKIA,Target,Pain,Target-Pain
TF,Target,Pain,Target-Pain
AIF1,Target,Pain,Target-Pain
EDN1,Target,Pain,Target-Pain
ZGPAT,Target,Pain,Target-Pain
DAPK3,Target,Pain,Target-Pain
MMP3,Target,Pain,Target-Pain
SNCA,Target,Pain,Target-Pain
CSF1R,Target,Pain,Target-Pain
PROS1,Target,Pain,Target-Pain
GOT1,Target,Pain,Target-Pain
USP5,Target,Pain,Target-Pain
KCND3,Target,Pain,Target-Pain
FYN,Target,Pain,Target-Pain
SLC17A5,Target,Pain,Target-Pain
SYNM,Target,Pain,Target-Pain
GNAI1,Target,Pain,Target-Pain
RGS10,Target,Pain,Target-Pain
DMBX1,Target,Pain,Target-Pain
NEFM,Target,Pain,Target-Pain
ANXA3,Target,Pain,Target-Pain
YAP1,Target,Pain,Target-Pain
DUSP8,Target,Pain,Target-Pain
AP1S3,Target,Pain,Target-Pain
STIM1,Target,Pain,Target-Pain
MPP2,Target,Pain,Target-Pain
DLG2,Target,Pain,Target-Pain
XCL1,Target,Pain,Target-Pain
WWTR1,Target,Pain,Target-Pain
NPY1R,Target,Pain,Target-Pain
PRMT5,Target,Pain,Target-Pain
OIP5,Target,Pain,Target-Pain
WFIKKN1,Target,Pain,Target-Pain
MAPK7,Target,Pain,Target-Pain
BPI,Target,Pain,Target-Pain
DBN1,Target,Pain,Target-Pain
PLOD1,Target,Pain,Target-Pain
FNDC5,Target,Pain,Target-Pain
DUOX2,Target,Pain,Target-Pain
CRTAP,Target,Pain,Target-Pain
SLC26A1,Target,Pain,Target-Pain
SLC38A1,Target,Pain,Target-Pain
SAT1,Target,Pain,Target-Pain
AZU1,Target,Pain,Target-Pain
ANXA5,Target,Pain,Target-Pain
SMG1,Target,Pain,Target-Pain
GLO1,Target,Pain,Target-Pain
YY1AP1,Target,Pain,Target-Pain
VEGFD,Target,Pain,Target-Pain
ZNF382,Target,Pain,Target-Pain
TAFAZZIN,Target,Pain,Target-Pain
PSMA6,Target,Pain,Target-Pain
C3,Target,Pain,Target-Pain
IFNA2,Target,Pain,Target-Pain
IL16,Target,Pain,Target-Pain
DNMT3A,Target,Pain,Target-Pain
ATP7A,Target,Pain,Target-Pain
CTSS,Target,Pain,Target-Pain
BAX,Target,Pain,Target-Pain
CAMKMT,Target,Pain,Target-Pain
ARG1,Target,Pain,Target-Pain
CALM3,Target,Pain,Target-Pain
CALM2,Target,Pain,Target-Pain
CALM1,Target,Pain,Target-Pain
ITGAX,Target,Pain,Target-Pain
FANCA,Target,Pain,Target-Pain
SOX9,Target,Pain,Target-Pain
KRIT1,Target,Pain,Target-Pain
OPN1MW,Target,Pain,Target-Pain
CYCS,Target,Pain,Target-Pain
AMH,Target,Pain,Target-Pain
MIF,Target,Pain,Target-Pain
FTO,Target,Pain,Target-Pain
TMEM37,Target,Pain,Target-Pain
TAOK2,Target,Pain,Target-Pain
HSPG2,Target,Pain,Target-Pain
LMOD1,Target,Pain,Target-Pain
AGER,Target,Pain,Target-Pain
