Protein,Neighborhood_1,Compound,Tag
CHRM2,Target,Pain,Target-Pain
HTR2C,Target,Pain,Target-Pain
AVPR2,Target,Pain,Target-Pain
AVPR1A,Target,Pain,Target-Pain
CHRM3,Target,Pain,Target-Pain
SLC14A1,Target,Pain,Target-Pain
LHFPL3,Target,Pain,Target-Pain
CHST3,Target,Pain,Target-Pain
CACNA2D2,Target,Pain,Target-Pain
BMAL1,Target,Pain,Target-Pain
ADGRL3,Target,Pain,Target-Pain
KLF7,Target,Pain,Target-Pain
NLGN1,Target,Pain,Target-Pain
TNP1,Target,Pain,Target-Pain
DPEP1,Target,Pain,Target-Pain
CHRM1,Target,Pain,Target-Pain
SLC25A21,Target,Pain,Target-Pain
FOXG1,Target,Pain,Target-Pain
PTGER3,Target,Pain,Target-Pain
TMPO,Target,Pain,Target-Pain
KCNA4,Target,Pain,Target-Pain
PGR,Target,Pain,Target-Pain
PHEX,Target,Pain,Target-Pain
MYOT,Target,Pain,Target-Pain
CPT2,Target,Pain,Target-Pain
PTPRQ,Target,Pain,Target-Pain
PTPRR,Target,Pain,Target-Pain
MYH7,Target,Pain,Target-Pain
PIK3C3,Target,Pain,Target-Pain
SPATA31D1,Target,Pain,Target-Pain
ZNF23,Target,Pain,Target-Pain
CA4,Target,Pain,Target-Pain
CA2,Target,Pain,Target-Pain
GRIA2,Target,Pain,Target-Pain
KCNK2,Target,Pain,Target-Pain
KCNAB2,Target,Pain,Target-Pain
COL11A1,Target,Pain,Target-Pain
GNRHR,Target,Pain,Target-Pain
GRIA1,Target,Pain,Target-Pain
RELN,Target,Pain,Target-Pain
PPOX,Target,Pain,Target-Pain
HCRT,Target,Pain,Target-Pain
KCNK18,Target,Pain,Target-Pain
WSCD2,Target,Pain,Target-Pain
KCNK10,Target,Pain,Target-Pain
GRIA4,Target,Pain,Target-Pain
GRIK2,Target,Pain,Target-Pain
GRIK5,Target,Pain,Target-Pain
CHRNG,Target,Pain,Target-Pain
KCNK9,Target,Pain,Target-Pain
CA1,Target,Pain,Target-Pain
CHRND,Target,Pain,Target-Pain
GRIK1,Target,Pain,Target-Pain
CHRNE,Target,Pain,Target-Pain
GRIA3,Target,Pain,Target-Pain
KCNK3,Target,Pain,Target-Pain
CHRNB1,Target,Pain,Target-Pain
GRIK3,Target,Pain,Target-Pain
CHRNA1,Target,Pain,Target-Pain
GRIK4,Target,Pain,Target-Pain
SLBP,Target,Pain,Target-Pain
TGFA,Target,Pain,Target-Pain
AFF3,Target,Pain,Target-Pain
HSD11B1,Target,Pain,Target-Pain
NFU1,Target,Pain,Target-Pain
TOP2A,Target,Pain,Target-Pain
SP4,Target,Pain,Target-Pain
MST1,Target,Pain,Target-Pain
STK4,Target,Pain,Target-Pain
PCLO,Target,Pain,Target-Pain
MEF2D,Target,Pain,Target-Pain
CADM2,Target,Pain,Target-Pain
LANCL1,Target,Pain,Target-Pain
ILRUN,Target,Pain,Target-Pain
ABCG8,Target,Pain,Target-Pain
SMAD3,Target,Pain,Target-Pain
SLC24A3,Target,Pain,Target-Pain
INO80D,Target,Pain,Target-Pain
GSDMC,Target,Pain,Target-Pain
TSPAN2,Target,Pain,Target-Pain
TMEM182,Target,Pain,Target-Pain
ZMIZ1,Target,Pain,Target-Pain
ZCCHC4,Target,Pain,Target-Pain
KCNG2,Target,Pain,Target-Pain
GFPT1,Target,Pain,Target-Pain
ZBBX,Target,Pain,Target-Pain
TNF,Target,Pain,Target-Pain
PHACTR1,Target,Pain,Target-Pain
PRPF3,Target,Pain,Target-Pain
DRD3,Target,Pain,Target-Pain
ITPK1,Target,Pain,Target-Pain
BTG4,Target,Pain,Target-Pain
ACHE,Target,Pain,Target-Pain
TYW1B,Target,Pain,Target-Pain
NEB,Target,Pain,Target-Pain
VDR,Target,Pain,Target-Pain
FGF18,Target,Pain,Target-Pain
DRD2,Target,Pain,Target-Pain
SUGCT,Target,Pain,Target-Pain
FAF2,Target,Pain,Target-Pain
DRD4,Target,Pain,Target-Pain
OPRL1,Target,Pain,Target-Pain
PRC1,Target,Pain,Target-Pain
TTPA,Target,Pain,Target-Pain
CDK5RAP2,Target,Pain,Target-Pain
PSRC1,Target,Pain,Target-Pain
ATP4A,Target,Pain,Target-Pain
CMIP,Target,Pain,Target-Pain
IQSEC3,Target,Pain,Target-Pain
RORA,Target,Pain,Target-Pain
RBMS3,Target,Pain,Target-Pain
FAM120AOS,Target,Pain,Target-Pain
EIF4E3,Target,Pain,Target-Pain
COMMD7,Target,Pain,Target-Pain
INKA2,Target,Pain,Target-Pain
PDZRN3,Target,Pain,Target-Pain
OR9Q1,Target,Pain,Target-Pain
MAOB,Target,Pain,Target-Pain
PPP1R3B,Target,Pain,Target-Pain
TOB1,Target,Pain,Target-Pain
ESR2,Target,Pain,Target-Pain
VRK2,Target,Pain,Target-Pain
TFAP2B,Target,Pain,Target-Pain
SPOCK2,Target,Pain,Target-Pain
NAA40,Target,Pain,Target-Pain
RPS21,Target,Pain,Target-Pain
TNRC18,Target,Pain,Target-Pain
MON1B,Target,Pain,Target-Pain
SDCCAG8,Target,Pain,Target-Pain
CARD16,Target,Pain,Target-Pain
COP1,Target,Pain,Target-Pain
PMFBP1,Target,Pain,Target-Pain
ZNF423,Target,Pain,Target-Pain
OAT,Target,Pain,Target-Pain
COL5A1,Target,Pain,Target-Pain
GJB1,Target,Pain,Target-Pain
CLCN1,Target,Pain,Target-Pain
PARD3B,Target,Pain,Target-Pain
TCF7L2,Target,Pain,Target-Pain
TCF4,Target,Pain,Target-Pain
AKAP13,Target,Pain,Target-Pain
ALDH1A2,Target,Pain,Target-Pain
PLG,Target,Pain,Target-Pain
CGREF1,Target,Pain,Target-Pain
TUBB4A,Target,Pain,Target-Pain
PTGER1,Target,Pain,Target-Pain
TUBB8,Target,Pain,Target-Pain
TUBB6,Target,Pain,Target-Pain
PTGER4,Target,Pain,Target-Pain
TUBB2B,Target,Pain,Target-Pain
TUBB2A,Target,Pain,Target-Pain
TUBB4B,Target,Pain,Target-Pain
PTH1R,Target,Pain,Target-Pain
TUBB1,Target,Pain,Target-Pain
CYSLTR1,Target,Pain,Target-Pain
PTGER2,Target,Pain,Target-Pain
RILPL2,Target,Pain,Target-Pain
PRDM16,Target,Pain,Target-Pain
HPSE2,Target,Pain,Target-Pain
COLGALT2,Target,Pain,Target-Pain
PIEZO1,Target,Pain,Target-Pain
MAD1L1,Target,Pain,Target-Pain
DENND3,Target,Pain,Target-Pain
DSC3,Target,Pain,Target-Pain
DSC2,Target,Pain,Target-Pain
NIBAN1,Target,Pain,Target-Pain
PHF3,Target,Pain,Target-Pain
NCOR2,Target,Pain,Target-Pain
TERF1,Target,Pain,Target-Pain
DPYSL4,Target,Pain,Target-Pain
SGIP1,Target,Pain,Target-Pain
BHLHE22,Target,Pain,Target-Pain
STAT6,Target,Pain,Target-Pain
SETBP1,Target,Pain,Target-Pain
SIX3,Target,Pain,Target-Pain
PTPN13,Target,Pain,Target-Pain
MACF1,Target,Pain,Target-Pain
IRS2,Target,Pain,Target-Pain
TMEM200C,Target,Pain,Target-Pain
MAPT,Target,Pain,Target-Pain
PHB1,Target,Pain,Target-Pain
CDKN2B,Target,Pain,Target-Pain
KMT2E,Target,Pain,Target-Pain
HIVEP1,Target,Pain,Target-Pain
MLLT10,Target,Pain,Target-Pain
PTP4A1,Target,Pain,Target-Pain
ECM1,Target,Pain,Target-Pain
HNMT,Target,Pain,Target-Pain
VIRMA,Target,Pain,Target-Pain
BARX1,Target,Pain,Target-Pain
ADAMTSL4,Target,Pain,Target-Pain
EXD3,Target,Pain,Target-Pain
STAG1,Target,Pain,Target-Pain
PMEPA1,Target,Pain,Target-Pain
MKX,Target,Pain,Target-Pain
ZNF829,Target,Pain,Target-Pain
FXN,Target,Pain,Target-Pain
NECTIN1,Target,Pain,Target-Pain
RERG,Target,Pain,Target-Pain
POLR1F,Target,Pain,Target-Pain
ZNF800,Target,Pain,Target-Pain
WNT3A,Target,Pain,Target-Pain
CTAGE1,Target,Pain,Target-Pain
SPMIP3,Target,Pain,Target-Pain
AKAP11,Target,Pain,Target-Pain
SREK1,Target,Pain,Target-Pain
CPSF6,Target,Pain,Target-Pain
PCDH9,Target,Pain,Target-Pain
JAKMIP3,Target,Pain,Target-Pain
ONECUT2,Target,Pain,Target-Pain
NOL4L,Target,Pain,Target-Pain
ACVR2A,Target,Pain,Target-Pain
CYB5D1,Target,Pain,Target-Pain
IGFBP3,Target,Pain,Target-Pain
KYNU,Target,Pain,Target-Pain
BLTP3A,Target,Pain,Target-Pain
PPIF,Target,Pain,Target-Pain
PTPRC,Target,Pain,Target-Pain
GCC1,Target,Pain,Target-Pain
MFSD9,Target,Pain,Target-Pain
NEK7,Target,Pain,Target-Pain
FAM120A,Target,Pain,Target-Pain
PAX4,Target,Pain,Target-Pain
SND1,Target,Pain,Target-Pain
ARF5,Target,Pain,Target-Pain
LRRC4,Target,Pain,Target-Pain
FSCN3,Target,Pain,Target-Pain
INTS1,Target,Pain,Target-Pain
DMRTA2,Target,Pain,Target-Pain
DCAF5,Target,Pain,Target-Pain
SLC35G2,Target,Pain,Target-Pain
ZNF429,Target,Pain,Target-Pain
SOX14,Target,Pain,Target-Pain
MPLKIP,Target,Pain,Target-Pain
UQCC1,Target,Pain,Target-Pain
ELFN1,Target,Pain,Target-Pain
TSKU,Target,Pain,Target-Pain
PKHD1,Target,Pain,Target-Pain
AKTIP,Target,Pain,Target-Pain
RMC1,Target,Pain,Target-Pain
CARD11,Target,Pain,Target-Pain
PITPNM2,Target,Pain,Target-Pain
LRCH1,Target,Pain,Target-Pain
PTPRU,Target,Pain,Target-Pain
PCP2,Target,Pain,Target-Pain
GJA1,Target,Pain,Target-Pain
CMC1,Target,Pain,Target-Pain
NPC1,Target,Pain,Target-Pain
AOPEP,Target,Pain,Target-Pain
TARS2,Target,Pain,Target-Pain
GSAP,Target,Pain,Target-Pain
GPR146,Target,Pain,Target-Pain
TMEM184A,Target,Pain,Target-Pain
CD79B,Target,Pain,Target-Pain
PSMG3,Target,Pain,Target-Pain
MRPS21,Target,Pain,Target-Pain
GRK4,Target,Pain,Target-Pain
IBSP,Target,Pain,Target-Pain
SCAI,Target,Pain,Target-Pain
KPNA2,Target,Pain,Target-Pain
NDUFV1,Target,Pain,Target-Pain
RTN4RL1,Target,Pain,Target-Pain
ZCCHC14,Target,Pain,Target-Pain
LFNG,Target,Pain,Target-Pain
PRKAR1B,Target,Pain,Target-Pain
IQCE,Target,Pain,Target-Pain
AMZ1,Target,Pain,Target-Pain
MRM2,Target,Pain,Target-Pain
MAFK,Target,Pain,Target-Pain
BRAT1,Target,Pain,Target-Pain
PDGFA,Target,Pain,Target-Pain
EIF3B,Target,Pain,Target-Pain
EIF5B,Target,Pain,Target-Pain
CHST12,Target,Pain,Target-Pain
MICALL2,Target,Pain,Target-Pain
NUDT1,Target,Pain,Target-Pain
FAM20C,Target,Pain,Target-Pain
GNA12,Target,Pain,Target-Pain
DNAAF5,Target,Pain,Target-Pain
LONRF2,Target,Pain,Target-Pain
REV1,Target,Pain,Target-Pain
TTYH3,Target,Pain,Target-Pain
FOXL3,Target,Pain,Target-Pain
GRIFIN,Target,Pain,Target-Pain
UNCX,Target,Pain,Target-Pain
APOC1,Target,Pain,Target-Pain
C8ORF90,Target,Pain,Target-Pain
MON1A,Target,Pain,Target-Pain
SLC25A3,Target,Pain,Target-Pain
AZI2,Target,Pain,Target-Pain
WWP2,Target,Pain,Target-Pain
DAG1,Target,Pain,Target-Pain
CYP2W1,Target,Pain,Target-Pain
COX19,Target,Pain,Target-Pain
ADAP1,Target,Pain,Target-Pain
COPRS,Target,Pain,Target-Pain
NCK1,Target,Pain,Target-Pain
TMEM129,Target,Pain,Target-Pain
PLXNA2,Target,Pain,Target-Pain
NAA38,Target,Pain,Target-Pain
SNRPC,Target,Pain,Target-Pain
RBMX,Target,Pain,Target-Pain
EXD2,Target,Pain,Target-Pain
XKR6,Target,Pain,Target-Pain
GLYATL2,Target,Pain,Target-Pain
KHK,Target,Pain,Target-Pain
LIPJ,Target,Pain,Target-Pain
NKAIN3,Target,Pain,Target-Pain
NMT1,Target,Pain,Target-Pain
PLEKHA1,Target,Pain,Target-Pain
TACC3,Target,Pain,Target-Pain
PKD1,Target,Pain,Target-Pain
PRKD1,Target,Pain,Target-Pain
ATXN2,Target,Pain,Target-Pain
IST1,Target,Pain,Target-Pain
BMP8A,Target,Pain,Target-Pain
RBM5,Target,Pain,Target-Pain
TRIM32,Target,Pain,Target-Pain
STXBP2,Target,Pain,Target-Pain
FAF1,Target,Pain,Target-Pain
PCYT1B,Target,Pain,Target-Pain
CDC5L,Target,Pain,Target-Pain
GET4,Target,Pain,Target-Pain
NOP14,Target,Pain,Target-Pain
GH1,Target,Pain,Target-Pain
SPPL2C,Target,Pain,Target-Pain
DDX20,Target,Pain,Target-Pain
GPR52,Target,Pain,Target-Pain
CYP20A1,Target,Pain,Target-Pain
PDK3,Target,Pain,Target-Pain
RPL10L,Target,Pain,Target-Pain
RIN2,Target,Pain,Target-Pain
CAMKV,Target,Pain,Target-Pain
AS3MT,Target,Pain,Target-Pain
PAPPA2,Target,Pain,Target-Pain
MAP2K2,Target,Pain,Target-Pain
KIF1B,Target,Pain,Target-Pain
OPA1,Target,Pain,Target-Pain
MYH8,Target,Pain,Target-Pain
MYH6,Target,Pain,Target-Pain
RYR1,Target,Pain,Target-Pain
SELENON,Target,Pain,Target-Pain
LYZ,Target,Pain,Target-Pain
ATP6V1G3,Target,Pain,Target-Pain
TMEM214,Target,Pain,Target-Pain
OXTR,Target,Pain,Target-Pain
DDC,Target,Pain,Target-Pain
FGF6,Target,Pain,Target-Pain
SLA,Target,Pain,Target-Pain
EGR1,Target,Pain,Target-Pain
MAPK14,Target,Pain,Target-Pain
GRM5,Target,Pain,Target-Pain
ARL6IP4,Target,Pain,Target-Pain
CACNA1H,Target,Pain,Target-Pain
BCAT1,Target,Pain,Target-Pain
CDKN2C,Target,Pain,Target-Pain
SPINK2,Target,Pain,Target-Pain
NEGR1,Target,Pain,Target-Pain
CCR2,Target,Pain,Target-Pain
DIXDC1,Target,Pain,Target-Pain
ILF3,Target,Pain,Target-Pain
RGS18,Target,Pain,Target-Pain
UFL1,Target,Pain,Target-Pain
ALDH5A1,Target,Pain,Target-Pain
TACR2,Target,Pain,Target-Pain
THAP7,Target,Pain,Target-Pain
KNG1,Target,Pain,Target-Pain
SYT7,Target,Pain,Target-Pain
MTNR1A,Target,Pain,Target-Pain
KCNH1,Target,Pain,Target-Pain
CNR2,Target,Pain,Target-Pain
VPS33B,Target,Pain,Target-Pain
NBEAL1,Target,Pain,Target-Pain
AMIGO3,Target,Pain,Target-Pain
MTNR1B,Target,Pain,Target-Pain
MMP1,Target,Pain,Target-Pain
MARK4,Target,Pain,Target-Pain
STH,Target,Pain,Target-Pain
CACNA1I,Target,Pain,Target-Pain
CACNA1G,Target,Pain,Target-Pain
EREG,Target,Pain,Target-Pain
MAOA,Target,Pain,Target-Pain
CACNA1C,Target,Pain,Target-Pain
MMP7,Target,Pain,Target-Pain
CACNA1F,Target,Pain,Target-Pain
AGTR1,Target,Pain,Target-Pain
MMP8,Target,Pain,Target-Pain
HTR1B,Target,Pain,Target-Pain
CBR4,Target,Pain,Target-Pain
HTR1D,Target,Pain,Target-Pain
CACNA1S,Target,Pain,Target-Pain
CACNA1D,Target,Pain,Target-Pain
INSR,Target,Pain,Target-Pain
MMP13,Target,Pain,Target-Pain
CDIPT,Target,Pain,Target-Pain
ARHGAP27,Target,Pain,Target-Pain
RPRD2,Target,Pain,Target-Pain
LRRC37A,Target,Pain,Target-Pain
C16ORF78,Target,Pain,Target-Pain
MRPS14,Target,Pain,Target-Pain
NUDT8,Target,Pain,Target-Pain
RBM6,Target,Pain,Target-Pain
ETNK1,Target,Pain,Target-Pain
CDK2AP1,Target,Pain,Target-Pain
SLC9A2,Target,Pain,Target-Pain
MET,Target,Pain,Target-Pain
SLTM,Target,Pain,Target-Pain
RGS12,Target,Pain,Target-Pain
NDUFB8,Target,Pain,Target-Pain
NDUFS7,Target,Pain,Target-Pain
MT-ND1,Target,Pain,Target-Pain
NDUFB7,Target,Pain,Target-Pain
NDUFA3,Target,Pain,Target-Pain
NDUFA10,Target,Pain,Target-Pain
NDUFAF2,Target,Pain,Target-Pain
NDUFB2,Target,Pain,Target-Pain
