Compound,Protein,Neighborhood_1,Tag
Cell_growth,IGHMBP2,Target,Target-Cell_growth
Cell_growth,TUBB3,Target,Target-Cell_growth
Cell_growth,FRMD7,Target,Target-Cell_growth
Cell_growth,DTNBP1,Target,Target-Cell_growth
Cell_growth,AUTS2,Target,Target-Cell_growth
Cell_growth,ABITRAM,Target,Target-Cell_growth
Cell_growth,LMTK2,Target,Target-Cell_growth
Cell_growth,SYAP1,Target,Target-Cell_growth
Cell_growth,DCAF13,Target,Target-Cell_growth
Cell_growth,ANG,Target,Target-Cell_growth
Cell_growth,RUFY3,Target,Target-Cell_growth
Cell_growth,ERC2,Target,Target-Cell_growth
Cell_growth,DPYSL3,Target,Target-Cell_growth
Cell_growth,DNM2,Target,Target-Cell_growth
Cell_growth,TSHZ3,Target,Target-Cell_growth
Cell_growth,PALLD,Target,Target-Cell_growth
Cell_growth,PROM2,Target,Target-Cell_growth
Cell_growth,SMAD3,Target,Target-Cell_growth
Cell_growth,STAT1,Target,Target-Cell_growth
Cell_growth,APBB3,Target,Target-Cell_growth
Cell_growth,BGLAP,Target,Target-Cell_growth
Cell_growth,CORO1B,Target,Target-Cell_growth
Cell_growth,FGF23,Target,Target-Cell_growth
Cell_growth,FGF18,Target,Target-Cell_growth
Cell_growth,FGF8,Target,Target-Cell_growth
Cell_growth,FGF21,Target,Target-Cell_growth
Cell_growth,FGF1,Target,Target-Cell_growth
Cell_growth,FGF3,Target,Target-Cell_growth
Cell_growth,FGF2,Target,Target-Cell_growth
Cell_growth,FKBP4,Target,Target-Cell_growth
Cell_growth,ZFYVE27,Target,Target-Cell_growth
Cell_growth,TRIM9,Target,Target-Cell_growth
Cell_growth,RTN4R,Target,Target-Cell_growth
Cell_growth,FLRT3,Target,Target-Cell_growth
Cell_growth,NRTN,Target,Target-Cell_growth
Cell_growth,GPC1,Target,Target-Cell_growth
Cell_growth,LAMP5,Target,Target-Cell_growth
Cell_growth,HBEGF,Target,Target-Cell_growth
Cell_growth,MYO9A,Target,Target-Cell_growth
Cell_growth,GPM6A,Target,Target-Cell_growth
Cell_growth,OLFM1,Target,Target-Cell_growth
Cell_growth,FGFBP3,Target,Target-Cell_growth
Cell_growth,ETV5,Target,Target-Cell_growth
Cell_growth,KL,Target,Target-Cell_growth
Cell_growth,FGFBP1,Target,Target-Cell_growth
Cell_growth,SHC1,Target,Target-Cell_growth
Cell_growth,L1CAM,Target,Target-Cell_growth
Cell_growth,FGFR1,Target,Target-Cell_growth
Cell_growth,CBR1,Target,Target-Cell_growth
Cell_growth,CORIN,Target,Target-Cell_growth
Cell_growth,CRNKL1,Target,Target-Cell_growth
Cell_growth,MAPT,Target,Target-Cell_growth
Cell_growth,AKR1C1,Target,Target-Cell_growth
Cell_growth,WNK1,Target,Target-Cell_growth
Cell_growth,BCL10,Target,Target-Cell_growth
Cell_growth,MYO1D,Target,Target-Cell_growth
Cell_growth,IL22,Target,Target-Cell_growth
Cell_growth,STOX1,Target,Target-Cell_growth
Cell_growth,SIRT2,Target,Target-Cell_growth
Cell_growth,CRHBP,Target,Target-Cell_growth
Cell_growth,ANGPT4,Target,Target-Cell_growth
Cell_growth,EPCAM,Target,Target-Cell_growth
Cell_growth,CADM1,Target,Target-Cell_growth
Cell_growth,PCNA,Target,Target-Cell_growth
Cell_growth,HCFC1,Target,Target-Cell_growth
Cell_growth,PDCD10,Target,Target-Cell_growth
Cell_growth,CDC42,Target,Target-Cell_growth
Cell_growth,HCST,Target,Target-Cell_growth
Cell_growth,CEACAM16,Target,Target-Cell_growth
Cell_growth,CEACAM20,Target,Target-Cell_growth
Cell_growth,CADM4,Target,Target-Cell_growth
Cell_growth,ICA1,Target,Target-Cell_growth
Cell_growth,BLNK,Target,Target-Cell_growth
Cell_growth,CEMIP2,Target,Target-Cell_growth
Cell_growth,NRCAM,Target,Target-Cell_growth
Cell_growth,CADM2,Target,Target-Cell_growth
Cell_growth,CDC6,Target,Target-Cell_growth
Cell_growth,CDK1,Target,Target-Cell_growth
Cell_growth,EREG,Target,Target-Cell_growth
Cell_growth,TGFA,Target,Target-Cell_growth
Cell_growth,PDGFB,Target,Target-Cell_growth
Cell_growth,FGFRL1,Target,Target-Cell_growth
Cell_growth,ING4,Target,Target-Cell_growth
Cell_growth,VEGFA,Target,Target-Cell_growth
Cell_growth,PHB1,Target,Target-Cell_growth
Cell_growth,PHB2,Target,Target-Cell_growth
Cell_growth,TMEM132E,Target,Target-Cell_growth
Cell_growth,IZUMO1,Target,Target-Cell_growth
Cell_growth,GHSR,Target,Target-Cell_growth
Cell_growth,EGR2,Target,Target-Cell_growth
Cell_growth,EGF,Target,Target-Cell_growth
Cell_growth,EGFR,Target,Target-Cell_growth
Cell_growth,MSTN,Target,Target-Cell_growth
Cell_growth,GDF7,Target,Target-Cell_growth
Cell_growth,GDF5,Target,Target-Cell_growth
Cell_growth,NGF,Target,Target-Cell_growth
Cell_growth,GDF11,Target,Target-Cell_growth
Cell_growth,GDF2,Target,Target-Cell_growth
Cell_growth,CXCL1,Target,Target-Cell_growth
Cell_growth,HDGF,Target,Target-Cell_growth
Cell_growth,CRIPTO,Target,Target-Cell_growth
Cell_growth,MYDGF,Target,Target-Cell_growth
Cell_growth,GDF15,Target,Target-Cell_growth
Cell_growth,GATA3,Target,Target-Cell_growth
Cell_growth,SHFL,Target,Target-Cell_growth
Cell_growth,ELK1,Target,Target-Cell_growth
Cell_growth,RAP1A,Target,Target-Cell_growth
Cell_growth,IER2,Target,Target-Cell_growth
Cell_growth,NTRK1,Target,Target-Cell_growth
Cell_growth,TSKU,Target,Target-Cell_growth
Cell_growth,PDGFRA,Target,Target-Cell_growth
Cell_growth,NRROS,Target,Target-Cell_growth
Cell_growth,FLRT2,Target,Target-Cell_growth
Cell_growth,LRRC32,Target,Target-Cell_growth
Cell_growth,FLRT1,Target,Target-Cell_growth
Cell_growth,RNF126,Target,Target-Cell_growth
Cell_growth,RAPGEF2,Target,Target-Cell_growth
Cell_growth,KIDINS220,Target,Target-Cell_growth
Cell_growth,GHRL,Target,Target-Cell_growth
Cell_growth,CCRL2,Target,Target-Cell_growth
Cell_growth,CXCR2,Target,Target-Cell_growth
Cell_growth,CCR3,Target,Target-Cell_growth
Cell_growth,CX3CR1,Target,Target-Cell_growth
Cell_growth,CCR6,Target,Target-Cell_growth
Cell_growth,CXCR4,Target,Target-Cell_growth
Cell_growth,CXCR6,Target,Target-Cell_growth
Cell_growth,CAPRIN1,Target,Target-Cell_growth
Cell_growth,GDNF,Target,Target-Cell_growth
Cell_growth,CDC5L,Target,Target-Cell_growth
Cell_growth,RGCC,Target,Target-Cell_growth
Cell_growth,GCNA,Target,Target-Cell_growth
Cell_growth,TCAIM,Target,Target-Cell_growth
Cell_growth,CLNK,Target,Target-Cell_growth
Cell_growth,NCAM1,Target,Target-Cell_growth
Cell_growth,PDCD4,Target,Target-Cell_growth
Cell_growth,HCLS1,Target,Target-Cell_growth
Cell_growth,BCL11B,Target,Target-Cell_growth
Cell_growth,TMEM30A,Target,Target-Cell_growth
Cell_growth,CD4,Target,Target-Cell_growth
Cell_growth,BCL11A,Target,Target-Cell_growth
Cell_growth,PDCD6,Target,Target-Cell_growth
Cell_growth,PXN,Target,Target-Cell_growth
Cell_growth,FOXH1,Target,Target-Cell_growth
Cell_growth,GZMB,Target,Target-Cell_growth
Cell_growth,LRP2,Target,Target-Cell_growth
Cell_growth,MTOR,Target,Target-Cell_growth
Cell_growth,PRF1,Target,Target-Cell_growth
Cell_growth,KAT8,Target,Target-Cell_growth
Cell_growth,ILDR1,Target,Target-Cell_growth
Cell_growth,WNT3A,Target,Target-Cell_growth
Cell_growth,LSR,Target,Target-Cell_growth
Cell_growth,DAB2IP,Target,Target-Cell_growth
Cell_growth,TNN,Target,Target-Cell_growth
Cell_growth,CLSTN3,Target,Target-Cell_growth
Cell_growth,S100B,Target,Target-Cell_growth
Cell_growth,IGF2,Target,Target-Cell_growth
Cell_growth,IGF1,Target,Target-Cell_growth
Cell_growth,NTRK3,Target,Target-Cell_growth
Cell_growth,RAB21,Target,Target-Cell_growth
Cell_growth,SEMA3A,Target,Target-Cell_growth
Cell_growth,HDGFL2,Target,Target-Cell_growth
Cell_growth,IGFBP2,Target,Target-Cell_growth
Cell_growth,PSIP1,Target,Target-Cell_growth
Cell_growth,CCN5,Target,Target-Cell_growth
Cell_growth,CCN3,Target,Target-Cell_growth
Cell_growth,CCN4,Target,Target-Cell_growth
Cell_growth,CCN1,Target,Target-Cell_growth
Cell_growth,CCNA2,Target,Target-Cell_growth
Cell_growth,BDNF,Target,Target-Cell_growth
Cell_growth,GRB7,Target,Target-Cell_growth
Cell_growth,GRB10,Target,Target-Cell_growth
Cell_growth,FAM162A,Target,Target-Cell_growth
Cell_growth,CTNNA1,Target,Target-Cell_growth
Cell_growth,CASP3,Target,Target-Cell_growth
Cell_growth,CASP2,Target,Target-Cell_growth
Cell_growth,CDC42BPA,Target,Target-Cell_growth
Cell_growth,PARD3,Target,Target-Cell_growth
Cell_growth,GRIA1,Target,Target-Cell_growth
Cell_growth,GJB4,Target,Target-Cell_growth
Cell_growth,GJB2,Target,Target-Cell_growth
Cell_growth,PCDHB6,Target,Target-Cell_growth
Cell_growth,PCDHA7,Target,Target-Cell_growth
Cell_growth,AQP4,Target,Target-Cell_growth
Cell_growth,PLEKHG5,Target,Target-Cell_growth
Cell_growth,ACTN4,Target,Target-Cell_growth
Cell_growth,MICALL2,Target,Target-Cell_growth
Cell_growth,CLDN18,Target,Target-Cell_growth
Cell_growth,KIRREL2,Target,Target-Cell_growth
Cell_growth,ADGRL3,Target,Target-Cell_growth
Cell_growth,CDH1,Target,Target-Cell_growth
Cell_growth,FZR1,Target,Target-Cell_growth
Cell_growth,CDH2,Target,Target-Cell_growth
Cell_growth,XIRP2,Target,Target-Cell_growth
Cell_growth,RET,Target,Target-Cell_growth
Cell_growth,CD53,Target,Target-Cell_growth
Cell_growth,CTNNA3,Target,Target-Cell_growth
Cell_growth,PARD6A,Target,Target-Cell_growth
Cell_growth,YAP1,Target,Target-Cell_growth
Cell_growth,EPPK1,Target,Target-Cell_growth
Cell_growth,MEGF11,Target,Target-Cell_growth
Cell_growth,PKP3,Target,Target-Cell_growth
Cell_growth,PDZD2,Target,Target-Cell_growth
Cell_growth,CASP4,Target,Target-Cell_growth
Cell_growth,CASP5,Target,Target-Cell_growth
Cell_growth,VANGL2,Target,Target-Cell_growth
Cell_growth,DLG4,Target,Target-Cell_growth
Cell_growth,LLGL1,Target,Target-Cell_growth
Cell_growth,ZNF703,Target,Target-Cell_growth
Cell_growth,NHLH2,Target,Target-Cell_growth
Cell_growth,TAL1,Target,Target-Cell_growth
Cell_growth,ARF6,Target,Target-Cell_growth
Cell_growth,DAB2,Target,Target-Cell_growth
Cell_growth,NPTN,Target,Target-Cell_growth
Cell_growth,MICALL1,Target,Target-Cell_growth
Cell_growth,RGS14,Target,Target-Cell_growth
Cell_growth,MEF2C,Target,Target-Cell_growth
Cell_growth,PLCG1,Target,Target-Cell_growth
Cell_growth,LHX1,Target,Target-Cell_growth
Cell_growth,STAT5B,Target,Target-Cell_growth
Cell_growth,BMPR1B,Target,Target-Cell_growth
Cell_growth,SRC,Target,Target-Cell_growth
Cell_growth,CIB1,Target,Target-Cell_growth
Cell_growth,ZFP36,Target,Target-Cell_growth
Cell_growth,ZNF823,Target,Target-Cell_growth
Cell_growth,BAG4,Target,Target-Cell_growth
Cell_growth,ZFP36L1,Target,Target-Cell_growth
Cell_growth,ZFP36L2,Target,Target-Cell_growth
Cell_growth,BCAR1,Target,Target-Cell_growth
Cell_growth,PLS1,Target,Target-Cell_growth
Cell_growth,FER,Target,Target-Cell_growth
Cell_growth,SOX9,Target,Target-Cell_growth
Cell_growth,XBP1,Target,Target-Cell_growth
Cell_growth,EZR,Target,Target-Cell_growth
