Compound,Protein,Neighborhood_1,Tag
Folic acid,MAPK1,1Neigh,Folic acid-1Neigh
Folic acid,HMOX1,1Neigh,Folic acid-1Neigh
Folic acid,NFKBIA,1Neigh,Folic acid-1Neigh
Folic acid,MMP2,1Neigh,Folic acid-1Neigh
Folic acid,CCL2,1Neigh,Folic acid-1Neigh
Folic acid,NFKB1,1Neigh,Folic acid-1Neigh
Folic acid,MAPK14,1Neigh,Folic acid-1Neigh
Folic acid,HBEGF,1Neigh,Folic acid-1Neigh
Folic acid,PTGER2,1Neigh,Folic acid-1Neigh
Folic acid,KRAS,1Neigh,Folic acid-1Neigh
Folic acid,TLR2,1Neigh,Folic acid-1Neigh
Folic acid,MAPK3,1Neigh,Folic acid-1Neigh
Folic acid,IL1A,1Neigh,Folic acid-1Neigh
Folic acid,IL1B,1Neigh,Folic acid-1Neigh
Folic acid,STAT3,1Neigh,Folic acid-1Neigh
Folic acid,ERBB2,1Neigh,Folic acid-1Neigh
Folic acid,EGFR,1Neigh,Folic acid-1Neigh
Folic acid,IL18,1Neigh,Folic acid-1Neigh
Folic acid,PPARG,1Neigh,Folic acid-1Neigh
Folic acid,CEBPB,1Neigh,Folic acid-1Neigh
Folic acid,FOS,1Neigh,Folic acid-1Neigh
Folic acid,CXCL8,1Neigh,Folic acid-1Neigh
Folic acid,CYCS,1Neigh,Folic acid-1Neigh
Folic acid,CASP3,1Neigh,Folic acid-1Neigh
Folic acid,MMP1,1Neigh,Folic acid-1Neigh
Folic acid,NOS2,1Neigh,Folic acid-1Neigh
Folic acid,CASP9,1Neigh,Folic acid-1Neigh
Folic acid,NLRP3,1Neigh,Folic acid-1Neigh
Folic acid,CAV1,1Neigh,Folic acid-1Neigh
Folic acid,CASP8,1Neigh,Folic acid-1Neigh
Folic acid,JUN,1Neigh,Folic acid-1Neigh
Folic acid,MMP9,1Neigh,Folic acid-1Neigh
Folic acid,SRC,1Neigh,Folic acid-1Neigh
Folic acid,TLR4,1Neigh,Folic acid-1Neigh
Folic acid,CXCL1,1Neigh,Folic acid-1Neigh
Folic acid,BCL2,1Neigh,Folic acid-1Neigh
Folic acid,RELA,1Neigh,Folic acid-1Neigh
Folic acid,IL6,1Neigh,Folic acid-1Neigh
Folic acid,CXCL2,1Neigh,Folic acid-1Neigh
Folic acid,HIF1A,1Neigh,Folic acid-1Neigh
Folic acid,LGALS9C,1Neigh,Folic acid-1Neigh
Folic acid,SLC22A8,1Neigh,Folic acid-1Neigh
Folic acid,CFTR,1Neigh,Folic acid-1Neigh
