Compound,Protein,Neighborhood_1,Tag
Sleep,GAL,1Neigh,1Neigh-Sleep
Sleep,NTSR2,1Neigh,1Neigh-Sleep
Sleep,NMUR1,1Neigh,1Neigh-Sleep
Sleep,GNG2,1Neigh,1Neigh-Sleep
Sleep,GHRL,1Neigh,1Neigh-Sleep
Sleep,PYY,1Neigh,1Neigh-Sleep
Sleep,NTSR1,1Neigh,1Neigh-Sleep
Sleep,GNB1,1Neigh,1Neigh-Sleep
Sleep,CD4,1Neigh,1Neigh-Sleep
Sleep,CCL22,1Neigh,1Neigh-Sleep
Sleep,MEFV,1Neigh,1Neigh-Sleep
Sleep,NOD1,1Neigh,1Neigh-Sleep
Sleep,CCL2,1Neigh,1Neigh-Sleep
Sleep,IL2,1Neigh,1Neigh-Sleep
Sleep,IFNG,1Neigh,1Neigh-Sleep
Sleep,IL1RL1,1Neigh,1Neigh-Sleep
Sleep,PYCARD,1Neigh,1Neigh-Sleep
Sleep,IL1RN,1Neigh,1Neigh-Sleep
Sleep,CCL27,1Neigh,1Neigh-Sleep
Sleep,TLR2,1Neigh,1Neigh-Sleep
Sleep,IL37,1Neigh,1Neigh-Sleep
Sleep,IL1A,1Neigh,1Neigh-Sleep
Sleep,IL1B,1Neigh,1Neigh-Sleep
Sleep,IL18RAP,1Neigh,1Neigh-Sleep
Sleep,STAT3,1Neigh,1Neigh-Sleep
Sleep,IFNAR1,1Neigh,1Neigh-Sleep
Sleep,CCR5,1Neigh,1Neigh-Sleep
Sleep,TLR3,1Neigh,1Neigh-Sleep
Sleep,NOD2,1Neigh,1Neigh-Sleep
Sleep,CXCL10,1Neigh,1Neigh-Sleep
Sleep,CXCL8,1Neigh,1Neigh-Sleep
Sleep,CXCL11,1Neigh,1Neigh-Sleep
Sleep,NLRP6,1Neigh,1Neigh-Sleep
Sleep,IL1RAP,1Neigh,1Neigh-Sleep
Sleep,ICOS,1Neigh,1Neigh-Sleep
Sleep,NLRP3,1Neigh,1Neigh-Sleep
Sleep,STAT4,1Neigh,1Neigh-Sleep
Sleep,CCL20,1Neigh,1Neigh-Sleep
Sleep,TLR9,1Neigh,1Neigh-Sleep
Sleep,CXCL9,1Neigh,1Neigh-Sleep
Sleep,PTGS2,1Neigh,1Neigh-Sleep
Sleep,AIM2,1Neigh,1Neigh-Sleep
Sleep,IRAK1,1Neigh,1Neigh-Sleep
Sleep,TLR4,1Neigh,1Neigh-Sleep
Sleep,IL33,1Neigh,1Neigh-Sleep
Sleep,CASP5,1Neigh,1Neigh-Sleep
Sleep,CXCL1,1Neigh,1Neigh-Sleep
Sleep,CXCL12,1Neigh,1Neigh-Sleep
Sleep,NLRC4,1Neigh,1Neigh-Sleep
Sleep,IL6,1Neigh,1Neigh-Sleep
Sleep,IL1R1,1Neigh,1Neigh-Sleep
Sleep,CASP4,1Neigh,1Neigh-Sleep
Sleep,CXCL2,1Neigh,1Neigh-Sleep
Sleep,CASP1,1Neigh,1Neigh-Sleep
Sleep,GSDMD,1Neigh,1Neigh-Sleep
Sleep,TRAF6,1Neigh,1Neigh-Sleep
Sleep,TLR5,1Neigh,1Neigh-Sleep
Sleep,ATP6V1E1,1Neigh,1Neigh-Sleep
Sleep,WDR7,1Neigh,1Neigh-Sleep
Sleep,ATP6V1B2,1Neigh,1Neigh-Sleep
Sleep,KLHL20,1Neigh,1Neigh-Sleep
Sleep,RBX1,1Neigh,1Neigh-Sleep
Sleep,TNFAIP1,1Neigh,1Neigh-Sleep
Sleep,KCTD10,1Neigh,1Neigh-Sleep
Sleep,KRAS,1Neigh,1Neigh-Sleep
Sleep,CUL3,1Neigh,1Neigh-Sleep
Sleep,PDCD6,1Neigh,1Neigh-Sleep
Sleep,KLHL8,1Neigh,1Neigh-Sleep
Sleep,SPOPL,1Neigh,1Neigh-Sleep
Sleep,KLHL41,1Neigh,1Neigh-Sleep
Sleep,KLHL40,1Neigh,1Neigh-Sleep
Sleep,MRAS,1Neigh,1Neigh-Sleep
Sleep,KLHL3,1Neigh,1Neigh-Sleep
Sleep,RIT2,1Neigh,1Neigh-Sleep
Sleep,KLHL22,1Neigh,1Neigh-Sleep
Sleep,KLHL25,1Neigh,1Neigh-Sleep
Sleep,KLHL7,1Neigh,1Neigh-Sleep
Sleep,KLHL9,1Neigh,1Neigh-Sleep
Sleep,KLHL12,1Neigh,1Neigh-Sleep
Sleep,RIT1,1Neigh,1Neigh-Sleep
Sleep,SHOC2,1Neigh,1Neigh-Sleep
Sleep,NRAS,1Neigh,1Neigh-Sleep
Sleep,GLMN,1Neigh,1Neigh-Sleep
Sleep,PEF1,1Neigh,1Neigh-Sleep
Sleep,KLHL21,1Neigh,1Neigh-Sleep
Sleep,KBTBD7,1Neigh,1Neigh-Sleep
Sleep,KBTBD6,1Neigh,1Neigh-Sleep
Sleep,KLHL42,1Neigh,1Neigh-Sleep
Sleep,SPOP,1Neigh,1Neigh-Sleep
Sleep,KEAP1,1Neigh,1Neigh-Sleep
Sleep,ZSWIM8,1Neigh,1Neigh-Sleep
Sleep,KCTD17,1Neigh,1Neigh-Sleep
Sleep,KLHL24,1Neigh,1Neigh-Sleep
Sleep,KBTBD8,1Neigh,1Neigh-Sleep
Sleep,HRAS,1Neigh,1Neigh-Sleep
Sleep,KLHL13,1Neigh,1Neigh-Sleep
Sleep,KLHL2,1Neigh,1Neigh-Sleep
Sleep,KCTD13,1Neigh,1Neigh-Sleep
Sleep,GAN,1Neigh,1Neigh-Sleep
Sleep,PTGIS,1Neigh,1Neigh-Sleep
Sleep,SOX9,1Neigh,1Neigh-Sleep
Sleep,HPGDS,1Neigh,1Neigh-Sleep
Sleep,PTGES,1Neigh,1Neigh-Sleep
Sleep,PTGES2,1Neigh,1Neigh-Sleep
Sleep,PTGS1,1Neigh,1Neigh-Sleep
Sleep,ATP12A,1Neigh,1Neigh-Sleep
Sleep,ATP1B2,1Neigh,1Neigh-Sleep
Sleep,CASQ2,1Neigh,1Neigh-Sleep
Sleep,SLC9A1,1Neigh,1Neigh-Sleep
Sleep,PRKG2,1Neigh,1Neigh-Sleep
Sleep,ABCB6,1Neigh,1Neigh-Sleep
Sleep,ABCG8,1Neigh,1Neigh-Sleep
Sleep,ATP1B3,1Neigh,1Neigh-Sleep
Sleep,ABCB8,1Neigh,1Neigh-Sleep
Sleep,PRKACA,1Neigh,1Neigh-Sleep
Sleep,PPP1CA,1Neigh,1Neigh-Sleep
Sleep,SFN,1Neigh,1Neigh-Sleep
