Compound,Protein,Neighborhood_1,Tag
Nervous_system,SULF1,Target,Target-Nervous_system
Nervous_system,XYLT1,Target,Target-Nervous_system
Nervous_system,RAPGEF2,Target,Target-Nervous_system
Nervous_system,NPR3,Target,Target-Nervous_system
Nervous_system,CRB2,Target,Target-Nervous_system
Nervous_system,SULF2,Target,Target-Nervous_system
Nervous_system,LGMN,Target,Target-Nervous_system
Nervous_system,RIPPLY3,Target,Target-Nervous_system
Nervous_system,EPHB3,Target,Target-Nervous_system
Nervous_system,ANPEP,Target,Target-Nervous_system
Nervous_system,FOXI3,Target,Target-Nervous_system
Nervous_system,ECEL1,Target,Target-Nervous_system
Nervous_system,SIX4,Target,Target-Nervous_system
Nervous_system,TBX1,Target,Target-Nervous_system
Nervous_system,MEGF8,Target,Target-Nervous_system
Nervous_system,TRIM72,Target,Target-Nervous_system
Nervous_system,SIX1,Target,Target-Nervous_system
Nervous_system,FUZ,Target,Target-Nervous_system
Nervous_system,DLL3,Target,Target-Nervous_system
Nervous_system,FOXB1,Target,Target-Nervous_system
Nervous_system,SCX,Target,Target-Nervous_system
Nervous_system,NXN,Target,Target-Nervous_system
Nervous_system,DEAF1,Target,Target-Nervous_system
Nervous_system,RAB26,Target,Target-Nervous_system
Nervous_system,ACTN3,Target,Target-Nervous_system
Nervous_system,RAB35,Target,Target-Nervous_system
Nervous_system,NOCT,Target,Target-Nervous_system
Nervous_system,HECA,Target,Target-Nervous_system
Nervous_system,GGT1,Target,Target-Nervous_system
Nervous_system,FTO,Target,Target-Nervous_system
Nervous_system,APLF,Target,Target-Nervous_system
Nervous_system,CDC42EP3,Target,Target-Nervous_system
Nervous_system,CDC42EP2,Target,Target-Nervous_system
Nervous_system,CEP250,Target,Target-Nervous_system
Nervous_system,GLP1R,Target,Target-Nervous_system
Nervous_system,MAPK1,Target,Target-Nervous_system
Nervous_system,GRIN2B,Target,Target-Nervous_system
Nervous_system,GRIN2A,Target,Target-Nervous_system
Nervous_system,KCNA2,Target,Target-Nervous_system
Nervous_system,TAFA2,Target,Target-Nervous_system
Nervous_system,NETO1,Target,Target-Nervous_system
Nervous_system,KCNAB2,Target,Target-Nervous_system
Nervous_system,UBA5,Target,Target-Nervous_system
Nervous_system,SYT11,Target,Target-Nervous_system
Nervous_system,CIC,Target,Target-Nervous_system
Nervous_system,MEF2C,Target,Target-Nervous_system
Nervous_system,TMC7,Target,Target-Nervous_system
Nervous_system,SCN2A,Target,Target-Nervous_system
Nervous_system,FGF13,Target,Target-Nervous_system
Nervous_system,TAAR3P,Target,Target-Nervous_system
Nervous_system,RGS14,Target,Target-Nervous_system
Nervous_system,PLK2,Target,Target-Nervous_system
Nervous_system,NEDD9,Target,Target-Nervous_system
Nervous_system,JPH3,Target,Target-Nervous_system
Nervous_system,PTN,Target,Target-Nervous_system
Nervous_system,MME,Target,Target-Nervous_system
Nervous_system,PTPRZ1,Target,Target-Nervous_system
Nervous_system,KCNA1,Target,Target-Nervous_system
Nervous_system,OPRM1,Target,Target-Nervous_system
Nervous_system,OPRL1,Target,Target-Nervous_system
Nervous_system,OPRK1,Target,Target-Nervous_system
Nervous_system,SLC8A2,Target,Target-Nervous_system
Nervous_system,SLC8A3,Target,Target-Nervous_system
Nervous_system,ADCY8,Target,Target-Nervous_system
Nervous_system,NMB,Target,Target-Nervous_system
Nervous_system,GPNMB,Target,Target-Nervous_system
Nervous_system,ATAD1,Target,Target-Nervous_system
Nervous_system,GRM1,Target,Target-Nervous_system
Nervous_system,GRM6,Target,Target-Nervous_system
Nervous_system,CLN3,Target,Target-Nervous_system
Nervous_system,ATXN1L,Target,Target-Nervous_system
Nervous_system,REST,Target,Target-Nervous_system
Nervous_system,ATP8A1,Target,Target-Nervous_system
Nervous_system,ATXN1,Target,Target-Nervous_system
Nervous_system,SCN11A,Target,Target-Nervous_system
Nervous_system,CEP131,Target,Target-Nervous_system
Nervous_system,CCR2,Target,Target-Nervous_system
Nervous_system,UFM1,Target,Target-Nervous_system
Nervous_system,EIF2AK4,Target,Target-Nervous_system
Nervous_system,KCNK4,Target,Target-Nervous_system
Nervous_system,KLK8,Target,Target-Nervous_system
Nervous_system,AGTPBP1,Target,Target-Nervous_system
Nervous_system,KCND2,Target,Target-Nervous_system
Nervous_system,EIF4EBP2,Target,Target-Nervous_system
Nervous_system,SHISA7,Target,Target-Nervous_system
Nervous_system,GPRASP3,Target,Target-Nervous_system
Nervous_system,YTHDF1,Target,Target-Nervous_system
Nervous_system,PTGES,Target,Target-Nervous_system
Nervous_system,NPAS4,Target,Target-Nervous_system
Nervous_system,CCL2,Target,Target-Nervous_system
Nervous_system,S100B,Target,Target-Nervous_system
Nervous_system,MAPK3,Target,Target-Nervous_system
Nervous_system,EGFR,Target,Target-Nervous_system
Nervous_system,ALOXE3,Target,Target-Nervous_system
Nervous_system,NES,Target,Target-Nervous_system
Nervous_system,GPER1,Target,Target-Nervous_system
Nervous_system,MACROH2A2,Target,Target-Nervous_system
Nervous_system,CNTN4,Target,Target-Nervous_system
Nervous_system,DDIT4,Target,Target-Nervous_system
Nervous_system,LHX1,Target,Target-Nervous_system
Nervous_system,LRP8,Target,Target-Nervous_system
Nervous_system,EXOSC3,Target,Target-Nervous_system
Nervous_system,RNF139,Target,Target-Nervous_system
Nervous_system,LOXL3,Target,Target-Nervous_system
Nervous_system,FOXR1,Target,Target-Nervous_system
Nervous_system,VIT,Target,Target-Nervous_system
Nervous_system,MATCAP1,Target,Target-Nervous_system
Nervous_system,HSD17B7,Target,Target-Nervous_system
Nervous_system,ZPR1,Target,Target-Nervous_system
Nervous_system,DAB1,Target,Target-Nervous_system
Nervous_system,CDK5R1,Target,Target-Nervous_system
Nervous_system,SVBP,Target,Target-Nervous_system
Nervous_system,VSTM5,Target,Target-Nervous_system
Nervous_system,SLC6A17,Target,Target-Nervous_system
Nervous_system,CLASP1,Target,Target-Nervous_system
Nervous_system,MAST1,Target,Target-Nervous_system
Nervous_system,KDM4B,Target,Target-Nervous_system
Nervous_system,PAX6,Target,Target-Nervous_system
Nervous_system,ZNF335,Target,Target-Nervous_system
Nervous_system,EML1,Target,Target-Nervous_system
Nervous_system,CITED1,Target,Target-Nervous_system
Nervous_system,BAG6,Target,Target-Nervous_system
Nervous_system,DLL1,Target,Target-Nervous_system
Nervous_system,SLC23A1,Target,Target-Nervous_system
Nervous_system,SLC23A2,Target,Target-Nervous_system
Nervous_system,SMG9,Target,Target-Nervous_system
Nervous_system,UTP3,Target,Target-Nervous_system
Nervous_system,HES5,Target,Target-Nervous_system
Nervous_system,SCYL2,Target,Target-Nervous_system
Nervous_system,AIM2,Target,Target-Nervous_system
Nervous_system,DAAM2,Target,Target-Nervous_system
Nervous_system,DIAPH1,Target,Target-Nervous_system
Nervous_system,MINK1,Target,Target-Nervous_system
Nervous_system,CCDC141,Target,Target-Nervous_system
Nervous_system,PHF8,Target,Target-Nervous_system
Nervous_system,SETD1A,Target,Target-Nervous_system
Nervous_system,SOX12,Target,Target-Nervous_system
Nervous_system,SOX15,Target,Target-Nervous_system
Nervous_system,FOXP1,Target,Target-Nervous_system
Nervous_system,VLDLR,Target,Target-Nervous_system
Nervous_system,CX3CR1,Target,Target-Nervous_system
Nervous_system,ZIC1,Target,Target-Nervous_system
Nervous_system,CDK5RAP2,Target,Target-Nervous_system
Nervous_system,EPHA7,Target,Target-Nervous_system
Nervous_system,MACROD2,Target,Target-Nervous_system
Nervous_system,PLXNB2,Target,Target-Nervous_system
Nervous_system,RELN,Target,Target-Nervous_system
Nervous_system,PCDH18,Target,Target-Nervous_system
Nervous_system,GIT1,Target,Target-Nervous_system
Nervous_system,DRAXIN,Target,Target-Nervous_system
Nervous_system,DNAJC30,Target,Target-Nervous_system
Nervous_system,INSM1,Target,Target-Nervous_system
Nervous_system,FZD3,Target,Target-Nervous_system
Nervous_system,FZD9,Target,Target-Nervous_system
Nervous_system,PHOX2B,Target,Target-Nervous_system
Nervous_system,CTNNB1,Target,Target-Nervous_system
Nervous_system,ACKR3,Target,Target-Nervous_system
Nervous_system,EGR2,Target,Target-Nervous_system
Nervous_system,AQP1,Target,Target-Nervous_system
Nervous_system,EPHA5,Target,Target-Nervous_system
Nervous_system,SCT,Target,Target-Nervous_system
Nervous_system,KIRREL3,Target,Target-Nervous_system
Nervous_system,TSKU,Target,Target-Nervous_system
Nervous_system,NUMBL,Target,Target-Nervous_system
Nervous_system,NUMB,Target,Target-Nervous_system
Nervous_system,UQCRQ,Target,Target-Nervous_system
Nervous_system,OGDH,Target,Target-Nervous_system
Nervous_system,SEMA6B,Target,Target-Nervous_system
Nervous_system,KIF14,Target,Target-Nervous_system
Nervous_system,SOX3,Target,Target-Nervous_system
Nervous_system,SIX3,Target,Target-Nervous_system
Nervous_system,FGFR2,Target,Target-Nervous_system
Nervous_system,FGFR1,Target,Target-Nervous_system
Nervous_system,ARC,Target,Target-Nervous_system
Nervous_system,NOL3,Target,Target-Nervous_system
Nervous_system,PJA2,Target,Target-Nervous_system
Nervous_system,ADCY3,Target,Target-Nervous_system
Nervous_system,PINK1,Target,Target-Nervous_system
Nervous_system,ELP1,Target,Target-Nervous_system
Nervous_system,TOB1,Target,Target-Nervous_system
Nervous_system,SYT10,Target,Target-Nervous_system
Nervous_system,HOMER2,Target,Target-Nervous_system
Nervous_system,ATP6V1B1,Target,Target-Nervous_system
Nervous_system,LRP2,Target,Target-Nervous_system
Nervous_system,SLC24A4,Target,Target-Nervous_system
Nervous_system,CLRN2,Target,Target-Nervous_system
Nervous_system,XRCC1,Target,Target-Nervous_system
Nervous_system,ANO9,Target,Target-Nervous_system
Nervous_system,MYO3A,Target,Target-Nervous_system
Nervous_system,ESPNL,Target,Target-Nervous_system
Nervous_system,PJVK,Target,Target-Nervous_system
Nervous_system,PARP1,Target,Target-Nervous_system
Nervous_system,SLC4A7,Target,Target-Nervous_system
Nervous_system,CEACAM16,Target,Target-Nervous_system
Nervous_system,P2RX2,Target,Target-Nervous_system
Nervous_system,GPR179,Target,Target-Nervous_system
Nervous_system,TOMT,Target,Target-Nervous_system
Nervous_system,BSND,Target,Target-Nervous_system
Nervous_system,PRKCG,Target,Target-Nervous_system
Nervous_system,CLSTN3,Target,Target-Nervous_system
Nervous_system,TMPRSS3,Target,Target-Nervous_system
