Compound,Protein,Neighborhood_1,Tag
Glycine,PRKN,1Neigh,Glycine-1Neigh
Glycine,BAG3,1Neigh,Glycine-1Neigh
Glycine,H2BC21,1Neigh,Glycine-1Neigh
Glycine,H2AC18,1Neigh,Glycine-1Neigh
Glycine,RUNX2,1Neigh,Glycine-1Neigh
Glycine,HSP90AB1,1Neigh,Glycine-1Neigh
Glycine,RBBP4,1Neigh,Glycine-1Neigh
Glycine,HDAC1,1Neigh,Glycine-1Neigh
Glycine,CTTN,1Neigh,Glycine-1Neigh
Glycine,H2BC13,1Neigh,Glycine-1Neigh
Glycine,ATXN3L,1Neigh,Glycine-1Neigh
Glycine,SQSTM1,1Neigh,Glycine-1Neigh
Glycine,PLAA,1Neigh,Glycine-1Neigh
Glycine,NCOR2,1Neigh,Glycine-1Neigh
Glycine,CDKN1A,1Neigh,Glycine-1Neigh
Glycine,UBA52,1Neigh,Glycine-1Neigh
Glycine,CYLD,1Neigh,Glycine-1Neigh
Glycine,RHOA,1Neigh,Glycine-1Neigh
Glycine,HSF1,1Neigh,Glycine-1Neigh
Glycine,H2AX,1Neigh,Glycine-1Neigh
Glycine,HSPA8,1Neigh,Glycine-1Neigh
Glycine,HIF1A,1Neigh,Glycine-1Neigh
Glycine,UBC,1Neigh,Glycine-1Neigh
Glycine,H2BC18,1Neigh,Glycine-1Neigh
Glycine,H2BC11,1Neigh,Glycine-1Neigh
Glycine,H2BC17,1Neigh,Glycine-1Neigh
Glycine,H2BC14,1Neigh,Glycine-1Neigh
Glycine,UBB,1Neigh,Glycine-1Neigh
Glycine,H2BC9,1Neigh,Glycine-1Neigh
Glycine,H2BC3,1Neigh,Glycine-1Neigh
Glycine,SLC36A4,1Neigh,Glycine-1Neigh
Glycine,RRAGC,1Neigh,Glycine-1Neigh
Glycine,SPTLC2,1Neigh,Glycine-1Neigh
Glycine,DAO,1Neigh,Glycine-1Neigh
Glycine,SDS,1Neigh,Glycine-1Neigh
Glycine,SPTLC1,1Neigh,Glycine-1Neigh
Glycine,AGXT,1Neigh,Glycine-1Neigh
Glycine,SHMT1,1Neigh,Glycine-1Neigh
Glycine,SHMT2,1Neigh,Glycine-1Neigh
Glycine,SDSL,1Neigh,Glycine-1Neigh
Glycine,PSPH,1Neigh,Glycine-1Neigh
Glycine,CBS,1Neigh,Glycine-1Neigh
Glycine,GNG13,1Neigh,Glycine-1Neigh
Glycine,GNAL,1Neigh,Glycine-1Neigh
Glycine,SLC38A2,1Neigh,Glycine-1Neigh
Glycine,SLC7A11,1Neigh,Glycine-1Neigh
Glycine,SLC7A8,1Neigh,Glycine-1Neigh
Glycine,SLC17A7,1Neigh,Glycine-1Neigh
Glycine,GAD2,1Neigh,Glycine-1Neigh
Glycine,GRIA3,1Neigh,Glycine-1Neigh
Glycine,P2RX6,1Neigh,Glycine-1Neigh
Glycine,CAMK2A,1Neigh,Glycine-1Neigh
Glycine,DLG2,1Neigh,Glycine-1Neigh
Glycine,BDNF,1Neigh,Glycine-1Neigh
Glycine,CASK,1Neigh,Glycine-1Neigh
Glycine,GRM4,1Neigh,Glycine-1Neigh
Glycine,HOMER1,1Neigh,Glycine-1Neigh
Glycine,PTK2B,1Neigh,Glycine-1Neigh
Glycine,DPYSL2,1Neigh,Glycine-1Neigh
Glycine,SLC1A2,1Neigh,Glycine-1Neigh
Glycine,APP,1Neigh,Glycine-1Neigh
Glycine,MPP3,1Neigh,Glycine-1Neigh
Glycine,DAPK1,1Neigh,Glycine-1Neigh
Glycine,SHANK3,1Neigh,Glycine-1Neigh
Glycine,CTNNB1,1Neigh,Glycine-1Neigh
Glycine,GRM2,1Neigh,Glycine-1Neigh
Glycine,ACTB,1Neigh,Glycine-1Neigh
Glycine,NLGN1,1Neigh,Glycine-1Neigh
Glycine,GPHN,1Neigh,Glycine-1Neigh
Glycine,SIRT2,1Neigh,Glycine-1Neigh
Glycine,ATXN3,1Neigh,Glycine-1Neigh
Glycine,PTGES3,1Neigh,Glycine-1Neigh
Glycine,HDAC2,1Neigh,Glycine-1Neigh
Glycine,H2BC15,1Neigh,Glycine-1Neigh
Glycine,H2BU1,1Neigh,Glycine-1Neigh
Glycine,AKT1,1Neigh,Glycine-1Neigh
Glycine,TUBA1A,1Neigh,Glycine-1Neigh
Glycine,SNCA,1Neigh,Glycine-1Neigh
Glycine,DYNLL1,1Neigh,Glycine-1Neigh
Glycine,H2BS1,1Neigh,Glycine-1Neigh
Glycine,HDAC9,1Neigh,Glycine-1Neigh
Glycine,SLC36A2,1Neigh,Glycine-1Neigh
Glycine,SLC38A9,1Neigh,Glycine-1Neigh
Glycine,SPTLC3,1Neigh,Glycine-1Neigh
Glycine,ADCY3,1Neigh,Glycine-1Neigh
Glycine,SLC38A1,1Neigh,Glycine-1Neigh
Glycine,SLC3A2,1Neigh,Glycine-1Neigh
Glycine,SLC17A6,1Neigh,Glycine-1Neigh
Glycine,SLC6A1,Target,Glycine-Target
Glycine,GRIN2C,Target,Glycine-Target
Glycine,GRIN1,Target,Glycine-Target
Glycine,GRIN3A,Target,Glycine-Target
Glycine,GRIN2D,Target,Glycine-Target
Glycine,GRIN2A,Target,Glycine-Target
Glycine,GRIN2B,Target,Glycine-Target
Glycine,SLC6A13,Target,Glycine-Target
Glycine,SLC6A11,Target,Glycine-Target
Glycine,GLRA1,Target,Glycine-Target
Glycine,HDAC6,Target,Glycine-Target
Glycine,SLC36A1,Target,Glycine-Target
Glycine,SRR,Target,Glycine-Target
Glycine,OR51E2,Target,Glycine-Target
Glycine,SLC7A5,Target,Glycine-Target
Glycine,SLC6A5,Target,Glycine-Target
Glycine,SLC6A9,Target,Glycine-Target
