Prot_A;Prot_B;Renew component
SENP3;LAS1L;Choline
SENP3;TEX10;Choline
RUVBL1;H2AC4;Choline
RUVBL1;H4C2;Choline
RUVBL1;H4C4;Choline
RUVBL1;H4C14;Choline
RUVBL1;H4C9;Choline
RUVBL1;H4C11;Choline
RUVBL1;H4C8;Choline
RUVBL1;H4C5;Choline
RUVBL1;H4C1;Choline
RUVBL1;H4C12;Choline
RUVBL1;H4C13;Choline
RUVBL1;H4C15;Choline
RUVBL1;H4C3;Choline
RUVBL1;H4-16;Choline
RUVBL1;H3C2;Choline
RUVBL1;H3C10;Choline
RUVBL1;H3C7;Choline
RUVBL1;H3C8;Choline
RUVBL1;H3C11;Choline
RUVBL1;H3C4;Choline
RUVBL1;H3C1;Choline
RUVBL1;H3C3;Choline
RUVBL1;H3C6;Choline
RUVBL1;C17orf49;Choline
RUVBL1;LAS1L;Choline
RUVBL1;KANSL1;Choline
RUVBL1;E2F6;Choline
RUVBL1;RNF2;Choline
RUVBL1;TAF6;Choline
RUVBL1;TEX10;Choline
RUVBL1;PHF20;Choline
RUVBL1;H3C12;Choline
RUVBL1;KMT2A;Choline
RUVBL1;TAF1;Choline
RUVBL1;TAF9;Choline
RUVBL1;MAX;Choline
RUVBL1;KAT8;Choline
RUVBL1;WDR5;Choline
RUVBL1;CHD8;Choline
RUVBL1;H2BC11;Choline
RUVBL1;PRPF31;Choline
RUVBL1;MCRS1;Choline
RUVBL1;INO80C;Choline
RUVBL1;RUVBL2;Choline
PRPF31;INO80C;Choline
PRPF31;RNF2;Choline
PRPF31;MAX;Choline
PRPF31;E2F6;Choline
PRPF31;TEX10;Choline
PRPF31;KANSL1;Choline
PRPF31;TAF9;Choline
PRPF31;LAS1L;Choline
PRPF31;PHF20;Choline
PRPF31;TAF6;Choline
PRPF31;C17orf49;Choline
PRPF31;KAT8;Choline
PRPF31;KMT2A;Choline
PRPF31;TAF1;Choline
PRPF31;CHD8;Choline
PRPF31;MCRS1;Choline
PRPF31;WDR5;Choline
PRPF31;RUVBL2;Choline
H3C13;TAF6;Choline
H3C13;H3-3A;Choline
H3C13;TAF9;Choline
H3C13;PPIE;Choline
H3C13;H2AC11;Choline
H3C13;H2AC15;Choline
H3C13;UBB;Choline
H3C13;H4C12;Choline
H3C13;H4C15;Choline
H3C13;UBA52;Choline
H3C13;H2AC16;Choline
H3C13;H4C3;Choline
H3C13;H4C9;Choline
H3C13;H4C8;Choline
H3C13;H4C13;Choline
H3C13;H4-16;Choline
H3C13;H4C5;Choline
H3C13;H4C11;Choline
H3C13;H2AC17;Choline
H3C13;H4C1;Choline
H3C13;H4C2;Choline
H3C13;H4C4;Choline
H3C13;H2AC6;Choline
H3C13;H4C14;Choline
H3C13;UBC;Choline
H3C13;H2AC4;Choline
H3C13;H2AC13;Choline
H3C13;PHF8;Choline
H3C13;H2BC11;Choline
H3C13;H2BC3;Choline
H3C13;MLLT3;Choline
H3C13;H2BC12;Choline
H3C13;H2BC21;Choline
H3-5;H3-3A;Choline
H3-5;PPIE;Choline
H3-5;H2AC4;Choline
H3-5;H4C8;Choline
H3-5;H4C2;Choline
H3-5;H4C3;Choline
H3-5;H4C11;Choline
H3-5;H4C9;Choline
H3-5;H4C15;Choline
H3-5;H4C1;Choline
H3-5;H4C12;Choline
H3-5;H4C13;Choline
H3-5;H4C5;Choline
H3-5;H4C14;Choline
H3-5;H4-16;Choline
H3-5;H4C4;Choline
H3-5;PHF8;Choline
H3-5;H2BC11;Choline
H3-5;H2BC12;Choline
H3-5;MLLT3;Choline
MYB;SIN3A;Choline
MYB;GATA2;Choline
MYB;KMT2A;Choline
SMARCB1;H4C15;Choline
SMARCB1;H4C3;Choline
SMARCB1;H4C4;Choline
SMARCB1;H4C14;Choline
SMARCB1;H4C1;Choline
SMARCB1;H4C12;Choline
SMARCB1;H4C13;Choline
SMARCB1;H4C8;Choline
SMARCB1;H4C11;Choline
SMARCB1;H4C5;Choline
SMARCB1;H4-16;Choline
SMARCB1;H4C9;Choline
SMARCB1;H4C2;Choline
SMARCB1;H3C4;Choline
SMARCB1;H3C10;Choline
SMARCB1;H3C7;Choline
SMARCB1;H3C11;Choline
SMARCB1;H3C8;Choline
SMARCB1;H3C6;Choline
SMARCB1;H3C3;Choline
SMARCB1;H3C2;Choline
SMARCB1;H2AC6;Choline
SMARCB1;H2BC21;Choline
ASH2L;H2AC17;Choline
ASH2L;H2AC16;Choline
ASH2L;H2AC11;Choline
ASH2L;H2AC13;Choline
ASH2L;H2AC4;Choline
ASH2L;H2AC15;Choline
ASH2L;H4C1;Choline
ASH2L;H4C12;Choline
ASH2L;H4C13;Choline
ASH2L;H4C15;Choline
ASH2L;H4C3;Choline
ASH2L;H4C4;Choline
ASH2L;H4C14;Choline
ASH2L;H4-16;Choline
ASH2L;H4C9;Choline
ASH2L;H4C2;Choline
ASH2L;H4C8;Choline
ASH2L;H4C11;Choline
ASH2L;H4C5;Choline
ASH2L;H3C14;Choline
ASH2L;H3C15;Choline
ASH2L;H2BC12;Choline
ASH2L;H2BC11;Choline
ASH2L;H2AC6;Choline
ASH2L;UBC;Choline
ASH2L;UBB;Choline
ASH2L;UBA52;Choline
ASH2L;KDM6A;Choline
HOXA9;PBX1;Choline
DPY30;H2BC11;Choline
DPY30;H2BC12;Choline
DPY30;H2AC15;Choline
DPY30;H2AC16;Choline
DPY30;H2AC11;Choline
DPY30;H2AC4;Choline
DPY30;H2AC17;Choline
DPY30;H2AC6;Choline
DPY30;H2AC13;Choline
DPY30;H3C14;Choline
DPY30;H3C15;Choline
DPY30;UBB;Choline
DPY30;H4C8;Choline
DPY30;H4C5;Choline
DPY30;H4-16;Choline
DPY30;H4C9;Choline
DPY30;H4C4;Choline
DPY30;H4C15;Choline
DPY30;H4C14;Choline
DPY30;H4C1;Choline
DPY30;H4C12;Choline
DPY30;H4C13;Choline
DPY30;H4C2;Choline
DPY30;H4C11;Choline
DPY30;H4C3;Choline
DPY30;UBC;Choline
DPY30;UBA52;Choline
DPY30;KDM6A;Choline
H4C11;TAF6;Choline
H4C11;TAF9;Choline
H4C11;PSIP1;Choline
H4C11;TAF1;Choline
H4C11;KMT2A;Choline
H4C11;WDR5;Choline
H4C11;UBC;Choline
H4C11;UBB;Choline
H4C11;UBA52;Choline
H4C11;RUVBL2;Choline
H4C11;MLLT3;Choline
H4C11;H3-4;Choline
H4C11;DOT1L;Choline
H4C11;H3-3A;Choline
H4C11;H4C15;Choline
H4C11;H4C12;Choline
H4C11;H4-16;Choline
H4C11;H4C8;Choline
H4C11;H4C14;Choline
H4C11;H4C3;Choline
H4C11;H4C1;Choline
H4C11;H4C13;Choline
H4C11;H2BC3;Choline
H4C11;H4C9;Choline
H4C11;H2AC11;Choline
H4C11;H2AC15;Choline
H4C11;H4C4;Choline
H4C11;H3C14;Choline
H4C11;H2AC16;Choline
H4C11;H3C15;Choline
H4C11;H4C5;Choline
H4C11;H2BC21;Choline
H4C11;H2AC6;Choline
H4C11;H2BC12;Choline
H4C11;H2AC17;Choline
H4C11;H2BC11;Choline
H4C11;H3C12;Choline
H4C11;H4C2;Choline
H4C11;H2AC13;Choline
H4C11;H3C6;Choline
H4C11;H3C3;Choline
H4C11;H3C10;Choline
H4C11;H3C1;Choline
H4C11;H3C11;Choline
H4C11;H3C7;Choline
H4C11;H3C4;Choline
H4C11;H3C8;Choline
H4C11;H3C2;Choline
H4C11;H2AC4;Choline
H2BC12;PSIP1;Choline
H2BC12;WDR5;Choline
H2BC12;H3-3A;Choline
H2BC12;H3C15;Choline
H2BC12;H3C14;Choline
H2BC12;H3C2;Choline
H2BC12;H3C11;Choline
H2BC12;H3C1;Choline
H2BC12;H3C8;Choline
H2BC12;H3C7;Choline
H2BC12;KMT2A;Choline
H2BC12;H2AC15;Choline
H2BC12;H3C4;Choline
H2BC12;H2AC16;Choline
H2BC12;DOT1L;Choline
H2BC12;H2AC4;Choline
H2BC12;H4C3;Choline
H2BC12;H4C12;Choline
H2BC12;H4C1;Choline
H2BC12;H3C6;Choline
H2BC12;H4-16;Choline
H2BC12;H4C15;Choline
H2BC12;H3C10;Choline
H2BC12;H4C13;Choline
H2BC12;H4C4;Choline
H2BC12;H2AC17;Choline
H2BC12;H4C5;Choline
H2BC12;H3C3;Choline
H2BC12;H4C2;Choline
H2BC12;H4C14;Choline
H2BC12;H4C9;Choline
H2BC12;H2AC11;Choline
H2BC12;H4C8;Choline
H2BC12;H2AC13;Choline
H2BC12;H3-4;Choline
H2BC12;H2AC6;Choline
H2BC12;H3C12;Choline
MCRS1;TEX10;Choline
MCRS1;TAF1;Choline
MCRS1;MAX;Choline
MCRS1;RNF2;Choline
MCRS1;TAF9;Choline
MCRS1;C17orf49;Choline
MCRS1;E2F6;Choline
MCRS1;CHD8;Choline
MCRS1;LAS1L;Choline
MCRS1;KMT2A;Choline
MCRS1;TAF6;Choline
MCRS1;RUVBL2;Choline
MCRS1;INO80C;Choline
MCRS1;KAT8;Choline
MCRS1;WDR5;Choline
MCRS1;KANSL1;Choline
MCRS1;PHF20;Choline
PHF8;H3-3A;Choline
PHF8;H3C4;Choline
PHF8;H3C10;Choline
PHF8;H3C2;Choline
PHF8;H3C7;Choline
PHF8;H3C14;Choline
PHF8;H3C8;Choline
PHF8;H3C15;Choline
PHF8;H3C11;Choline
PHF8;H3C6;Choline
PHF8;H3C3;Choline
PHF8;H3-2;Choline
PHF8;H3C1;Choline
PHF8;H3C12;Choline
WDR5;H4C5;Choline
WDR5;H4C9;Choline
WDR5;H4-16;Choline
WDR5;H4C14;Choline
WDR5;H4C15;Choline
WDR5;H4C4;Choline
WDR5;H4C12;Choline
WDR5;H4C1;Choline
WDR5;H2AC15;Choline
WDR5;H4C8;Choline
WDR5;H2AC4;Choline
WDR5;H2AC11;Choline
WDR5;H4C3;Choline
WDR5;H2AC16;Choline
WDR5;H4C13;Choline
WDR5;H4C2;Choline
WDR5;H2AC17;Choline
WDR5;H2AC13;Choline
WDR5;UBB;Choline
WDR5;UBA52;Choline
WDR5;UBC;Choline
WDR5;H2AC6;Choline
WDR5;H2BC11;Choline
WDR5;H3-3A;Choline
WDR5;TEX10;Choline
WDR5;H3C2;Choline
WDR5;H3C10;Choline
WDR5;H3C4;Choline
WDR5;H3C8;Choline
WDR5;H3C11;Choline
WDR5;H3C15;Choline
WDR5;H3C7;Choline
WDR5;H3C14;Choline
WDR5;TAF6;Choline
WDR5;INO80C;Choline
WDR5;C17orf49;Choline
WDR5;RUVBL2;Choline
WDR5;TAF9;Choline
WDR5;LAS1L;Choline
WDR5;MAX;Choline
WDR5;H3C6;Choline
WDR5;H3C3;Choline
WDR5;E2F6;Choline
WDR5;PHF20;Choline
WDR5;RNF2;Choline
WDR5;KAT8;Choline
WDR5;KANSL1;Choline
WDR5;KDM6A;Choline
MAX;TEX10;Choline
MAX;INO80C;Choline
MAX;KANSL1;Choline
MAX;PHF20;Choline
MAX;KAT8;Choline
MAX;C17orf49;Choline
MAX;LAS1L;Choline
MAX;CHD8;Choline
MAX;KMT2A;Choline
MAX;TAF6;Choline
MAX;TAF1;Choline
MAX;TAF9;Choline
MAX;RUVBL2;Choline
MAX;RNF2;Choline
MAX;E2F6;Choline
H2AC13;PSIP1;Choline
H2AC13;KMT2A;Choline
H2AC13;DOT1L;Choline
H2AC13;H2AC16;Choline
H2AC13;H2AC15;Choline
H2AC13;H3-3A;Choline
H2AC13;H3C15;Choline
H2AC13;UBC;Choline
H2AC13;H2AC6;Choline
H2AC13;UBB;Choline
H2AC13;H2AC4;Choline
H2AC13;H2AC11;Choline
H2AC13;UBA52;Choline
H2AC13;H4C12;Choline
H2AC13;H4C15;Choline
H2AC13;H4-16;Choline
H2AC13;H4C1;Choline
H2AC13;H4C3;Choline
H2AC13;H4C9;Choline
H2AC13;H4C14;Choline
H2AC13;H4C8;Choline
H2AC13;H4C13;Choline
H2AC13;H2AC17;Choline
H2AC13;H3C14;Choline
H2AC13;H4C4;Choline
H2AC13;H4C2;Choline
H2AC13;H4C5;Choline
H2AC13;H2BC11;Choline
H2AC13;H2BC21;Choline
H2AC11;PSIP1;Choline
H2AC11;KMT2A;Choline
H2AC11;H2AC16;Choline
H2AC11;H2AC15;Choline
H2AC11;DOT1L;Choline
H2AC11;H2AC4;Choline
H2AC11;H3-3A;Choline
H2AC11;UBC;Choline
H2AC11;UBB;Choline
H2AC11;H2AC6;Choline
H2AC11;UBA52;Choline
H2AC11;H3C15;Choline
H2AC11;H3C14;Choline
H2AC11;H2AC17;Choline
H2AC11;H4C15;Choline
H2AC11;H4C3;Choline
H2AC11;H4C2;Choline
H2AC11;H4-16;Choline
H2AC11;H4C1;Choline
H2AC11;H4C12;Choline
H2AC11;H4C13;Choline
H2AC11;H4C9;Choline
H2AC11;H4C5;Choline
H2AC11;H4C4;Choline
H2AC11;H4C14;Choline
H2AC11;H4C8;Choline
H2AC11;H2BC21;Choline
H2AC11;H2BC11;Choline
H3C12;H3-3A;Choline
H3C12;RUVBL2;Choline
H3C12;UBB;Choline
H3C12;UBA52;Choline
H3C12;PPIE;Choline
H3C12;H2AC6;Choline
H3C12;UBC;Choline
H3C12;H4C15;Choline
H3C12;H4C12;Choline
H3C12;H4C8;Choline
H3C12;H4C3;Choline
H3C12;H4-16;Choline
H3C12;H4C1;Choline
H3C12;H4C5;Choline
H3C12;H4C2;Choline
H3C12;H4C9;Choline
H3C12;H4C4;Choline
H3C12;H4C13;Choline
H3C12;H2AC4;Choline
H3C12;H4C14;Choline
H3C12;H2BC3;Choline
H3C12;MLLT3;Choline
H3C12;H2BC11;Choline
H3C12;H2BC21;Choline
H2AC17;PSIP1;Choline
H2AC17;KMT2A;Choline
H2AC17;DOT1L;Choline
H2AC17;H2AC16;Choline
H2AC17;UBC;Choline
H2AC17;UBB;Choline
H2AC17;H3-3A;Choline
H2AC17;UBA52;Choline
H2AC17;H2AC15;Choline
H2AC17;H2AC6;Choline
H2AC17;H2AC4;Choline
H2AC17;H3C15;Choline
H2AC17;H4C15;Choline
H2AC17;H4-16;Choline
H2AC17;H4C12;Choline
H2AC17;H4C1;Choline
H2AC17;H4C3;Choline
H2AC17;H4C13;Choline
H2AC17;H4C9;Choline
H2AC17;H4C2;Choline
H2AC17;H4C4;Choline
H2AC17;H3C14;Choline
H2AC17;H4C8;Choline
H2AC17;H4C14;Choline
H2AC17;H2BC11;Choline
H2AC17;H4C5;Choline
H2AC17;H2BC21;Choline
H3-4;H3-3A;Choline
H3-4;PPIE;Choline
H3-4;H2AC4;Choline
H3-4;H4C3;Choline
H3-4;H4C8;Choline
H3-4;H4C15;Choline
H3-4;H4C1;Choline
H3-4;H4C12;Choline
H3-4;H4C5;Choline
H3-4;H4C9;Choline
H3-4;H4C14;Choline
H3-4;H4-16;Choline
H3-4;H4C2;Choline
H3-4;H4C4;Choline
H3-4;H4C13;Choline
H3-4;H2BC11;Choline
H3-4;MLLT3;Choline
H3-3A;H3C7;Choline
H3-3A;H3C8;Choline
H3-3A;H3C11;Choline
H3-3A;H3C10;Choline
H3-3A;H3C6;Choline
H3-3A;H3C4;Choline
H3-3A;H3C3;Choline
H3-3A;H3C2;Choline
H3-3A;H3C1;Choline
H3-3A;H3C15;Choline
H3-3A;H3-2;Choline
H3-3A;H3C14;Choline
H3-3A;H2BC11;Choline
H3-3A;PPIE;Choline
H3-3A;MLLT3;Choline
H3-3A;KMT2A;Choline
H3-3A;H2AC16;Choline
H3-3A;H2AC15;Choline
H3-3A;H2AC4;Choline
H3-3A;H4C13;Choline
H3-3A;H4C2;Choline
H3-3A;H4C1;Choline
H3-3A;H4C12;Choline
H3-3A;H4C15;Choline
H3-3A;H4C9;Choline
H3-3A;H4C8;Choline
H3-3A;H4C4;Choline
H3-3A;H2BC21;Choline
H3-3A;H4-16;Choline
H3-3A;H4C5;Choline
H3-3A;H4C14;Choline
H3-3A;H4C3;Choline
RNF2;C17orf49;Choline
RNF2;TAF6;Choline
RNF2;KANSL1;Choline
RNF2;LAS1L;Choline
RNF2;INO80C;Choline
RNF2;TAF1;Choline
RNF2;PHF20;Choline
RNF2;CHD8;Choline
RNF2;TAF9;Choline
RNF2;RUVBL2;Choline
RNF2;TEX10;Choline
RNF2;KAT8;Choline
RNF2;KMT2A;Choline
RNF2;E2F6;Choline
H2BC21;H3C11;Choline
H2BC21;H3C15;Choline
H2BC21;H3C2;Choline
H2BC21;H3C8;Choline
H2BC21;H3C7;Choline
H2BC21;H3C1;Choline
H2BC21;H3C4;Choline
H2BC21;H3C14;Choline
H2BC21;H2AC16;Choline
H2BC21;H2AC15;Choline
H2BC21;H3C10;Choline
H2BC21;H4C9;Choline
H2BC21;H2AC4;Choline
H2BC21;H4C13;Choline
H2BC21;H4C2;Choline
H2BC21;H4C3;Choline
H2BC21;H4C12;Choline
H2BC21;H4C4;Choline
H2BC21;H4C1;Choline
H2BC21;H4-16;Choline
H2BC21;H4C15;Choline
H2BC21;H3C3;Choline
H2BC21;H3C6;Choline
H2BC21;H4C5;Choline
H2BC21;H4C14;Choline
H2BC21;H4C8;Choline
H2BC21;H2AC6;Choline
H3C14;TAF9;Choline
H3C14;TAF6;Choline
H3C14;TAF1;Choline
H3C14;PPIE;Choline
H3C14;PSIP1;Choline
H3C14;H2BC11;Choline
H3C14;H2BC3;Choline
H3C14;MLLT3;Choline
H3C14;UBC;Choline
H3C14;UBB;Choline
H3C14;KMT2A;Choline
H3C14;UBA52;Choline
H3C14;H2AC15;Choline
H3C14;H2AC6;Choline
H3C14;H2AC16;Choline
H3C14;H4C3;Choline
H3C14;H4C12;Choline
H3C14;H4C13;Choline
H3C14;H4C15;Choline
H3C14;H4C8;Choline
H3C14;H4C9;Choline
H3C14;H4-16;Choline
H3C14;H4C1;Choline
H3C14;H4C5;Choline
H3C14;DOT1L;Choline
H3C14;H4C4;Choline
H3C14;H4C2;Choline
H3C14;H2AC4;Choline
H3C14;H4C14;Choline
H3C10;RUVBL2;Choline
H3C10;PPIE;Choline
H3C10;H2BC3;Choline
H3C10;KMT2A;Choline
H3C10;MLLT3;Choline
H3C10;DOT1L;Choline
H3C10;UBC;Choline
H3C10;UBA52;Choline
H3C10;UBB;Choline
H3C10;H2AC4;Choline
H3C10;H2BC11;Choline
H3C10;H4C3;Choline
H3C10;H4C15;Choline
H3C10;H4C13;Choline
H3C10;H4C12;Choline
H3C10;H4-16;Choline
H3C10;H4C1;Choline
H3C10;H4C9;Choline
H3C10;H2AC6;Choline
H3C10;H4C2;Choline
H3C10;H4C4;Choline
H3C10;H4C5;Choline
H3C10;H4C14;Choline
H3C10;H4C8;Choline
PPIE;H3C6;Choline
PPIE;H3C3;Choline
PPIE;H3C1;Choline
PPIE;H3C4;Choline
PPIE;H3C2;Choline
PPIE;H3C7;Choline
PPIE;H3C11;Choline
PPIE;H3C15;Choline
PPIE;H3C8;Choline
PPIE;H3-2;Choline
PPIE;KMT2A;Choline
CDK9;MLLT3;Choline
HDAC1;SIN3A;Choline
PHF20;C17orf49;Choline
PHF20;TAF9;Choline
PHF20;INO80C;Choline
PHF20;TAF6;Choline
PHF20;RUVBL2;Choline
PHF20;TEX10;Choline
PHF20;LAS1L;Choline
PHF20;E2F6;Choline
PHF20;TAF1;Choline
PHF20;CHD8;Choline
PHF20;KMT2A;Choline
PHF20;KAT8;Choline
PHF20;KANSL1;Choline
LAS1L;E2F6;Choline
LAS1L;C17orf49;Choline
LAS1L;KANSL1;Choline
LAS1L;INO80C;Choline
LAS1L;KAT8;Choline
LAS1L;TAF9;Choline
LAS1L;RUVBL2;Choline
LAS1L;TAF6;Choline
LAS1L;KMT2A;Choline
LAS1L;CHD8;Choline
LAS1L;TAF1;Choline
LAS1L;TEX10;Choline
TEX10;KANSL1;Choline
TEX10;TAF6;Choline
TEX10;C17orf49;Choline
TEX10;KAT8;Choline
TEX10;TAF1;Choline
TEX10;TAF9;Choline
TEX10;INO80C;Choline
TEX10;KMT2A;Choline
TEX10;E2F6;Choline
TEX10;CHD8;Choline
TEX10;RUVBL2;Choline
H4C2;TAF6;Choline
H4C2;TAF9;Choline
H4C2;PSIP1;Choline
H4C2;TAF1;Choline
H4C2;KMT2A;Choline
H4C2;UBC;Choline
H4C2;UBB;Choline
H4C2;UBA52;Choline
H4C2;RUVBL2;Choline
H4C2;MLLT3;Choline
H4C2;DOT1L;Choline
H4C2;H4C12;Choline
H4C2;H2AC16;Choline
H4C2;H4C15;Choline
H4C2;H3C15;Choline
H4C2;H4-16;Choline
H4C2;H2BC3;Choline
H4C2;H2AC6;Choline
H4C2;H4C14;Choline
H4C2;H4C8;Choline
H4C2;H2AC15;Choline
H4C2;H4C1;Choline
H4C2;H2BC11;Choline
H4C2;H4C9;Choline
H4C2;H3C6;Choline
H4C2;H4C3;Choline
H4C2;H4C4;Choline
H4C2;H3C8;Choline
H4C2;H3C4;Choline
H4C2;H3C3;Choline
H4C2;H4C5;Choline
H4C2;H3C7;Choline
H4C2;H3C2;Choline
H4C2;H3C11;Choline
H4C2;H4C13;Choline
H4C2;H3C1;Choline
H4C2;H2AC4;Choline
H3C4;RUVBL2;Choline
H3C4;KMT2A;Choline
H3C4;MLLT3;Choline
H3C4;DOT1L;Choline
H3C4;UBB;Choline
H3C4;UBC;Choline
H3C4;UBA52;Choline
H3C4;H2BC3;Choline
H3C4;H2BC11;Choline
H3C4;H2AC6;Choline
H3C4;H2AC4;Choline
H3C4;H4-16;Choline
H3C4;H4C15;Choline
H3C4;H4C3;Choline
H3C4;H4C12;Choline
H3C4;H4C1;Choline
H3C4;H4C13;Choline
H3C4;H4C9;Choline
H3C4;H4C14;Choline
H3C4;H4C5;Choline
H3C4;H4C8;Choline
H3C4;H4C4;Choline
H2AC6;PSIP1;Choline
H2AC6;H2AC4;Choline
H2AC6;H2AC16;Choline
H2AC6;DOT1L;Choline
H2AC6;H2AC15;Choline
H2AC6;H3C6;Choline
H2AC6;H3C11;Choline
H2AC6;H3C1;Choline
H2AC6;H3C8;Choline
H2AC6;H3C3;Choline
H2AC6;H3C2;Choline
H2AC6;H3C7;Choline
H2AC6;H3C15;Choline
H2AC6;KMT2A;Choline
H2AC6;UBC;Choline
H2AC6;UBB;Choline
H2AC6;UBA52;Choline
H2AC6;H4C12;Choline
H2AC6;H4-16;Choline
H2AC6;H4C3;Choline
H2AC6;H4C13;Choline
H2AC6;H4C1;Choline
H2AC6;H4C4;Choline
H2AC6;H4C9;Choline
H2AC6;H4C15;Choline
H2AC6;H4C5;Choline
H2AC6;H4C14;Choline
H2AC6;H2BC3;Choline
H2AC6;H2BC11;Choline
H2AC6;H4C8;Choline
H4C3;TAF6;Choline
H4C3;TAF9;Choline
H4C3;PSIP1;Choline
H4C3;TAF1;Choline
H4C3;KMT2A;Choline
H4C3;RUVBL2;Choline
H4C3;UBC;Choline
H4C3;UBB;Choline
H4C3;UBA52;Choline
H4C3;MLLT3;Choline
H4C3;DOT1L;Choline
H4C3;H2BC3;Choline
H4C3;H4C12;Choline
H4C3;H4C14;Choline
H4C3;H4C15;Choline
H4C3;H4C9;Choline
H4C3;H4C8;Choline
H4C3;H4-16;Choline
H4C3;H4C4;Choline
H4C3;H4C1;Choline
H4C3;H4C5;Choline
H4C3;H2AC15;Choline
H4C3;H3C15;Choline
H4C3;H4C13;Choline
H4C3;H2AC16;Choline
H4C3;H2BC11;Choline
H4C3;H3C6;Choline
H4C3;H3C3;Choline
H4C3;H3C1;Choline
H4C3;H3C8;Choline
H4C3;H3C11;Choline
H4C3;H3C7;Choline
H4C3;H3C2;Choline
H4C3;H2AC4;Choline
KDM6A;H3C1;Choline
MLLT3;H4-16;Choline
MLLT3;H4C9;Choline
MLLT3;H4C8;Choline
MLLT3;H4C5;Choline
MLLT3;H4C1;Choline
MLLT3;H4C13;Choline
MLLT3;H4C12;Choline
MLLT3;H4C4;Choline
MLLT3;H4C15;Choline
MLLT3;H4C14;Choline
MLLT3;H3C15;Choline
MLLT3;H3C2;Choline
MLLT3;H3C7;Choline
MLLT3;H3C11;Choline
MLLT3;H3C8;Choline
MLLT3;H3C3;Choline
MLLT3;H3C6;Choline
MLLT3;H3C1;Choline
MLLT3;H3-2;Choline
MLLT3;DOT1L;Choline
MLLT3;AFF1;Choline
PSIP1;H4C14;Choline
PSIP1;H4C15;Choline
PSIP1;H4C4;Choline
PSIP1;H4C12;Choline
PSIP1;H4C1;Choline
PSIP1;H4C5;Choline
PSIP1;H4C8;Choline
PSIP1;H4C9;Choline
PSIP1;H4-16;Choline
PSIP1;H4C13;Choline
PSIP1;H2AC4;Choline
PSIP1;H2BC11;Choline
PSIP1;H2AC16;Choline
PSIP1;H2AC15;Choline
PSIP1;H3C15;Choline
TAF9;H4C15;Choline
TAF9;H4C4;Choline
TAF9;H4C14;Choline
TAF9;H4C1;Choline
TAF9;H4C13;Choline
TAF9;H4C12;Choline
TAF9;H4C8;Choline
TAF9;H4C5;Choline
TAF9;H4-16;Choline
TAF9;H4C9;Choline
TAF9;H3C15;Choline
TAF9;H2BC11;Choline
TAF9;C17orf49;Choline
TAF9;KANSL1;Choline
TAF9;INO80C;Choline
TAF9;E2F6;Choline
TAF9;KAT8;Choline
TAF9;CHD8;Choline
TAF9;RUVBL2;Choline
TAF9;KMT2A;Choline
TAF9;TAF1;Choline
TAF9;TAF6;Choline
E2F6;KANSL1;Choline
E2F6;INO80C;Choline
E2F6;C17orf49;Choline
E2F6;KAT8;Choline
E2F6;CHD8;Choline
E2F6;TAF6;Choline
E2F6;RUVBL2;Choline
E2F6;KMT2A;Choline
E2F6;TAF1;Choline
DOT1L;H2AC15;Choline
DOT1L;H2AC4;Choline
DOT1L;H2AC16;Choline
DOT1L;H3C8;Choline
DOT1L;H3C11;Choline
DOT1L;H3C15;Choline
DOT1L;H3C2;Choline
DOT1L;H3C7;Choline
DOT1L;H4C5;Choline
DOT1L;H4C8;Choline
DOT1L;H4C9;Choline
DOT1L;H4-16;Choline
DOT1L;H4C14;Choline
DOT1L;H4C15;Choline
DOT1L;H4C4;Choline
DOT1L;H4C13;Choline
DOT1L;H4C12;Choline
DOT1L;H4C1;Choline
DOT1L;UBA52;Choline
DOT1L;UBB;Choline
DOT1L;UBC;Choline
DOT1L;H3C6;Choline
DOT1L;H3C3;Choline
DOT1L;H2BC11;Choline
DOT1L;MLLT6;Choline
H3C15;TAF6;Choline
H3C15;TAF1;Choline
H3C15;H2BC3;Choline
H3C15;H2BC11;Choline
H3C15;KMT2A;Choline
H3C15;UBB;Choline
H3C15;UBC;Choline
H3C15;H2AC15;Choline
H3C15;H2AC16;Choline
H3C15;UBA52;Choline
H3C15;H4C12;Choline
H3C15;H4C9;Choline
H3C15;H4C13;Choline
H3C15;H4-16;Choline
H3C15;H4C5;Choline
H3C15;H4C8;Choline
H3C15;H4C15;Choline
H3C15;H4C1;Choline
H3C15;H4C4;Choline
H3C15;H4C14;Choline
H3C15;H2AC4;Choline
KANSL1;TAF6;Choline
KANSL1;RUVBL2;Choline
KANSL1;INO80C;Choline
KANSL1;C17orf49;Choline
KANSL1;TAF1;Choline
KANSL1;CHD8;Choline
KANSL1;KMT2A;Choline
KANSL1;KAT8;Choline
CREB1;KMT2A;Choline
UBA52;SETD1B;Choline
UBA52;KMT2A;Choline
UBA52;H4C8;Choline
UBA52;H4C5;Choline
UBA52;H4-16;Choline
UBA52;H4C9;Choline
UBA52;H4C15;Choline
UBA52;H4C4;Choline
UBA52;H4C14;Choline
UBA52;H4C1;Choline
UBA52;H4C13;Choline
UBA52;H4C12;Choline
UBA52;H2AC15;Choline
UBA52;H2AC16;Choline
UBA52;H2AC4;Choline
UBA52;H3C6;Choline
UBA52;H3C3;Choline
UBA52;H3C1;Choline
UBA52;H3C2;Choline
UBA52;H3C8;Choline
