Prot_A;Prot_B;Condition
COPS8;THEMIS;cell_growth
COPS8;TESPA1;cell_growth
COPS8;GRB2;cell_growth
COPS8;COPS7A;cell_growth
COPS8;GPS1;cell_growth
COPS8;COPS5;cell_growth
COPS8;COPS7B;cell_growth
COPS8;COPS4;cell_growth
PIP4K2C;PIP5KL1;cell_growth
PIP4K2C;PIK3R1;cell_growth
PIP4K2C;SYNJ1;cell_growth
PIP4K2C;PTEN;cell_growth
PIP4K2C;PIK3CB;cell_growth
PIP4K2C;OCRL;cell_growth
PIP4K2C;PIK3CG;cell_growth
COPS5;LAT;cell_growth
COPS5;THEMIS;cell_growth
COPS5;TESPA1;cell_growth
COPS5;GRB2;cell_growth
COPS5;COPS7A;cell_growth
COPS5;GPS1;cell_growth
COPS5;COPS7B;cell_growth
COPS5;COPS4;cell_growth
PIK3C2B;INPP5F;cell_growth
PIK3C2B;PIP5KL1;cell_growth
PIK3C2B;SYNJ1;cell_growth
PIK3C2B;PIP5K1A;cell_growth
PIK3C2B;PIP5K1C;cell_growth
PIK3C2B;OCRL;cell_growth
PLA2G4A;PLCG2;cell_growth
INPP5A;PLCD4;cell_growth
INPP5A;PLCG2;cell_growth
INPP5A;PLCB3;cell_growth
INPP5A;PLCB4;cell_growth
PIP5K1A;INPP5F;cell_growth
PIP5K1A;PIK3R1;cell_growth
PIP5K1A;PTEN;cell_growth
PIP5K1A;PIK3CG;cell_growth
PIP5K1A;SYNJ1;cell_growth
PIP5K1A;PIK3CB;cell_growth
PIP5K1A;PIP5KL1;cell_growth
MTM1;PLCD4;cell_growth
MTM1;PLCE1;cell_growth
MTM1;PLCB3;cell_growth
MTM1;INPP5F;cell_growth
MTM1;PLCG2;cell_growth
MTM1;PLCB4;cell_growth
OCRL;PIP5KL1;cell_growth
OCRL;INPP5F;cell_growth
OCRL;PTEN;cell_growth
OCRL;SYNJ1;cell_growth
OCRL;PIP4K2A;cell_growth
PLCE1;INPP5F;cell_growth
PLCE1;PRKCB;cell_growth
PLCE1;PTEN;cell_growth
PLCE1;ITPR2;cell_growth
PLCE1;ITPR3;cell_growth
PTEN;PLCD4;cell_growth
PTEN;INPP5F;cell_growth
PTEN;PIP5KL1;cell_growth
PTEN;PIP5K1C;cell_growth
PTEN;SYNJ1;cell_growth
PTEN;PIP4K2A;cell_growth
MINPP1;PLCG2;cell_growth
MINPP1;PLCD4;cell_growth
MINPP1;PLCB3;cell_growth
MINPP1;PLCB4;cell_growth
IPMK;PLCB4;cell_growth
IPMK;PLCB3;cell_growth
IPMK;PLCG2;cell_growth
IPMK;PLCD4;cell_growth
ITPR3;PLCD4;cell_growth
ITPR3;PRKCB;cell_growth
ITPR3;PRKCA;cell_growth
ITPR3;PLCB4;cell_growth
ITPR3;ITPR2;cell_growth
ITPR3;PLCB3;cell_growth
PIP4K2A;PIK3R1;cell_growth
PIP4K2A;PIK3CB;cell_growth
PIP4K2A;PIP5KL1;cell_growth
PIP4K2A;PIK3CG;cell_growth
PIP4K2A;SYNJ1;cell_growth
PLCB4;INPP5F;cell_growth
PLCB4;PRKCB;cell_growth
PLCB4;CAMK2B;cell_growth
PLCB4;CAMK2A;cell_growth
PLCB4;ITPR2;cell_growth
TRPC3;PRKCB;cell_growth
TRPC3;PRKCA;cell_growth
ITPR2;PLCD4;cell_growth
ITPR2;PRKCA;cell_growth
ITPR2;PLCB3;cell_growth
ITPR2;CALML4;cell_growth
TEC;ITK;cell_growth
PIP5KL1;INPP5F;cell_growth
PIP5KL1;SYNJ1;cell_growth
PIP5KL1;PIK3CG;cell_growth
PIP5KL1;PIK3CB;cell_growth
PIP5KL1;PIP5K1C;cell_growth
ALK;PIK3CB;cell_growth
SH2D2A;PLCG2;cell_growth
GPS1;THEMIS;cell_growth
GPS1;LAT;cell_growth
GPS1;TESPA1;cell_growth
GPS1;GRB2;cell_growth
GPS1;COPS4;cell_growth
GPS1;COPS7B;cell_growth
GPS1;COPS7A;cell_growth
GRB2;COPS7A;cell_growth
GRB2;COPS7B;cell_growth
GRB2;COPS4;cell_growth
GRB2;TESPA1;cell_growth
GRB2;THEMIS;cell_growth
LAT;COPS7A;cell_growth
LAT;COPS7B;cell_growth
LAT;COPS4;cell_growth
LAT;TESPA1;cell_growth
LAT;THEMIS;cell_growth
CAMK2B;PLCG2;cell_growth
CAMK2B;PLCB3;cell_growth
PLA2G4E;PLCG2;cell_growth
COPS7B;THEMIS;cell_growth
COPS7B;TESPA1;cell_growth
COPS7B;COPS7A;cell_growth
COPS7B;COPS4;cell_growth
PLCD4;INPP5F;cell_growth
PLCD4;PRKCA;cell_growth
PLCD4;PRKCB;cell_growth
PRKD1;PRKCB;cell_growth
PRKD1;PRKCA;cell_growth
PTPN6;BTK;cell_growth
PLA2G4B;PLCG2;cell_growth
TESPA1;THEMIS;cell_growth
TESPA1;COPS7A;cell_growth
TESPA1;COPS4;cell_growth
SYNJ1;INPP5F;cell_growth
SYNJ1;PIP5K1C;cell_growth
PIK3CG;PIP5K1C;cell_growth
COPS4;THEMIS;cell_growth
COPS4;COPS7A;cell_growth
PIK3R1;INPP5F;cell_growth
PIK3R1;PIP5K1C;cell_growth
PLCB3;INPP5F;cell_growth
PLCB3;PRKCB;cell_growth
PLCB3;CAMK2A;cell_growth
COPS7A;THEMIS;cell_growth
PIP5K1C;INPP5F;cell_growth
PIP5K1C;PIK3CB;cell_growth
PLA2G4C;PLCG2;cell_growth
PLCG2;INPP5F;cell_growth
PLCG2;CAMK2A;cell_growth
BTK;PIK3CB;cell_growth
THEMIS;PTPN11;cell_growth
IL2RB;IL15RA;cell_growth
EPOR;JAK3;cell_growth
RARA;NCOR2;cell_growth
NOX4;STAT5A;cell_growth
NOX4;STAT5B;cell_growth
BCL2A1;NPM1;cell_growth
STAT5B;BRWD1;cell_growth
STAT5B;PIM1;cell_growth
IL15;IL15RA;cell_growth
RUNX1;SOCS4;cell_growth
RUNX1;IL2RA;cell_growth
BRWD1;STAT5A;cell_growth
BRWD1;SMARCA4;cell_growth
TSLP;CRLF2;cell_growth
IL2RG;IL15RA;cell_growth
AMH;BMPR1A;cell_growth
AMH;ACVR1;cell_growth
AMH;AMHR2;cell_growth
ACVR2A;BMP8A;cell_growth
ACVR2A;BMP6;cell_growth
BMP4;BMPR1A;cell_growth
BMP4;BMPR1B;cell_growth
BMP6;ACVR2B;cell_growth
BMP6;BMPR1A;cell_growth
BMP6;ACVR1;cell_growth
BMP6;BMPR1B;cell_growth
BMP6;BMPR2;cell_growth
INHBB;BMPR1B;cell_growth
INHBB;ACVR1;cell_growth
BMP8A;BMPR1A;cell_growth
BMP8A;ACVR2B;cell_growth
BMP8A;ACVR1;cell_growth
BMP8A;BMPR1B;cell_growth
BMP8A;BMPR2;cell_growth
LIMK1;BMPR1B;cell_growth
LIMK1;BMPR2;cell_growth
BAMBI;BMPR1B;cell_growth
FKBP1A;BMPR1B;cell_growth
RALA;RAC3;cell_growth
RALA;MAPK9;cell_growth
RALA;RALB;cell_growth
RALA;RALGDS;cell_growth
GNA11;AGTR1;cell_growth
NTN1;UNC5D;cell_growth
NTN1;UNC5A;cell_growth
EFNB1;EPHB1;cell_growth
EFNB1;EPHB2;cell_growth
MAPK13;PGR;cell_growth
MAPK13;MAP2K2;cell_growth
MAPK13;MAP2K1;cell_growth
MAPK12;PGR;cell_growth
MAPK12;MAP2K2;cell_growth
MAPK12;MAP2K1;cell_growth
MAPK1;GNAI1;cell_growth
MAPK1;GNAI2;cell_growth
MAPK1;GNAI3;cell_growth
MAPK1;GJA1;cell_growth
MAPK1;MBP;cell_growth
MAPK1;MAP2K2;cell_growth
NFKBIA;UBB;cell_growth
PIK3R2;GNAI3;cell_growth
PIK3R2;GNAI2;cell_growth
PIK3R2;GNAI1;cell_growth
PIK3R2;ITGA2;cell_growth
NFKB1;RAC3;cell_growth
MAPK14;MBP;cell_growth
MAPK14;MAP2K2;cell_growth
MAPK14;MAP2K1;cell_growth
VASP;EVL;cell_growth
VASP;APBB1IP;cell_growth
RAC2;RALB;cell_growth
RAC2;RALGDS;cell_growth
RAC2;PRKCD;cell_growth
RAC2;ELMO1;cell_growth
TNS4;ITGB1;cell_growth
NR0B2;PPARG;cell_growth
KRAS;GNAI1;cell_growth
KRAS;GNAI3;cell_growth
KRAS;GNAI2;cell_growth
KRAS;MAP2K2;cell_growth
CYBA;RAC3;cell_growth
CYBA;PRKCD;cell_growth
CREBBP;KHDRBS1;cell_growth
MAP2K2;MAPK8;cell_growth
MAP2K2;MAPK9;cell_growth
MAP2K2;PRKCD;cell_growth
MAP2K2;GSK3B;cell_growth
MAP2K2;YWHAB;cell_growth
MAP2K2;MAPK11;cell_growth
MAP2K2;PPP2CA;cell_growth
MAP2K2;NRAS;cell_growth
MAP2K2;HRAS;cell_growth
MAP2K2;MAPK3;cell_growth
MAP2K2;ARAF;cell_growth
MAP2K2;MAP2K1;cell_growth
MAP2K2;RAF1;cell_growth
MAP2K2;BRAF;cell_growth
MAPK3;GNAI3;cell_growth
MAPK3;GNAI2;cell_growth
MAPK3;GNAI1;cell_growth
EP300;PRMT1;cell_growth
STRN;ESR2;cell_growth
STRN;SRC;cell_growth
STRN;ESR1;cell_growth
CBL;UBB;cell_growth
RALB;SRC;cell_growth
RALB;RAC3;cell_growth
RALB;MAPK9;cell_growth
RALB;RHOA;cell_growth
RALB;MAPK8;cell_growth
RALB;RALGDS;cell_growth
RASA1;EPHB1;cell_growth
GNA12;PTK2B;cell_growth
AIP;HSP90AB1;cell_growth
APP;GNAI2;cell_growth
APPL1;ADIPOR1;cell_growth
NCF1;RAC3;cell_growth
NCF1;PRKCD;cell_growth
NCF1;PRKCA;cell_growth
FCER1G;FYN;cell_growth
FCER1G;LYN;cell_growth
ARAF;HSP90AB1;cell_growth
ARAF;PRKCA;cell_growth
ARAF;ARRB1;cell_growth
ARAF;GSK3B;cell_growth
ARAF;ARRB2;cell_growth
ARAF;YWHAB;cell_growth
CAPN2;TLN2;cell_growth
CAPN2;TLN1;cell_growth
ITGA2;PTPN6;cell_growth
ITGA2;PIK3R1;cell_growth
ITGA2;PIK3CB;cell_growth
RUNX1;OCLN;cell_growth
RUNX1;PRMT1;cell_growth
CRK;ELMO1;cell_growth
MAP2K1;PRKCD;cell_growth
MAP2K1;YWHAB;cell_growth
MAP2K1;GSK3B;cell_growth
MAP2K1;MAPK11;cell_growth
PTGER4;GNAI1;cell_growth
PTGER4;GNAI2;cell_growth
PTGER4;GNAI3;cell_growth
PTGER4;GNAS;cell_growth
RAC3;PTK2B;cell_growth
RAC3;RALGDS;cell_growth
RAC3;ELMO1;cell_growth
IRS1;MAPK9;cell_growth
ADRB2;GNAS;cell_growth
MMP14;GNAI3;cell_growth
MMP14;GNAI1;cell_growth
MMP14;GNAI2;cell_growth
ELMO1;LYN;cell_growth
ELMO1;SRC;cell_growth
ELMO1;BCAR1;cell_growth
ELMO1;HCK;cell_growth
ELMO1;DOCK2;cell_growth
GNAI2;PIK3R6;cell_growth
GNAI2;PIK3CB;cell_growth
GNAI2;PIK3CG;cell_growth
GNAI2;PIK3R1;cell_growth
GNAI2;HCK;cell_growth
GNAI2;IGF1R;cell_growth
GNAI2;LYN;cell_growth
GNAI2;PIK3R5;cell_growth
GNAI2;NRAS;cell_growth
KHDRBS1;HCK;cell_growth
KHDRBS1;PRMT1;cell_growth
F2R;GNAS;cell_growth
F2R;AGT;cell_growth
F2R;ARRB2;cell_growth
F2R;ARRB1;cell_growth
ZYX;EVL;cell_growth
PGR;MAPK9;cell_growth
PGR;MAPK11;cell_growth
CARM1;PRMT1;cell_growth
GP1BA;LYN;cell_growth
PRKCD;TRPV4;cell_growth
PRKCD;RAF1;cell_growth
PRKCD;CYBB;cell_growth
UNC5A;PTPN11;cell_growth
UNC5A;PTK2;cell_growth
UNC5A;SRC;cell_growth
PTK2;UNC5D;cell_growth
CAV3;DAG1;cell_growth
ESR2;PRMT1;cell_growth
OCLN;PPP2CA;cell_growth
AGT;AGTR1;cell_growth
NRAS;GNAI1;cell_growth
NRAS;GNAI3;cell_growth
NRAS;SYK;cell_growth
NRAS;ALK;cell_growth
GNAI3;PIK3R6;cell_growth
GNAI3;HCK;cell_growth
GNAI3;IGF1R;cell_growth
GNAI3;PIK3R1;cell_growth
GNAI3;PIK3CG;cell_growth
GNAI3;LYN;cell_growth
GNAI3;PIK3CB;cell_growth
GNAI3;PIK3R5;cell_growth
GNAS;CALCRL;cell_growth
PTEN;INPP5D;cell_growth
YWHAB;MAP3K2;cell_growth
YWHAB;ESR1;cell_growth
YWHAB;BRAF;cell_growth
YWHAB;RAF1;cell_growth
SRC;UNC5D;cell_growth
SRC;MAP3K2;cell_growth
SRC;FUNDC1;cell_growth
SRC;TRPV1;cell_growth
GSN;EPS8;cell_growth
HCK;GNAI1;cell_growth
HCK;PIK3R6;cell_growth
HCK;PIK3R5;cell_growth
HCK;DOCK2;cell_growth
IRS2;MAPK9;cell_growth
APBB1IP;EVL;cell_growth
APBB1IP;TLN2;cell_growth
PTPRA;GRB2;cell_growth
TRAF3;TRAF6;cell_growth
EVL;ACTB;cell_growth
SH3KBP1;ASAP1;cell_growth
SH3KBP1;UBB;cell_growth
EPHB1;EFNB2;cell_growth
EPHB2;EFNB2;cell_growth
UNC5D;PTPN11;cell_growth
PIK3R5;ITK;cell_growth
PIK3R5;GNAI1;cell_growth
ITK;PIK3R6;cell_growth
ESR1;PRMT1;cell_growth
INPP5D;PIK3CB;cell_growth
INPP5D;PECAM1;cell_growth
TRPV4;PRKCA;cell_growth
PRKCA;PPP2CA;cell_growth
PRKCA;BRAF;cell_growth
PIK3CG;GNAI1;cell_growth
PIK3R1;GNAI1;cell_growth
LYN;GNAI1;cell_growth
UBB;IKBKG;cell_growth
PIK3R6;GNAI1;cell_growth
IGF1R;GNAI1;cell_growth
GNAI1;PIK3CB;cell_growth
XRN1;ZFP36;cell_growth
XRN1;DCP1A;cell_growth
CNOT1;ZFP36;cell_growth
TNPO1;MAPKAPK2;cell_growth
TNPO1;ZFP36;cell_growth
MAPKAPK2;ZFP36;cell_growth
EXOSC8;ZFP36;cell_growth
TNFRSF1A;BAG4;cell_growth
STUB1;HSPA1L;cell_growth
STUB1;BAG1;cell_growth
BAG4;DCP1A;cell_growth
HSPA4;BAG1;cell_growth
HSPA1B;BAG1;cell_growth
HSPA8;BAG1;cell_growth
ZFP36L2;ZFP36L1;cell_growth
ZFP36L2;MAPKAPK2;cell_growth
ZFP36L1;YWHAB;cell_growth
ZDHHC9;GOLGA7;cell_growth
BCAR3;NEDD9;cell_growth
BCAR3;BCAR1;cell_growth
ELMO2;BCAR1;cell_growth
ELMO2;ELMO1;cell_growth
ELMO2;CRK;cell_growth
NPHP1;NPHP4;cell_growth
PTK2;TGFB1I1;cell_growth
CD2AP;SH3KBP1;cell_growth
TGFB1I1;PTK2B;cell_growth
ESPNL;ESPN;cell_growth
ESPNL;EPS8L2;cell_growth
CAPZB;TWF1;cell_growth
EPS8L2;ESPN;cell_growth
FER;YES1;cell_growth
FER;CTNNB1;cell_growth
FER;CTNND1;cell_growth
BMP4;GATA4;cell_growth
SOX9;PTGDS;cell_growth
SOX9;SRY;cell_growth
SOX9;DHH;cell_growth
SOX9;FGF9;cell_growth
SOX9;PRKACA;cell_growth
SOX9;PRKACB;cell_growth
SOX9;DMRT1;cell_growth
SOX9;GATA4;cell_growth
SOX9;NR5A1;cell_growth
LGR5;RSPO1;cell_growth
PRKACA;NR5A1;cell_growth
PRKACB;NR5A1;cell_growth
NR5A1;GATA4;cell_growth
NR5A1;WT1;cell_growth
NR5A1;SRY;cell_growth
NR5A1;NR0B1;cell_growth
PTF1A;HNF1B;cell_growth
DMRT1;GATA4;cell_growth
XBP1;GOSR2;cell_growth
XBP1;CTDSP2;cell_growth
XBP1;SULT1A3;cell_growth
XBP1;KLHDC3;cell_growth
XBP1;EXTL3;cell_growth
XBP1;DDX11;cell_growth
XBP1;ATP6V0D1;cell_growth
XBP1;CXXC1;cell_growth
XBP1;PLA2G4B;cell_growth
XBP1;TSPYL2;cell_growth
XBP1;TPP1;cell_growth
XBP1;YIF1A;cell_growth
XBP1;DCTN1;cell_growth
XBP1;ACADVL;cell_growth
XBP1;PREB;cell_growth
XBP1;SEC31A;cell_growth
XBP1;SRPRB;cell_growth
XBP1;KDELR3;cell_growth
XBP1;LMNA;cell_growth
XBP1;WIPI1;cell_growth
XBP1;SERP1;cell_growth
XBP1;GFPT1;cell_growth
XBP1;SYVN1;cell_growth
XBP1;WFS1;cell_growth
XBP1;PDIA6;cell_growth
XBP1;TBPL1;cell_growth
XBP1;TBPL2;cell_growth
XBP1;HYOU1;cell_growth
XBP1;TBP;cell_growth
XBP1;DNAJC3;cell_growth
XBP1;DNAJB9;cell_growth
XBP1;EDEM1;cell_growth
RPL18A;SRPRB;cell_growth
RPL19;SRPRB;cell_growth
WFS1;ATF6B;cell_growth
WFS1;ATF6;cell_growth
EIF2AK2;DNAJC3;cell_growth
EIF2AK2;EIF2S1;cell_growth
EIF2S1;ATF4;cell_growth
EIF2S1;EIF2AK3;cell_growth
RPL35;SRPRB;cell_growth
RPL8;SRPRB;cell_growth
SRP14;SRPRB;cell_growth
RPL37;SRPRB;cell_growth
RPL29;SRPRB;cell_growth
HSP90B1;ATF6;cell_growth
EIF2AK3;ATF4;cell_growth
RPL13;SRPRB;cell_growth
RPL15;SRPRB;cell_growth
RPL38;SRPRB;cell_growth
RPL4;SRPRB;cell_growth
SRP68;SRPRB;cell_growth
CALR;ATF6;cell_growth
HSPA5;MANF;cell_growth
ATF4;HERPUD1;cell_growth
ATF4;DDIT3;cell_growth
RPL7;SRPRB;cell_growth
RPL3;SRPRB;cell_growth
RPL27A;SRPRB;cell_growth
RPL21;SRPRB;cell_growth
RPL22;SRPRB;cell_growth
MAP3K5;ERN1;cell_growth
RPL39;SRPRB;cell_growth
ATF6;ATF6B;cell_growth
ATF6;MBTPS2;cell_growth
RPL5;SRPRB;cell_growth
RPL7A;SRPRB;cell_growth
ATF6B;DDIT3;cell_growth
SYVN1;ERN1;cell_growth
SYVN1;HERPUD1;cell_growth
SYVN1;DERL3;cell_growth
RPL13A;SRPRB;cell_growth
RPL24;SRPRB;cell_growth
RPL34;SRPRB;cell_growth
RPL14;SRPRB;cell_growth
RPL31;SRPRB;cell_growth
UBA52;SRPRB;cell_growth
RPL23A;SRPRB;cell_growth
RPL6;SRPRB;cell_growth
RPL36A;SRPRB;cell_growth
RPL10;SRPRB;cell_growth
RPL32;SRPRB;cell_growth
RPL37A;SRPRB;cell_growth
SRPRB;RPL11;cell_growth
SRPRB;RPL9;cell_growth
SRPRB;RPL17;cell_growth
SRPRB;RPL30;cell_growth
SRPRB;RPL35A;cell_growth
SRPRB;RPL28;cell_growth
SRPRB;RPL27;cell_growth
SRPRB;RPL26;cell_growth
SRPRB;RPL18;cell_growth
SRPRB;RPL23;cell_growth
SRPRB;RPL36;cell_growth
SRPRB;SRP19;cell_growth
SRPRB;SRP54;cell_growth
CLIC5;CLIC4;cell_growth
VASP;PRKACB;cell_growth
VASP;PRKACA;cell_growth
PRKCG;SLC9A1;cell_growth
PRKCG;EZR;cell_growth
SLC9A1;PRKCB;cell_growth
SLC9A1;PRKCA;cell_growth
SLC9A1;PRKACB;cell_growth
SLC9A1;PRKACA;cell_growth
FADD;EZR;cell_growth
FADD;RHOA;cell_growth
PRKACA;ARHGDIA;cell_growth
EZR;PRKCB;cell_growth
PTK2;PRKACB;cell_growth
ANXA2;AHNAK;cell_growth
PRKACB;ARHGDIA;cell_growth
GSN;EPS8L2;cell_growth
CLIC4;TPRN;cell_growth
EPS8L2;EPS8;cell_growth
EPS8;ESPN;cell_growth
RBSN;EHD3;cell_growth
RBSN;EHD1;cell_growth
RBSN;RAB5A;cell_growth
RBSN;VPS45;cell_growth
RAB11FIP5;EHD1;cell_growth
RAB11FIP5;RAB11FIP2;cell_growth
RAB11FIP5;RAB11A;cell_growth
SNX1;VPS26A;cell_growth
RAB11A;RAB11FIP2;cell_growth
PACSIN2;PACSIN1;cell_growth
RAB5A;VPS45;cell_growth
RAB11FIP2;EHD1;cell_growth
RAB35;RUSC2;cell_growth
RAB35;DENND1A;cell_growth
CDK16;CCNYL1;cell_growth
CDK13;BCCIP;cell_growth
CDK13;MNAT1;cell_growth
CDK13;CDK7;cell_growth
CDK13;CDK9;cell_growth
CDK13;POLR2A;cell_growth
CDK13;CCNH;cell_growth
CDK13;CDK12;cell_growth
CDK13;CCNT2;cell_growth
CDK13;CCNT1;cell_growth
POLR2C;CCNH;cell_growth
POLR2C;SETD2;cell_growth
POLR2C;CDK7;cell_growth
POLR2C;CTDP1;cell_growth
POLR2C;CDC73;cell_growth
POLR2C;LEO1;cell_growth
POLR2C;MNAT1;cell_growth
POLR2C;ERCC3;cell_growth
POLR2C;CTR9;cell_growth
POLR2C;RTF1;cell_growth
POLR2C;SUPT4H1;cell_growth
POLR2C;SUPT5H;cell_growth
POLR2C;POLR2A;cell_growth
SUPT4H1;AFF4;cell_growth
SUPT4H1;CCNT2;cell_growth
SUPT4H1;CCNT1;cell_growth
SUPT4H1;CDK9;cell_growth
SUPT4H1;CTR9;cell_growth
SUPT4H1;CDC73;cell_growth
SUPT4H1;NELFE;cell_growth
SUPT4H1;LEO1;cell_growth
SUPT4H1;RTF1;cell_growth
SUPT4H1;SUPT5H;cell_growth
SUPT4H1;POLR2A;cell_growth
CDK7;CDK12;cell_growth
CDK7;BCCIP;cell_growth
CDK7;CCNT2;cell_growth
CDK7;POLR2A;cell_growth
CDK7;ERCC3;cell_growth
MNAT1;CDK12;cell_growth
MNAT1;BCCIP;cell_growth
MNAT1;CCNT2;cell_growth
MNAT1;CDK9;cell_growth
MNAT1;CCNT1;cell_growth
MNAT1;POLR2A;cell_growth
MNAT1;ERCC3;cell_growth
CCNT1;BCCIP;cell_growth
CCNT1;RTF1;cell_growth
CCNT1;CDK12;cell_growth
CCNT1;LEO1;cell_growth
CCNT1;CTR9;cell_growth
CCNT1;NELFE;cell_growth
CCNT1;CCNT2;cell_growth
CCNT1;SUPT5H;cell_growth
CCNT1;AFF4;cell_growth
CCNT2;BCCIP;cell_growth
CCNT2;ERCC3;cell_growth
CCNT2;CTR9;cell_growth
CCNT2;RTF1;cell_growth
CCNT2;CDC73;cell_growth
CCNT2;CDK12;cell_growth
CCNT2;NELFE;cell_growth
CCNT2;LEO1;cell_growth
CCNT2;CCNH;cell_growth
CCNT2;SUPT5H;cell_growth
CCNT2;AFF4;cell_growth
CCNT2;CDK9;cell_growth
AFF4;CTDP1;cell_growth
AFF4;RTF1;cell_growth
AFF4;LEO1;cell_growth
AFF4;NELFE;cell_growth
AFF4;CTR9;cell_growth
AFF4;SUPT5H;cell_growth
AFF4;CDC73;cell_growth
AFF4;CDK9;cell_growth
ERCC3;CCNH;cell_growth
LEO1;DDB1;cell_growth
LEO1;NELFE;cell_growth
LEO1;CDK9;cell_growth
LEO1;POLR2A;cell_growth
LEO1;RTF1;cell_growth
LEO1;CTR9;cell_growth
LEO1;SUPT5H;cell_growth
LEO1;CDC73;cell_growth
DDB1;CDC73;cell_growth
DDB1;CTR9;cell_growth
DDB1;POLR2A;cell_growth
CTR9;NELFE;cell_growth
CTR9;CDK9;cell_growth
CTR9;POLR2A;cell_growth
CTR9;SUPT5H;cell_growth
CTR9;CDC73;cell_growth
CTR9;RTF1;cell_growth
CDC73;NELFE;cell_growth
CDC73;RTF1;cell_growth
CDC73;SUPT5H;cell_growth
BCCIP;CDK12;cell_growth
BCCIP;CDK9;cell_growth
BCCIP;CCNH;cell_growth
CDK9;CDK12;cell_growth
CDK9;RTF1;cell_growth
CDK9;NELFE;cell_growth
CDK9;SUPT5H;cell_growth
NELFE;RTF1;cell_growth
NELFE;POLR2A;cell_growth
NELFE;SUPT5H;cell_growth
RTF1;POLR2A;cell_growth
RTF1;SUPT5H;cell_growth
SETD2;POLR2A;cell_growth
CDK12;CCNH;cell_growth
CDK12;POLR2A;cell_growth
POLR2A;CCNH;cell_growth
POLR2A;CTDP1;cell_growth
POLR2A;SUPT5H;cell_growth
POLR2C;MED23;cell_growth
POLR2C;NELFCD;cell_growth
POLR2C;MED28;cell_growth
POLR2C;NELFB;cell_growth
POLR2C;NELFA;cell_growth
POLR2C;GTF2H2;cell_growth
POLR2C;GTF2H4;cell_growth
POLR2C;PAF1;cell_growth
POLR2C;GTF2H3;cell_growth
POLR2C;ERCC6;cell_growth
POLR2C;MED26;cell_growth
POLR2C;ERCC2;cell_growth
POLR2C;TBP;cell_growth
POLR2C;GTF2H1;cell_growth
POLR2C;TCEA1;cell_growth
POLR2C;GTF2F1;cell_growth
POLR2C;GTF2B;cell_growth
PAF1;ELL2;cell_growth
PAF1;ICE2;cell_growth
PAF1;ICE1;cell_growth
PAF1;PEX2;cell_growth
PAF1;ELL3;cell_growth
PAF1;ELOB;cell_growth
PAF1;ELOC;cell_growth
PAF1;AFF4;cell_growth
PAF1;NELFCD;cell_growth
PAF1;NELFA;cell_growth
PAF1;NELFE;cell_growth
PAF1;NELFB;cell_growth
PAF1;AFF1;cell_growth
PAF1;ZC3H8;cell_growth
PAF1;ELL;cell_growth
PAF1;EAF2;cell_growth
PAF1;EAF1;cell_growth
PAF1;ELP4;cell_growth
PAF1;CCNT2;cell_growth
PAF1;ELOA;cell_growth
PAF1;MLLT3;cell_growth
PAF1;TCEA1;cell_growth
PAF1;CCNT1;cell_growth
PAF1;MLLT1;cell_growth
PAF1;CDK9;cell_growth
PAF1;ERCC6;cell_growth
PAF1;SUPT4H1;cell_growth
PAF1;POLR2A;cell_growth
PAF1;CDC73;cell_growth
PAF1;SUPT5H;cell_growth
PAF1;CTR9;cell_growth
PAF1;RTF1;cell_growth
PAF1;LEO1;cell_growth
CDC37;CDK9;cell_growth
SUPT4H1;ICE1;cell_growth
SUPT4H1;ZC3H8;cell_growth
SUPT4H1;PEX2;cell_growth
SUPT4H1;ICE2;cell_growth
SUPT4H1;ELP4;cell_growth
SUPT4H1;ELOC;cell_growth
SUPT4H1;ELOB;cell_growth
SUPT4H1;ELOA;cell_growth
SUPT4H1;AFF1;cell_growth
SUPT4H1;MLLT3;cell_growth
SUPT4H1;EAF2;cell_growth
SUPT4H1;MLLT1;cell_growth
SUPT4H1;ELL3;cell_growth
SUPT4H1;EAF1;cell_growth
SUPT4H1;ELL;cell_growth
SUPT4H1;ELL2;cell_growth
SUPT4H1;ERCC6;cell_growth
SUPT4H1;NELFA;cell_growth
SUPT4H1;TCEA1;cell_growth
SUPT4H1;NELFCD;cell_growth
SUPT4H1;NELFB;cell_growth
TBP;MED28;cell_growth
TBP;MED23;cell_growth
TBP;CCNH;cell_growth
TBP;MNAT1;cell_growth
TBP;CDK7;cell_growth
TBP;MED26;cell_growth
TBP;GTF2H1;cell_growth
TBP;GTF2H2;cell_growth
TBP;ERCC2;cell_growth
TBP;TCEA1;cell_growth
TBP;GTF2H3;cell_growth
TBP;GTF2H4;cell_growth
TBP;GTF2F1;cell_growth
MED28;GTF2H4;cell_growth
MED28;GTF2H1;cell_growth
MED28;MNAT1;cell_growth
MED28;ERCC3;cell_growth
MED28;GTF2F1;cell_growth
MED28;GTF2H3;cell_growth
MED28;ERCC2;cell_growth
MED28;GTF2H2;cell_growth
MED28;CDK7;cell_growth
MED28;CCNH;cell_growth
MED28;GTF2B;cell_growth
MED28;CDK8;cell_growth
MED28;ZC3H13;cell_growth
MED28;CDK9;cell_growth
MED28;POLR2A;cell_growth
MED28;MED1;cell_growth
MED28;MED26;cell_growth
MED28;MED13;cell_growth
MED28;MED23;cell_growth
MED28;MED12;cell_growth
ELL2;ELP4;cell_growth
ELL2;PEX2;cell_growth
ELL2;ERCC6;cell_growth
