Prot_A;Prot_B;Condition
RPL19;RPS17;cell_growth
RPL19;RPL30;cell_growth
RPL19;RPS4X;cell_growth
RPL19;RPS7;cell_growth
RPL19;RPL4;cell_growth
RPL19;RPS5;cell_growth
RPL19;RPS28;cell_growth
RPL19;RPS19;cell_growth
RPL19;RPL23;cell_growth
RPL19;RPSA;cell_growth
RPL19;RPL35;cell_growth
RPL19;RACK1;cell_growth
RPL19;RPL15;cell_growth
RPL19;RPL5;cell_growth
RPL19;RPS16;cell_growth
RPL19;RPS12;cell_growth
RPL19;RPS18;cell_growth
RPL19;RPL34;cell_growth
RPL19;RPL11;cell_growth
RPL19;RPS24;cell_growth
RPL19;RPL9;cell_growth
RPL19;RPL18;cell_growth
RPL19;RPS21;cell_growth
RPL19;RPL7;cell_growth
RPL19;RPL13;cell_growth
RPL19;RPL36;cell_growth
RPL19;RPL6;cell_growth
RPL19;RPL7A;cell_growth
RPL19;RPL27A;cell_growth
RPL19;RPS10;cell_growth
RPL19;RPL36A;cell_growth
RPL19;FAU;cell_growth
RPL19;RPL27;cell_growth
RPL19;RPL22;cell_growth
RPL19;RPL29;cell_growth
RPL19;RPLP0;cell_growth
RPL19;RPL32;cell_growth
RPL19;RPS27A;cell_growth
RPL19;RPS13;cell_growth
RPL19;RPS3A;cell_growth
RPL19;RPS3;cell_growth
RPL19;RPL12;cell_growth
RPL19;RPS14;cell_growth
RPL19;RPS15A;cell_growth
RPL19;RPS9;cell_growth
RPL19;RPL39;cell_growth
RPL19;RPL13A;cell_growth
RPL19;RPL38;cell_growth
RPL19;RPS23;cell_growth
RPL19;RPS26;cell_growth
RPL19;RPL21;cell_growth
RPL19;RPL14;cell_growth
RPL19;RPS29;cell_growth
RPL19;RPS11;cell_growth
RPL19;RPS27;cell_growth
RPL19;RPL28;cell_growth
RPL19;RPL31;cell_growth
RPL19;RPL3;cell_growth
RPL19;RPL37;cell_growth
RPL19;RPL35A;cell_growth
RPS12;LYAR;cell_growth
RPS12;BUD23;cell_growth
RPS12;WDR43;cell_growth
RPS12;PA2G4;cell_growth
RPS12;MPHOSPH10;cell_growth
RPS12;RRP7A;cell_growth
RPS12;NAT10;cell_growth
RPS12;NOP58;cell_growth
RPS12;EEF1A1;cell_growth
RPS12;RPL36A;cell_growth
RPS12;RPL10L;cell_growth
RPS12;RPL22;cell_growth
RPS12;RPS11;cell_growth
RPS12;RPL35A;cell_growth
RPS12;RPL37;cell_growth
RPS12;RPL31;cell_growth
RPS12;RPL3;cell_growth
RPS12;RPS27;cell_growth
RPS12;RPL28;cell_growth
RPS12;RPS26;cell_growth
RPS12;RPS29;cell_growth
RPS12;RPL14;cell_growth
RPS12;RPL21;cell_growth
RPS12;RPS15A;cell_growth
RPS12;RPS14;cell_growth
RPS12;RPL12;cell_growth
RPS12;RPS23;cell_growth
RPS12;RPL39;cell_growth
RPS12;RPL13A;cell_growth
RPS12;RPL38;cell_growth
RPS12;RPS9;cell_growth
RPS12;RPLP0;cell_growth
RPS12;RPL32;cell_growth
RPS12;RPL27;cell_growth
RPS12;RPL29;cell_growth
RPS12;FAU;cell_growth
RPS12;RPS3;cell_growth
RPS12;RPS13;cell_growth
RPS12;RPS3A;cell_growth
RPS12;RPS27A;cell_growth
RPS12;RPL7;cell_growth
RPS12;RPL9;cell_growth
RPS12;RPL18;cell_growth
RPS12;RPS21;cell_growth
RPS12;RPL11;cell_growth
RPS12;RPS24;cell_growth
RPS12;RPL7A;cell_growth
