Prot_A;Prot_B
KDM1B;ASXL2
KDM1B;BAP1
HCFC1;BAP1
HCFC1;OGT
FOXK1;BAP1
OGT;BAP1
ASXL1;BAP1
SIN3B;SIN3A
ASXL2;BAP1
ACTL6B;RB1
ACTL6B;BICRAL
ACTL6B;BICRA
ACTL6B;BCL7B
ACTL6B;BCL11B
ACTL6B;ARID4A
ACTL6B;BCL11A
ACTL6B;BCL7C
ACTL6B;BRD9
ACTL6B;BCL7A
ACTL6B;ACTB
ACTL6B;SMARCD2
ACTL6B;SS18
ACTL6B;PBRM1
ACTL6B;ACTL6A
ACTL6B;ARID1B
ACTL6B;SMARCD3
ACTL6B;SMARCC1
ACTL6B;ARID1A
ACTL6B;SMARCA4
ACTL6B;SMARCA2
ACTL6B;SMARCE1
ACTL6B;SMARCB1
ACTL6B;SMARCD1
ACTL6B;SMARCC2
SIRT1;SUV39H1
PSMD10;RB1
PSMD10;PSMC1
COL1A1;RB1
COL1A1;RUNX2
CCND1;HDAC3
CCND1;CCND3
CCND1;CCND2
CCND1;AR
CCND1;EP300
CCND1;RB1
CCND1;CDK1
CCND1;CDKN2A
CCND1;CDK2
CCND1;CDKN1B
CCND1;CDK4
CCND1;CDK6
CCND1;CDKN1A
CDKN1B;CCNB1
CDKN1B;CDK1
CDKN1B;CDKN1A
CDKN1B;TP53
CDKN1B;CDK4
CDKN1B;CDK6
CDKN1B;CCND3
CDKN1B;CCNE1
CDKN1B;CDK2
CDKN1B;CCND2
CDKN1B;CCNA2
MAPK14;RB1
MAPK14;PGR
MAPK14;CDKN2A
MAPK14;SP1
MAPK14;CEBPB
MAPK14;TP53
AHR;RB1
SMARCC1;RB1
SMARCC1;BCL11B
SMARCC1;BCL11A
SMARCC1;BCL7B
SMARCC1;BICRAL
SMARCC1;BICRA
SMARCC1;SS18
SMARCC1;BCL7A
SMARCC1;BCL7C
SMARCC1;BRD9
SMARCC1;SMARCE1
SMARCC1;ARID1A
SMARCC1;ACTL6A
SMARCC1;SMARCD1
SMARCC1;SMARCD3
SMARCC1;SMARCA4
SMARCC1;ARID1B
SMARCC1;SMARCD2
SMARCC1;PBRM1
SMARCC1;SMARCC2
SMARCC1;SMARCA2
SMARCC1;SMARCB1
CCNB1;ANAPC2
CCNB1;CDKN1A
CCNB1;FZR1
CCNB1;CDK2
CCNB1;CDK1
CCNB1;CDC27
CDK4;BRCA1
CDK4;CDK2
CDK4;RB1
CDK4;CDKN2A
CDK4;CCNA2
CDK4;CCND2
CDK4;CCND3
CDK4;CDKN1A
CDK4;CDK6
CDK4;CCNE1
MDM2;HDAC1
MDM2;CASP3
MDM2;NPM1
MDM2;CDKN1A
MDM2;AR
MDM2;RB1
MDM2;EP300
CCND2;CCND3
CCND2;RB1
CCND2;CDKN2A
CCND2;CDK2
CCND2;CDK6
CCND2;CDKN1A
PSMC1;RB1
SMARCD3;RB1
SMARCD3;ACTB
SMARCD3;BCL11B
SMARCD3;BCL11A
SMARCD3;BICRAL
SMARCD3;BICRA
SMARCD3;BRD9
SMARCD3;BCL7B
SMARCD3;SMARCD2
SMARCD3;SS18
SMARCD3;BCL7A
SMARCD3;BCL7C
SMARCD3;SMARCD1
SMARCD3;ACTL6A
SMARCD3;ARID1B
SMARCD3;PBRM1
SMARCD3;SMARCE1
SMARCD3;ARID1A
SMARCD3;SMARCA4
SMARCD3;SMARCC2
SMARCD3;SMARCA2
SMARCD3;SMARCB1
CCNE1;CDK1
CCNE1;RB1
CCNE1;CDK6
CCNE1;CDKN1A
CCNE1;CDK2
E2F3;E2F2
E2F3;CCNA2
E2F3;CDK2
E2F3;E2F1
E2F3;TFDP1
E2F3;RB1
EP300;EID1
EP300;CDKN1A
EP300;CDK2
EP300;AR
EP300;H3-4
EP300;E2F1
EP300;BRCA1
EP300;CEBPB
EP300;TP53
EP300;HDAC1
EP300;MYC
EP300;SP1
CDK6;RB1
CDK6;CDK2
CDK6;CCND3
CDK6;CDKN1A
CDK6;CCNA2
CDK6;CDKN2A
CDK2;E2F2
CDK2;FZR1
CDK2;BRCA1
CDK2;TP53
CDK2;E2F1
CDK2;CCNA2
CDK2;RB1
CDK2;CDKN1A
CDK2;CCND3
RB1;BCL7C
RB1;BICRAL
RB1;BICRA
RB1;BCL7B
RB1;BCL7A
RB1;SMARCC2
RB1;SS18
RB1;SMARCE1
RB1;ARID1B
RB1;BRD9
RB1;BCL11A
RB1;SMARCD2
RB1;SMARCD1
RB1;TAF1
RB1;BCL11B
RB1;ACTL6A
RB1;BGLAP
RB1;PBRM1
RB1;ARID1A
RB1;CDK9
RB1;SMARCB1
RB1;LMNA
RB1;RAF1
RB1;SMARCA2
RB1;RBBP8
RB1;MCM7
RB1;BRCA1
RB1;RBBP7
RB1;FZR1
RB1;EID1
RB1;TP53BP1
RB1;RBBP4
RB1;PPP1CB
RB1;PPP1CC
RB1;RUNX2
RB1;SMARCA4
RB1;ABL1
RB1;ARID4A
RB1;PPP1CA
RB1;HDAC2
RB1;CCND3
RB1;CDK1
RB1;CCNA2
RB1;E2F1
RB1;E2F2
RB1;E2F4
RB1;TFDP1
RB1;HDAC1
TP53;L3MBTL1
TP53;HDAC2
TP53;SP1
TP53;HDAC1
TP53;CDKN1A
TP53;TP53BP1
NPM1;CEBPB
NPM1;RBBP7
NPM1;RBBP4
NPM1;CDKN2A
HDAC3;HDAC2
HDAC3;HDAC1
HDAC3;MYC
CEBPB;SMARCA2
CEBPB;MYC
MCM7;ORC1
CASP3;CASP7
CASP3;ACTB
CASP3;CDKN1A
BICRAL;PBRM1
BICRAL;BCL11B
BICRAL;BCL11A
BICRAL;SS18
BICRAL;SMARCB1
BICRAL;SMARCD2
BICRAL;SMARCC2
BICRAL;ARID1B
BICRAL;ARID1A
BICRAL;SMARCE1
BICRAL;BCL7B
BICRAL;SMARCA2
BICRAL;BICRA
BICRAL;SMARCA4
BICRAL;ACTL6A
BICRAL;BCL7A
BICRAL;BCL7C
BICRAL;SMARCD1
BICRAL;BRD9
ANAPC2;BRCA1
ANAPC2;CCNA2
ANAPC2;CDC27
ANAPC2;FZR1
SUZ12;H3C13
SUZ12;HDAC2
SUZ12;RBBP7
SUZ12;RBBP4
SUZ12;EZH2
EZH2;CDK1
EZH2;MYC
EZH2;H3-4
EZH2;H3C13
EZH2;RBBP7
EZH2;RBBP4
EZH2;DNMT1
EZH2;HDAC1
EZH2;HDAC2
ARID1A;BCL11B
ARID1A;BCL11A
ARID1A;BICRA
ARID1A;BCL7B
ARID1A;SS18
ARID1A;ACTB
ARID1A;BCL7C
ARID1A;BRD9
ARID1A;BCL7A
ARID1A;SMARCD2
ARID1A;ARID1B
ARID1A;ACTL6A
ARID1A;SMARCD1
ARID1A;SMARCA4
ARID1A;SMARCE1
ARID1A;SMARCB1
ARID1A;SMARCC2
ARID1A;SMARCA2
ARID1A;PBRM1
SMARCE1;BCL11B
SMARCE1;BCL11A
SMARCE1;BICRA
SMARCE1;BRD9
SMARCE1;BCL7B
SMARCE1;BCL7C
SMARCE1;BCL7A
SMARCE1;ACTB
SMARCE1;SMARCC2
SMARCE1;SMARCA2
SMARCE1;SMARCB1
SMARCE1;PBRM1
SMARCE1;SMARCD1
SMARCE1;ACTL6A
SMARCE1;SMARCA4
SMARCE1;SMARCD2
SMARCE1;ARID1B
SMARCE1;SS18
PPP1CA;BRCA1
PPP1CA;PPP1CB
PPP1CA;PPP1CC
SP1;SMARCA4
SP1;HDAC2
SP1;MYC
SP1;E2F1
SP1;HDAC1
MORF4L1;ACTB
MORF4L1;RBBP7
MORF4L1;RBBP4
MORF4L1;HDAC1
MORF4L1;ACTL6A
MORF4L1;HDAC2
H3C13;TAF1
H3C13;RBBP7
H3C13;TP53BP1
H3C13;PBRM1
H3C13;DNMT1
SMARCB1;BCL11B
SMARCB1;BCL11A
SMARCB1;ACTB
SMARCB1;BICRA
SMARCB1;BRD9
SMARCB1;BCL7B
SMARCB1;BCL7C
SMARCB1;SS18
SMARCB1;BCL7A
SMARCB1;PBRM1
SMARCB1;SMARCC2
SMARCB1;SMARCA2
SMARCB1;ACTL6A
SMARCB1;SMARCD1
SMARCB1;SMARCA4
SMARCB1;ARID1B
SMARCB1;SMARCD2
PPP1CC;PPP1CB
SMARCA4;AR
SMARCA4;BCL11A
SMARCA4;BCL11B
SMARCA4;HDAC1
SMARCA4;BICRA
SMARCA4;BCL7B
SMARCA4;BCL7C
SMARCA4;SS18
SMARCA4;BCL7A
SMARCA4;BRD9
SMARCA4;ACTL6A
SMARCA4;SMARCD1
SMARCA4;ARID1B
SMARCA4;SMARCD2
SMARCA4;ACTB
SMARCA4;HDAC2
SMARCA4;PBRM1
SMARCA4;SMARCC2
SMARCA4;SMARCA2
E2F1;E2F2
E2F1;HDAC1
E2F1;TFDP1
E2F1;CCNA2
ARID4A;ACTL6A
ARID4A;RBBP7
ARID4A;HDAC1
BCL11B;PBRM1
BCL11B;SS18
BCL11B;BICRA
BCL11B;SMARCD2
BCL11B;HDAC2
BCL11B;BCL7C
BCL11B;BCL7B
BCL11B;SMARCD1
BCL11B;SMARCC2
BCL11B;ACTL6A
BCL11B;BRD9
BCL11B;SMARCA2
BCL11B;BCL7A
BCL11B;ARID1B
BCL11B;BCL11A
DNMT1;HDAC2
DNMT1;HDAC1
E2F2;CCNA2
E2F2;TFDP1
H3-4;PBRM1
BGLAP;RUNX2
CASP7;ACTB
RUNX2;ABL1
RUNX2;AR
ORC1;CCNA2
CCND3;CDK1
CCND3;CDKN2A
CCND3;CDKN1A
CDK9;MYC
RBBP4;BCL11A
RBBP4;RBBP7
RBBP4;HDAC1
RBBP4;HDAC2
HDAC1;CDKN1A
HDAC1;BCL11A
HDAC1;AR
HDAC1;MYC
HDAC1;E2F4
HDAC1;RBBP7
TFDP1;E2F4
TFDP1;E2F6
RBBP7;BCL11A
RBBP7;HDAC2
BCL7C;BCL11A
BCL7C;PBRM1
BCL7C;BICRA
BCL7C;ACTL6A
BCL7C;BCL7A
BCL7C;SMARCC2
BCL7C;BCL7B
BCL7C;SMARCD2
BCL7C;ARID1B
BCL7C;BRD9
BCL7C;SMARCA2
BCL7C;SMARCD1
BCL7C;SS18
E2F6;TAF1
TP53BP1;BRCA1
SMARCA2;BCL11A
SMARCA2;BCL7B
SMARCA2;BICRA
SMARCA2;BCL7A
SMARCA2;BRD9
SMARCA2;SS18
SMARCA2;SMARCC2
SMARCA2;PBRM1
SMARCA2;SMARCD1
SMARCA2;ACTL6A
SMARCA2;ARID1B
SMARCA2;SMARCD2
SMARCD1;BCL11A
SMARCD1;ACTB
SMARCD1;SS18
SMARCD1;BCL7B
SMARCD1;SMARCD2
SMARCD1;BICRA
SMARCD1;BCL7A
SMARCD1;ARID1B
SMARCD1;BRD9
SMARCD1;ACTL6A
SMARCD1;SMARCC2
SMARCD1;PBRM1
FZR1;CCNA2
FZR1;CDK1
FZR1;CDC27
CDK1;CDKN1A
CDK1;CCNA2
BICRA;BCL11A
BICRA;PBRM1
BICRA;BCL7B
BICRA;SMARCD2
BICRA;SMARCC2
BICRA;ARID1B
BICRA;ACTL6A
BICRA;BCL7A
BICRA;SS18
BICRA;BRD9
RBBP8;BRCA1
CDKN1A;CCNA2
PBRM1;BCL7B
PBRM1;SS18
PBRM1;BCL11A
PBRM1;BRD9
PBRM1;BCL7A
PBRM1;ACTB
PBRM1;SMARCD2
PBRM1;ARID1B
PBRM1;ACTL6A
PBRM1;SMARCC2
SMARCD2;ACTB
SMARCD2;BCL11A
SMARCD2;BRD9
SMARCD2;BCL7B
SMARCD2;SS18
SMARCD2;BCL7A
SMARCD2;ARID1B
SMARCD2;ACTL6A
SMARCD2;SMARCC2
ACTL6A;MYC
ACTL6A;BCL11A
ACTL6A;BCL7B
ACTL6A;SS18
ACTL6A;BCL7A
ACTL6A;ARID1B
ACTL6A;BRD9
ACTL6A;SMARCC2
ACTL6A;ACTB
BCL7B;BCL11A
BCL7B;BCL7A
BCL7B;BRD9
BCL7B;ARID1B
BCL7B;SS18
BCL7B;SMARCC2
SS18;BCL11A
SS18;BCL7A
SS18;BRD9
SS18;ARID1B
SS18;SMARCC2
BRCA1;CDC27
BRD9;BCL11A
BRD9;ARID1B
BRD9;BCL7A
BRD9;SMARCC2
CDC27;CCNA2
BCL7A;BCL11A
BCL7A;ARID1B
BCL7A;SMARCC2
SMARCC2;BCL11A
SMARCC2;ACTB
SMARCC2;ARID1B
ARID1B;ACTB
ARID1B;BCL11A
DCSTAMP;CREB3
WNT3;CTNNB1
WNT3;WNT3A
WNT3;LRP6
WNT3;LRP5
FZD3;LRP6
FZD3;LRP5
FZD3;WNT1
FZD3;WNT5B
FZD3;WNT4
FZD3;WNT11
FZD3;WNT5A
LRP6;FZD2
LRP6;FZD6
LRP6;FZD5
LRP6;FZD1
LRP6;FZD7
LRP6;CTNNB1
LRP6;WNT3A
LRP6;DKK1
LRP6;LRP5
WNT5A;WNT5B
WNT5A;FZD7
SFRP2;MKLN1
SFRP2;WNT3A
WNT3A;FZD5
WNT3A;LRP5
FZD7;LRP5
FZD7;WNT1
FZD7;WNT11
FZD1;WNT11
FZD1;WNT1
FZD1;LRP5
WNT4;WNT1
WNT1;FZD6
WNT1;FZD5
WNT1;FZD2
LRP5;FZD6
LRP5;FZD5
LRP5;FZD2
LRP5;CTNNB1
LRP5;DKK1
AXIN2;CTNNB1
FZD2;WNT11
WNT11;FZD5
WNT11;FZD6
GADD45G;TP53
GADD45G;GADD45A
TP53;GADD45A
APOB;APOA5
APOB;APOA1
APOA1;APOA5
APOA1;A2M
C3;C4A
THBS1;FGA
F2;FGA
HSPB6;SFN
NFKBIA;SFN
NFKBIA;RELA
BLNK;SOS1
BLNK;SFN
CDKN1B;CCNB2
CDKN1B;SFN
CDKN1B;FOXO3
CDKN1B;AKT1
CDC25B;CDC25C
CDC25B;CDC25A
CDC25B;YWHAG
CDC25B;YWHAQ
CDC25B;YWHAZ
CDC25B;CDK2
CDC25B;YWHAE
CDC25B;CDK1
PIN1;SFN
PIN1;TP53
CCNB1;CCNB3
CCNB1;SFN
CCNB1;CDC25A
CCNB1;CCNB2
CDK4;CDC25A
MDM2;TP63
MDM2;ESR1
MDM2;SFN
MDM2;MDM4
YWHAE;MDM4
YWHAE;CDC25A
YWHAE;LRRK2
YWHAE;ARAF
YWHAE;YAP1
YWHAE;FOXO3
YWHAE;BAD
YWHAE;YWHAQ
YWHAE;WWTR1
YWHAE;YWHAG
YWHAE;RAF1
YWHAE;BRAF
YWHAE;YWHAZ
YWHAE;CDC25C
TP63;TP53
CDK2;FOXO1
CDK2;CDC25C
CDK2;CDC25A
CDK2;FOXO3
CDK2;CCNB2
TP53;ZNF385A
TP53;ESR1
TP53;BAX
TP53;SFN
TP53;MDM4
EGFR;YWHAQ
EGFR;CDK1
EGFR;SFN
EGFR;YWHAZ
EGFR;GAB2
EGFR;SOS1
CCNB2;SFN
CCNB2;CCNB3
CCNB2;CDC25A
CCNB2;CDC25C
CCNB2;CDK1
ARAF;SFN
ARAF;YWHAG
ARAF;YWHAQ
ARAF;YWHAZ
ARAF;RAF1
ARAF;BRAF
BAX;SFN
LRRK2;YWHAZ
LRRK2;YWHAG
LRRK2;YWHAQ
LRRK2;SFN
ANPEP;SFN
CDC25A;YWHAQ
CDC25A;YWHAZ
CDC25A;CCNB3
CDC25A;CDC25C
CDC25A;CDK1
YWHAG;MDM4
YWHAG;FOXO1
YWHAG;WWTR1
YWHAG;BAD
YWHAG;FOXO3
YWHAG;YAP1
YWHAG;CDC25C
YWHAG;YWHAZ
YWHAG;RAF1
YWHAG;BRAF
CDC25C;YWHAQ
CDC25C;YWHAZ
CDC25C;CDK1
ZNF385A;SFN
FOXO3;YWHAQ
SFN;YWHAQ
SFN;YWHAZ
SFN;BRAF
SFN;PLN
SFN;PADI6
SFN;CCNB3
SFN;BAD
SFN;SOS1
SFN;NEDD4L
SFN;RELA
SFN;WWTR1
SFN;JUN
SFN;RAF1
SFN;GAB2
SFN;AMOT
SFN;CDK1
SFN;MDM4
SFN;ESR1
SFN;FOXO1
GAB2;SOS1
MDM4;YWHAQ
JUN;AKT1
JUN;ESR1
AMOT;NEDD4L
AMOT;WWTR1
AMOT;YAP1
CCNB3;CDK1
YWHAQ;WWTR1
YWHAQ;YAP1
YWHAQ;BAD
YWHAQ;YWHAZ
YWHAQ;RAF1
YWHAQ;BRAF
BAD;RAF1
BAD;YWHAZ
BAD;AKT1
YWHAZ;WWTR1
YWHAZ;SOS1
YWHAZ;YAP1
YWHAZ;RAF1
YWHAZ;BRAF
RELA;RAF1
RELA;ESR1
RAF1;AKT1
RAF1;BRAF
WWTR1;YAP1
EPHA8;ABL1
MAPK1;CDKN1B
MAPK1;RAC2
MAPK1;NRAS
MAPK1;HRAS
MAPK1;MYC
MAPK1;KRAS
MAPK1;TP53
MAPK1;JUN
STUB1;RUNX2
STUB1;EGFR
STUB1;TP53
STUB1;ERBB2
STUB1;HSP90AA1
STUB1;HSP90AB1
STUB1;HSPA4
CDKN1B;CDK5
DOK1;ABL1
VASP;CDC42
VASP;ENAH
ATG14;PIK3C3
ATG14;BECN1
YWHAH;ABL1
YWHAH;YWHAQ
YWHAH;WWTR1
YWHAH;YWHAE
YWHAH;YWHAG
YWHAH;YWHAB
YWHAH;YWHAZ
YWHAH;YAP1
RAC2;PIK3R1
RAC2;NCKAP1
RAC2;ABL1
RAC2;CDC42
RAC2;ABI2
RAC2;WASF2
RAC2;FYN
RAC2;RAC3
RAC2;VAV1
KRAS;BCL2L1
KRAS;EGFR
KRAS;SOS1
CDK4;RAD51
CDK4;ATM
CDK4;HSP90AA1
CDK4;HSP90AB1
MDM2;TP73
CCND2;CDK5
PIK3C3;PIK3R1
PIK3C3;BECN1
PRDX1;CDK5
TCF3;CTNNB1
CBL;YWHAQ
CBL;YWHAB
CBL;EPHA2
CBL;ERBB2
CBL;NCK1
CBL;ABL1
CBL;VAV1
CBL;RAPGEF1
CBL;EGFR
YWHAE;YWHAB
PXN;SORBS1
PXN;BCAR1
PXN;CRK
TP53;CDK5
TP53;PARP1
TP53;TP73
TP53;HSPA4
TP53;PRKDC
TP53;BCL2L1
TP53;RAD51
ERBB2;PIK3R1
ERBB2;CTNNB1
ERBB2;EGFR
ERBB2;GRB2
ERBB2;SHC1
ERBB2;HSP90AA1
EGFR;SOCS3
EGFR;ABL1
EGFR;VAV1
EGFR;GRB10
EGFR;KITLG
EGFR;HSPA4
EGFR;NCK1
EGFR;NRAS
EGFR;HRAS
EGFR;STAT5B
EGFR;CRK
EGFR;PIK3R1
EGFR;CTNNB1
EGFR;STAT5A
EGFR;HSP90AB1
EGFR;SHC1
EGFR;GRB2
EGFR;HSP90AA1
EPHA1;ABL1
EPHA1;EPHA2
NTRK2;FYN
NTRK2;ABL1
NTRK2;GRB2
NTRK2;SHC1
ATM;PRKDC
ATM;ABL1
ATM;RAD51
ATM;XRCC6
ATM;MRE11
EPHA4;ABL1
STAT5B;CDKN1A
STAT5B;ABL1
ABI2;RAC3
ABI2;ABL1
ABI2;ABI1
ABI2;WASF2
ABI2;NCKAP1
RUNX1;SOCS3
RUNX1;YAP1
CRK;SOS1
CRK;ABL1
CRK;RAPGEF1
CRK;BCAR1
HSPA4;SNCA
HSPA4;HSP90AB1
HSPA4;HSP90AA1
BCR;ABL1
RAC3;PIK3R1
RAC3;WASF2
RAC3;ABL1
RAC3;FYN
RAC3;NCKAP1
RAC3;CDC42
RAC3;VAV1
YWHAG;ABL1
YWHAG;YWHAB
PRKDC;XRCC6
MRE11;XRCC6
MRE11;BRCA1
SOCS3;SOCS1
EPHB3;ABL1
HSP90AA1;ABL1
EPHA3;EPHA7
EPHA3;ABL1
STAT5A;CDKN1A
STAT5A;ABL1
FYN;SNCA
FYN;ABL1
FYN;CDK5
FYN;BCAR1
FYN;CDC42
FYN;CTNNB1
FN1;ABL1
EPHB4;ABL1
EPHA2;ABL1
XRCC6;PARP1
NTRK3;ABL1
NTRK3;GRB2
NTRK3;SHC1
NCKAP1;ABI1
NCKAP1;WASF2
BECN1;BCL2L1
ENAH;ABL1
MCL1;FBXW7
MCL1;BCL2L1
EPHA7;ABL1
NRAS;CDKN2A
NRAS;SOS1
JUN;CDK5
JUN;FBXW7
RUNX2;WWTR1
RUNX2;YAP1
RAPGEF1;GRB2
RAPGEF1;BCAR1
ABL1;YWHAB
ABL1;WWTR1
ABL1;PIK3R1
ABL1;NCK1
ABL1;YAP1
ABL1;CDK5
ABL1;TP73
ABL1;ROBO2
ABL1;ROBO1
ABL1;EPHB1
ABL1;EPHB2
ABL1;NTRK1
ABL1;EPHA5
ABL1;SHC1
ABL1;ABI1
ABL1;GRB2
YWHAB;WWTR1
YWHAB;YWHAQ
YWHAB;YAP1
YWHAB;YWHAZ
BCL2L1;TP73
ABI1;WASF2
TP73;WWTR1
TP73;YAP1
GRB2;NTRK1
GRB2;VAV1
GRB2;SOS1
YWHAZ;CTNNB1
SOS1;NCK1
SOS1;SHC1
SOS1;HRAS
CDKN1A;CDK5
SHC1;NTRK1
HRAS;CDKN2A
NCK1;VAV1
ROBO2;SLIT2
BRCA1;RAD51
ROBO1;SLIT2
PIK3R1;NTRK1
PIK3R1;VAV1
PIK3R1;CDC42
VAV1;CDC42
FBXW7;MYC
YAP1;CTNNB1
ARG2;ARG1
ARG2;NOS2
ARG2;AZIN2
STAT3;STAT6
STAT3;PTGS2
CALM3;CALM1
CALM3;CALM2
CALM3;CALML4
CALM3;HSP90AA1
CALM3;NOS2
NOS2;SPSB2
NOS2;CALM2
NOS2;AKT3
NOS2;AZIN2
NOS2;AKT2
NOS2;ASS1
NOS2;AKT1
NOS2;CALM1
NOS2;ARG1
NOS2;CALML4
HSP90AA1;AKT2
HSP90AA1;AKT3
HSP90AA1;CALML4
ARG1;AZIN2
IL6;IL10
CALM1;CALM2
CNOT2;NANOS2
CNOT2;CNOT1
CNOT2;CNOT3
CNOT2;CNOT9
CNOT2;CNOT7
CNOT2;CNOT6L
CNOT1;NANOS2
CNOT1;CNOT3
CNOT1;CNOT9
CNOT1;CNOT7
CNOT1;CNOT6L
NANOS2;CNOT6L
NANOS2;CNOT7
NANOS2;CNOT3
CNOT3;CNOT9
CNOT3;CNOT7
CNOT3;CNOT6L
CNOT7;CNOT6L
CNOT7;CNOT9
CNOT6L;CNOT9
KIDINS220;MAGI2
RAPGEF2;RAPGEF6
RAPGEF2;MAGI1
RAPGEF2;MAGI2
RAPGEF6;MAGI2
RAPGEF6;MAGI1
MAGI2;DDN
MAGI2;MAGI1
MAGI2;CTNNB1
MAGI2;PTEN
MAST2;PTEN
PTEN;MAGI1
MAGI1;DDN
MAGI1;CTNNB1
ATP6V1D;ATP5PO
ATP6V1D;ATP5F1B
ATP6V1D;CCDC115
ATP6V1D;TMEM199
ATP6V1D;ATP5F1C
ATP6V1D;ATP5F1A
ATP6V1D;ATP6V0E2
ATP6V1D;ATP6V1G3
ATP6V1D;TCIRG1
ATP6V1D;ATP6AP2
ATP6V1D;ATP6V0A2
ATP6V1D;ATP6V1C2
ATP6V1D;RNASEK
ATP6V1D;ATP6V1G2
ATP6V1D;ATP6V0A4
ATP6V1D;ATP6V1B2
ATP6V1D;ATP6V1H
ATP6V1D;ATP6V1A
ATP6V1D;ATP6V1E1
ATP6V1D;ATP6V1F
ATP6V1D;ATP6V1B1
ATP6V1D;ATP6V0A1
ATP6V1D;ATP6V0D2
ATP6V1D;ATP6V1C1
ATP6V1D;ATP6V0D1
ATP6V1D;ATP6V1G1
ATP6V1D;ATP6V0C
ATP6V1D;ATP6V0B
ATP12A;ATP4A
ATP12A;PPA2
ATP12A;PPA1
ATP6V1B1;AK9
ATP6V1B1;ATP5PO
ATP6V1B1;CCDC115
ATP6V1B1;ATP6AP2
ATP6V1B1;TMEM199
ATP6V1B1;ATP5F1A
ATP6V1B1;ATP5F1B
ATP6V1B1;ATP5F1C
ATP6V1B1;ATP6V0E2
ATP6V1B1;RNASEK
ATP6V1B1;CNST
ATP6V1B1;ATP6V1B2
ATP6V1B1;ATP6V0A2
ATP6V1B1;ATP6V0B
ATP6V1B1;ATP6V1C2
ATP6V1B1;ATP6V1H
ATP6V1B1;ATP6V1G2
ATP6V1B1;TCIRG1
ATP6V1B1;ATP6V0C
ATP6V1B1;ATP6V1G1
ATP6V1B1;ATP6V1C1
ATP6V1B1;ATP6V1A
ATP6V1B1;ATP6V0A1
ATP6V1B1;ATP6V0A4
ATP6V1B1;ATP6V1F
ATP6V1B1;ATP6V1E1
ATP6V1B1;ATP6V0D1
ATP6V1B1;ATP6V0D2
ATP6V1E1;ATP5F1C
ATP6V1E1;ATP5F1A
ATP6V1E1;CCDC115
ATP6V1E1;ATP5F1B
ATP6V1E1;ATP6V0E2
ATP6V1E1;CNST
ATP6V1E1;TMEM199
ATP6V1E1;RNASEK
ATP6V1E1;ATP6AP2
ATP6V1E1;TCIRG1
ATP6V1E1;ATP6V0A2
ATP6V1E1;ATP6V1C2
ATP6V1E1;ATP6V1G2
ATP6V1E1;ATP6V1C1
ATP6V1E1;ATP6V0D2
ATP6V1E1;ATP6V0D1
ATP6V1E1;ATP6V0C
ATP6V1E1;ATP6V1G1
ATP6V1E1;ATP6V0B
ATP6V1E1;ATP6V1F
ATP6V1E1;ATP6V0A1
ATP6V1E1;ATP6V0A4
ATP6V1E1;ATP6V1B2
ATP6V1E1;ATP6V1H
ATP6V1E1;ATP6V1A
CCDC115;ATP6V0E2
CCDC115;ATP6V1G2
CCDC115;ATP6V0B
CCDC115;RNASEK
CCDC115;ATP6V0A1
CCDC115;ATP6V0C
CCDC115;ATP6V1C1
CCDC115;ATP6V1B2
CCDC115;ATP6V0A4
CCDC115;ATP6V1H
CCDC115;ATP6V1G1
CCDC115;ATP6V0A2
CCDC115;ATP6V1A
CCDC115;ATP6V1F
CCDC115;ATP6AP2
CCDC115;ATP6V0D2
CCDC115;ATP6V0D1
CCDC115;TMEM199
ATP5F1B;ATP6V1C1
ATP5F1B;ATP6V1G2
ATP5F1B;ATP6V1H
ATP5F1B;ATP6V1F
ATP5F1B;ATP6V1G1
ATP5F1B;ATP6V1A
ATP5F1B;ATP6V1B2
ATP5F1B;ATP5F1A
ATP5F1B;ATP5PO
ATP5F1B;ATP5F1C
SLC4A1;CA2
ATP4A;PPA2
ATP4A;PPA1
ATP6V0A1;ATP5PO
ATP6V0A1;ATP6V0A4
ATP6V0A1;TMEM199
ATP6V0A1;ATP6V0E2
ATP6V0A1;TCIRG1
ATP6V0A1;ATP6V1C2
ATP6V0A1;ATP6V0A2
ATP6V0A1;RNASEK
ATP6V0A1;ATP6V1G1
ATP6V0A1;ATP6V1G2
ATP6V0A1;ATP6AP2
ATP6V0A1;ATP6V1B2
ATP6V0A1;ATP6V1F
ATP6V0A1;ATP6V1A
ATP6V0A1;ATP6V1H
ATP6V0A1;ATP6V0D1
ATP6V0A1;ATP6V0C
ATP6V0A1;ATP6V0B
ATP6V0A1;ATP6V0D2
ATP6V0A1;ATP6V1C1
TCIRG1;RNASEK
TCIRG1;ATP6V0A4
TCIRG1;ATP6V0A2
TCIRG1;ATP6V1C1
TCIRG1;ATP6AP2
TCIRG1;ATP6V1A
TCIRG1;ATP6V1B2
TCIRG1;ATP6V1H
TCIRG1;ATP6V1F
TCIRG1;ATP6V0B
TCIRG1;ATP6V0C
TCIRG1;ATP6V0D1
TCIRG1;ATP6V0D2
ATP6V1C2;CNST
ATP6V1C2;RNASEK
ATP6V1C2;ATP6V0E2
ATP6V1C2;ATP6V0D2
ATP6V1C2;ATP6V1C1
ATP6V1C2;ATP6V0D1
ATP6V1C2;ATP6V0C
ATP6V1C2;ATP6V0A4
ATP6V1C2;ATP6V0B
ATP6V1C2;ATP6V1G1
