Prot_A;Prot_B
RPS12;RPSA
RPS12;RPL35
RPS12;RACK1
RPS12;RPL15
RPS12;RPS19
RPS12;RPL23
RPS12;RPS18
RPS12;RPL34
RPS12;RPL5
RPS12;RPS16
RPS12;RPS17
RPS12;RPL30
RPS12;RPS28
RPS12;RPS5
RPS12;RPS4X
RPS12;RPS7
RPS12;RPL4
RPS12;RPL17
RPS12;RPL23A
RPS12;RPS20
RPS12;RPL8
RPS12;RPL10A
RPS12;RPS25
RPS12;RPL26
RPS12;UBA52
RPS12;RPS6
RPS12;RPL37A
RPS12;RPL24
RPS12;RPS15
RPS12;RPS2
RPS12;RPS8
MPHOSPH10;RPS17
MPHOSPH10;FAU
MPHOSPH10;RPS27A
MPHOSPH10;NHP2
MPHOSPH10;NOP10
MPHOSPH10;RPS4X
MPHOSPH10;RPS15A
MPHOSPH10;RPS27
MPHOSPH10;RPS19
MPHOSPH10;RPS18
MPHOSPH10;RPS24
MPHOSPH10;RPS11
MPHOSPH10;RPS14
MPHOSPH10;RPS16
MPHOSPH10;RPS5
MPHOSPH10;RPS3A
MPHOSPH10;RPS8
MPHOSPH10;RPS13
MPHOSPH10;DDX18
MPHOSPH10;RSL1D1
MPHOSPH10;RPS23
MPHOSPH10;RPS28
MPHOSPH10;RPS9
MPHOSPH10;RPS7
MPHOSPH10;RPS6
MPHOSPH10;NAT10
MPHOSPH10;RRP7A
MPHOSPH10;NOP58
MPHOSPH10;WDR43
NOP53;RPL17
NOP53;RPL22
NOP53;UBA52
NOP53;RPL26
NOP53;RPL23
NOP53;RPL9
NOP53;RPL34
NOP53;RPL10L
NOP53;RPL6
NOP53;RPL10A
NOP53;RPL21
NOP53;RPL39
NOP53;RPL35A
NOP53;RPL27
NOP53;RPL13A
NOP53;RPL24
NOP53;RPL7
NOP53;RPL37
NOP53;RPL14
NOP53;RPL15
NOP53;RPL12
NOP53;RPL31
NOP53;RPL37A
NOP53;RPL36
NOP53;RPL8
NOP53;RPL35
NOP53;RPL7A
NOP53;RPL13
NOP53;RPL3
NOP53;RPL18
NOP53;RPL4
NOP53;RPL27A
NOP53;RPL29
NOP53;RPL32
NOP53;RPL38
NOP53;RPL30
NOP53;RPL23A
NOP53;PA2G4
NOP53;RPL11
NOP53;NIFK
NOP53;RPL5
NOP53;RSL1D1
NOP53;SDAD1
NAT10;RPS27A
NAT10;RPS17
NAT10;NOP10
NAT10;RPS19
NAT10;RPS4X
NAT10;RPS15A
NAT10;RPS27
NAT10;RPS14
NAT10;RPS24
NAT10;RPS16
NAT10;RPS28
NAT10;NHP2
NAT10;RPS18
NAT10;RPS11
NAT10;RPS7
NAT10;RPS6
NAT10;RPS9
NAT10;RPS3A
NAT10;RSL1D1
NAT10;RPS8
NAT10;RPS5
NAT10;RPS13
NAT10;RPS23
NAT10;RRP7A
NAT10;WDR43
NAT10;NOP58
RPL35;RRP1
RPL35;LYAR
RPL35;TMA16
RPL35;GNL3
RPL35;RRP1B
RPL35;NOC2L
RPL35;EBNA1BP2
RPL35;RPF1
RPL35;RSL1D1
RPL35;DDX18
RPL35;NIFK
RPL35;EEF1A1
RPL35;RPL36A
RPL35;RPL10L
RPL35;RPL39
RPL35;RPS15A
RPL35;RPL4
RPL35;RPS7
RPL35;RPS4X
RPL35;PA2G4
RPL35;RPS28
RPL35;RPS5
RPL35;RPL30
RPL35;RPS17
RPL35;RPL24
RPL35;RPL37A
RPL35;RPS8
RPL35;RPS2
RPL35;RPS15
RPL35;RPS6
RPL35;UBA52
RPL35;RPL26
RPL35;RPL10A
RPL35;RPS25
RPL35;RPL23A
RPL35;RPL17
RPL35;RPL8
RPL35;RPS20
RPL35;RPL13
RPL35;RPS10
RPL35;RPL27A
RPL35;RPL7A
RPL35;RPL6
RPL35;RPL36
RPL35;RPL11
RPL35;RPS24
RPL35;RPL7
RPL35;RPS21
RPL35;RPL18
RPL35;RPL9
RPL35;RPL34
RPL35;RPS18
RPL35;RPS16
RPL35;RPL5
RPL35;RPL23
RPL35;RPS19
RPL35;RPL15
RPL35;RACK1
RPL35;RPSA
RPL35;RPS9
RPL35;RPS23
RPL35;RPL38
RPL35;RPL13A
RPL35;RPS14
RPL35;RPL12
RPL35;RPS3A
RPL35;RPS13
RPL35;RPS27A
RPL35;RPS3
RPL35;RPL29
RPL35;RPL22
RPL35;RPL27
RPL35;FAU
RPL35;RPLP0
RPL35;RPL32
RPL35;RPL3
RPL35;RPL31
RPL35;RPL28
RPL35;RPS27
RPL35;RPL35A
RPL35;RPL37
RPL35;RPS11
RPL35;RPL14
RPL35;RPL21
RPL35;RPS29
RPL35;RPS26
RPL8;TMA16
RPL8;LYAR
RPL8;EEF1A1
RPL8;PA2G4
RPL8;RPL10L
RPL8;RPS15A
RPL8;RPL22
RPL8;RPL4
RPL8;RPS7
RPL8;RPS4X
RPL8;RPS5
RPL8;RPS28
RPL8;RPL30
RPL8;RPS17
RPL8;RPS8
RPL8;RPS2
RPL8;RPS15
RPL8;RPL37A
RPL8;RPL24
RPL8;RPL26
RPL8;RPS6
RPL8;UBA52
RPL8;RPS25
RPL8;RPL10A
RPL8;RPS20
RPL8;RPL17
RPL8;RPL23A
RPL8;RPL13
RPL8;RPL6
RPL8;RPL36
RPL8;RPS10
RPL8;RPL27A
RPL8;RPL7A
RPL8;RPL11
RPL8;RPS24
RPL8;RPS21
RPL8;RPL18
RPL8;RPL9
RPL8;RPL7
RPL8;RPS16
RPL8;RPL5
RPL8;RPS18
RPL8;RPL34
RPL8;RPL23
RPL8;RPS19
RPL8;RPL15
RPL8;RACK1
RPL8;RPSA
RPL8;RPS9
RPL8;RPL39
RPL8;RPL13A
RPL8;RPL38
RPL8;RPS23
RPL8;RPL12
RPL8;RPS14
RPL8;RPS27A
RPL8;RPS3A
RPL8;RPS13
RPL8;RPS3
RPL8;FAU
RPL8;RPL36A
RPL8;RPL27
RPL8;RPL29
RPL8;RPLP0
RPL8;RPL32
RPL8;RPS27
RPL8;RPL28
RPL8;RPL3
RPL8;RPL31
RPL8;RPL37
RPL8;RPL35A
RPL8;RPS11
RPL8;RPL21
RPL8;RPL14
RPL8;RPS29
RPL8;RPS26
DDX18;RPL22
DDX18;RPL26
DDX18;RPL13A
DDX18;RPL17
DDX18;RPL35A
DDX18;RPL37
DDX18;RPL27
DDX18;RPL21
DDX18;RPL3
DDX18;RPL34
DDX18;RPL23
DDX18;RPL9
DDX18;RPL31
DDX18;RPL6
DDX18;RPL27A
