Compound,Protein,Neighborhood_1,Tag
Choline,GEMIN4,1Neigh,Cholie-1Neigh
Choline,HNRNPA1,1Neigh,Cholie-1Neigh
Choline,SNRPD2,1Neigh,Cholie-1Neigh
Choline,HNRNPA2B1,1Neigh,Cholie-1Neigh
Choline,SYNCRIP,1Neigh,Cholie-1Neigh
Choline,DDX20,1Neigh,Cholie-1Neigh
Choline,RBMX,1Neigh,Cholie-1Neigh
Choline,SRSF3,1Neigh,Cholie-1Neigh
Choline,GEMIN8,1Neigh,Cholie-1Neigh
Choline,SMN1,1Neigh,Cholie-1Neigh
Choline,SMN2,1Neigh,Cholie-1Neigh
Choline,STRAP,1Neigh,Cholie-1Neigh
Choline,SNRPG,1Neigh,Cholie-1Neigh
Choline,SNRPE,1Neigh,Cholie-1Neigh
Choline,SNRPB,1Neigh,Cholie-1Neigh
Choline,LSM4,1Neigh,Cholie-1Neigh
Choline,GLA,1Neigh,Cholie-1Neigh
Choline,SI,1Neigh,Cholie-1Neigh
Choline,HK2,1Neigh,Cholie-1Neigh
Choline,HK3,1Neigh,Cholie-1Neigh
Choline,AMY1B,1Neigh,Cholie-1Neigh
Choline,HKDC1,1Neigh,Cholie-1Neigh
Choline,AMY2B,1Neigh,Cholie-1Neigh
Choline,MGAM2,1Neigh,Cholie-1Neigh
Choline,MGAM,1Neigh,Cholie-1Neigh
Choline,SPX,1Neigh,Cholie-1Neigh
Choline,GAL,1Neigh,Cholie-1Neigh
Choline,VAMP3,1Neigh,Cholie-1Neigh
Choline,VPS18,1Neigh,Cholie-1Neigh
Choline,PLIN3,1Neigh,Cholie-1Neigh
Choline,RAB9B,1Neigh,Cholie-1Neigh
Choline,NAPA,1Neigh,Cholie-1Neigh
Choline,VPS33A,1Neigh,Cholie-1Neigh
Choline,GCC2,1Neigh,Cholie-1Neigh
Choline,VPS41,1Neigh,Cholie-1Neigh
Choline,RABGGTB,1Neigh,Cholie-1Neigh
Choline,VPS33B,1Neigh,Cholie-1Neigh
Choline,CHM,1Neigh,Cholie-1Neigh
Choline,CHML,1Neigh,Cholie-1Neigh
Choline,STX12,1Neigh,Cholie-1Neigh
Choline,PLEKHM2,1Neigh,Cholie-1Neigh
Choline,GDI2,1Neigh,Cholie-1Neigh
Choline,VPS16,1Neigh,Cholie-1Neigh
Choline,VTI1A,1Neigh,Cholie-1Neigh
Choline,NDE1,1Neigh,Cholie-1Neigh
Choline,HLA-A,1Neigh,Cholie-1Neigh
Choline,GDI1,1Neigh,Cholie-1Neigh
Choline,KNG1,1Neigh,Cholie-1Neigh
Choline,GNAI1,1Neigh,Cholie-1Neigh
Choline,PLCB3,1Neigh,Cholie-1Neigh
Choline,LPAR2,1Neigh,Cholie-1Neigh
Choline,LOC114841035,1Neigh,Cholie-1Neigh
Choline,CHRNE,1Neigh,Cholie-1Neigh
Choline,JAK2,1Neigh,Cholie-1Neigh
Choline,SLURP2,1Neigh,Cholie-1Neigh
Choline,KCNQ3,1Neigh,Cholie-1Neigh
Choline,ABCG2,1Neigh,Cholie-1Neigh
Choline,MUSK,1Neigh,Cholie-1Neigh
Choline,GNA13,1Neigh,Cholie-1Neigh
Choline,CYSLTR1,1Neigh,Cholie-1Neigh
Choline,AAMP,1Neigh,Cholie-1Neigh
Choline,PTGES3,1Neigh,Cholie-1Neigh
Choline,KRT5,1Neigh,Cholie-1Neigh
Choline,PIK3CB,1Neigh,Cholie-1Neigh
Choline,CUEDC2,1Neigh,Cholie-1Neigh
Choline,GATA3,1Neigh,Cholie-1Neigh
Choline,PARP1,1Neigh,Cholie-1Neigh
Choline,GREB1,1Neigh,Cholie-1Neigh
Choline,HIF1A,1Neigh,Cholie-1Neigh
Choline,MYC,1Neigh,Cholie-1Neigh
Choline,ARID1A,1Neigh,Cholie-1Neigh
Choline,PIAS1,1Neigh,Cholie-1Neigh
Choline,GPER1,1Neigh,Cholie-1Neigh
Choline,FGFR2,1Neigh,Cholie-1Neigh
Choline,HTR2A,1Neigh,Cholie-1Neigh
Choline,GRM4,1Neigh,Cholie-1Neigh
Choline,EDN1,1Neigh,Cholie-1Neigh
Choline,MAOB,1Neigh,Cholie-1Neigh
Choline,HNRNPC,1Neigh,Cholie-1Neigh
Choline,CLNS1A,1Neigh,Cholie-1Neigh
Choline,SNRNP70,1Neigh,Cholie-1Neigh
Choline,TRA2B,1Neigh,Cholie-1Neigh
Choline,FUS,1Neigh,Cholie-1Neigh
Choline,SNUPN,1Neigh,Cholie-1Neigh
Choline,HNRNPDL,1Neigh,Cholie-1Neigh
Choline,HNRNPR,1Neigh,Cholie-1Neigh
Choline,HNRNPH1,1Neigh,Cholie-1Neigh
Choline,HK1,1Neigh,Cholie-1Neigh
Choline,AMY2A,1Neigh,Cholie-1Neigh
Choline,GYG1,1Neigh,Cholie-1Neigh
Choline,GALR2,1Neigh,Cholie-1Neigh
Choline,RABEPK,1Neigh,Cholie-1Neigh
Choline,VPS11,1Neigh,Cholie-1Neigh
Choline,NSF,1Neigh,Cholie-1Neigh
Choline,RABGGTA,1Neigh,Cholie-1Neigh
Choline,B2M,1Neigh,Cholie-1Neigh
Choline,CA5B,1Neigh,Folic acid-1Neigh
Choline,FGF4,1Neigh,Choline-1Neigh
Choline,FGF20,1Neigh,Choline-1Neigh
Choline,FGF22,1Neigh,Choline-1Neigh
Choline,SOS2,1Neigh,Choline-1Neigh
Choline,FGF6,1Neigh,Choline-1Neigh
Choline,FGF23,1Neigh,Choline-1Neigh
Choline,PLCG1,1Neigh,Choline-1Neigh
Choline,KRAS,1Neigh,Choline-1Neigh
Choline,KLB,1Neigh,Choline-1Neigh
Choline,MDM2,1Neigh,Choline-1Neigh
Choline,GAB1,1Neigh,Choline-1Neigh
Choline,CBL,1Neigh,Choline-1Neigh
Choline,FGF2,1Neigh,Choline-1Neigh
Choline,SHC2,1Neigh,Choline-1Neigh
Choline,FGF10,1Neigh,Choline-1Neigh
Choline,FGF7,1Neigh,Choline-1Neigh
Choline,FGF18,1Neigh,Choline-1Neigh
Choline,FGFR4,1Neigh,Choline-1Neigh
Choline,FGF19,1Neigh,Choline-1Neigh
Choline,VEGFD,1Neigh,Choline-1Neigh
Choline,CRK,1Neigh,Choline-1Neigh
Choline,IRS1,1Neigh,Choline-1Neigh
Choline,VEGFB,1Neigh,Choline-1Neigh
Choline,FGF5,1Neigh,Choline-1Neigh
Choline,ANGPT2,1Neigh,Choline-1Neigh
Choline,FGF8,1Neigh,Choline-1Neigh
Choline,SHC4,1Neigh,Choline-1Neigh
Choline,PDGFB,1Neigh,Choline-1Neigh
Choline,FGF3,1Neigh,Choline-1Neigh
Choline,CRKL,1Neigh,Choline-1Neigh
Choline,PDGFA,1Neigh,Choline-1Neigh
Choline,FGF17,1Neigh,Choline-1Neigh
Choline,NGF,1Neigh,Choline-1Neigh
Choline,NRAS,1Neigh,Choline-1Neigh
Choline,SHC3,1Neigh,Choline-1Neigh
Choline,KL,1Neigh,Choline-1Neigh
Choline,FGF9,1Neigh,Choline-1Neigh
Choline,GRB2,1Neigh,Choline-1Neigh
Choline,IGF1,1Neigh,Choline-1Neigh
Choline,PDGFD,1Neigh,Choline-1Neigh
Choline,INS,1Neigh,Choline-1Neigh
Choline,SOS1,1Neigh,Choline-1Neigh
Choline,FGFR1,1Neigh,Choline-1Neigh
Choline,FGF16,1Neigh,Choline-1Neigh
Choline,SHC1,1Neigh,Choline-1Neigh
Choline,TGFA,1Neigh,Choline-1Neigh
Choline,HRAS,1Neigh,Choline-1Neigh
Choline,FRS2,1Neigh,Choline-1Neigh
Choline,LOC102723407,1Neigh,Choline-1Neigh
